,logFC,AveExpr,t,P.Value,adj.P.Val,B,adj p val log,,GranPos,LFC,adjPV,,mtorcPos,LFC,adjPV,,riboPos,LFC,adjPV
LAMP1,6.373391659,2.23E+01,18.01599191,4.30E-07,0.000279698,7.207906899,3.5533106,,ANXA11,2.926299153,0.008989793,,LAMTOR1,5.819391972,0.008989793,,RPS26,2.564284479,0.044772431
LAMTOR1,5.819391972,23.0398914,6.923746974,0.000233274,0.008989793,0.925416467,2.046250309,,DDX54,2.414991819,0.049348902,,LAMTOR5,4.780656769,0.000513913,,RPS21,2.178846871,0.01346373
TRPV2,5.407669844,1.93E+01,18.11836207,4.13E-07,0.000279698,7.241602915,3.5533106,,CELF2,2.215414642,0.022140633,,LAMTOR3,4.42836621,0.000318448,,RPL30,1.818413491,0.029212711
STARD3NL,5.248289489,2.16E+01,16.41701441,8.09E-07,0.000308702,6.644248347,3.510460675,,CSDA,2.047372087,0.016894169,,RRAGA,4.353704732,0.000550883,,RPS4Y1,1.808386349,0.003446153
LAMTOR5,4.780656769,2.19E+01,14.20455993,2.16E-06,0.000513913,5.730553195,3.289110692,,PSPC1,1.83943209,0.007505628,,RRAGC,4.03015005,0.000857496,,RPL36,1.628671493,0.041745818
TMEM192,4.647120888,20.95346329,6.261267154,0.000430699,0.013254922,0.26693238,1.877622827,,PEG10,1.752698704,0.005201036,,SEH1L,2.923753262,0.000547612,,RPS10,1.463430663,0.047762018
ATP13A2,4.469569303,2.32E+01,18.0243061,4.28E-07,0.000279698,7.210653725,3.5533106,,GNL2,1.730196834,0.034341089,,WDR59,2.777197072,0.000513913,,RPS24,1.459877856,0.03891654
STX8,4.456306501,2.44E+01,19.58962686,2.42E-07,0.000279698,7.697396969,3.5533106,,EIF2AK2,1.696348153,0.005031131,,MIOS,2.695816117,0.00049235,,RPS27L,1.440045475,0.006333228
LAMTOR3,4.42836621,2.29E+01,15.97327792,9.75E-07,0.000318448,6.474393565,3.496961435,,NYNRIN,1.633212233,0.027403333,,C17orf59,3.573436304,0.000323485,,RPS28,1.423904209,0.02093089
VTI1B,4.40374155,23.61889399,9.874092836,2.43E-05,0.002285128,3.313675235,2.641089404,,BTF3,1.587214789,0.038002063,,C12orf66,2.728230212,0.037392887,,RPLP2,1.412457929,0.038261345
