PG.ProteinGroups,Ratio_log2_50,Ratio_log2_150,Ratio_log2_300.2,Ratio_log2_300
Q86X02,7.90885425709292,NA,NA,NA
O43913,7.90120297821523,8.2923791819132,NA,NA
Q9H3K2,10.0088021854102,11.1174796324944,NA,NA
Q9BZJ0,9.10173606785556,NA,NA,NA
Q5T5C0,10.9940760136729,NA,NA,NA
Q02880,4.01533218891955,NA,NA,NA
O14818,2.66257083174382,4.04455674732466,NA,NA
Q9UBF8,6.49311745255105,NA,NA,NA
P07602,9.08251594267288,10.9802102200599,NA,NA
Q14155,2.97118479776349,NA,NA,NA
Q9H2V7,10.0858201186194,NA,NA,NA
P63000,11.2603265152325,NA,NA,NA
Q15048,3.97075343273253,NA,NA,NA
Q5TC82,12.9538451731039,12.6219575680513,NA,NA
O95502,18.3934261673627,NA,18.518902842168,NA
P07737,10.9082825107536,NA,NA,NA
Q9BSJ8,6.7890760403703,NA,NA,NA
O95568,2.29506081877991,NA,NA,NA
O95822,2.34236187838473,NA,NA,NA
Q9Y5V3,6.07966967109864,NA,NA,NA
P18669,1.93767607140099,2.78747449205462,NA,NA
Q9HCD6,4.64495438760261,NA,NA,NA
Q14103,5.9642454820515,NA,NA,NA
P52272,11.7193992568041,NA,NA,NA
Q15800,16.4380760947694,NA,NA,NA
O60488,10.542966717892,12.1984338070949,NA,NA
P20336,16.813694479533,18.3585036188021,NA,NA
Q24JP5,10.7422219046898,NA,NA,NA
Q96CX6,21.2572651938078,NA,NA,NA
P45983,16.2342932169178,18.5148706241887,NA,NA
Q9BY67,12.1873108400426,NA,NA,NA
P62993,NA,18.9043259803552,NA,NA
Q13185,NA,19.2433691850962,NA,NA
Q6IEE7,NA,14.942040541836,NA,NA
Q15771,NA,17.8225196537359,NA,NA
Q8N5K1,NA,16.771991020435,NA,NA
P49593,NA,7.3321556884504,NA,NA
P41208,NA,18.0732162371211,NA,NA
Q96M27,NA,18.30836329625,NA,NA
O00750,NA,17.7382588098345,NA,NA
Q8TDN6,NA,7.8951033606229,NA,NA
A6NE02,NA,1.61655714259515,NA,NA
Q96PV0,NA,6.55144681974503,NA,NA
P84085,NA,1.37541334694648,NA,NA
Q99523,NA,1.52660996066782,NA,NA
Q8N5N7,NA,10.5302147023766,NA,NA
Q9P121,NA,17.2485648959715,NA,NA
Q9Y6A4,NA,6.14878214915598,NA,NA
Q8IXM3,NA,16.2923112916093,16.0580128796647,NA
Q92871,NA,18.8259225861941,NA,NA
Q86YD1,NA,4.27168581186077,NA,NA
P62253,NA,6.41436247872281,NA,NA
Q8NBJ4,NA,5.88901143841787,NA,NA
Q96HI0,NA,10.9476698330384,NA,NA
P61019,NA,16.9829291898308,NA,NA
Q99689,NA,18.53028265278,NA,NA
Q7Z739,NA,18.4637794649259,NA,NA
Q9NQC3,NA,3.0759332836333,NA,NA
Q9P0J1,NA,17.4933634636289,NA,NA
Q96F85,NA,3.12740399896385,NA,NA
Q6NUM9,NA,6.35210400753407,NA,NA
P07741,NA,5.63131093072947,NA,NA
Q9Y673,NA,11.3206813928656,NA,NA
Q16851,NA,6.25516324430673,NA,NA
P11021,NA,3.14086671695512,NA,NA
Q8WWH5,NA,4.74403970118798,NA,NA
Q2TBE0,NA,7.11950051759437,NA,NA
Q92784,NA,9.23916619479545,NA,NA
Q9GZN8,NA,15.6125874332001,NA,NA
A8MXV4,NA,4.90734695687249,NA,NA
Q6NTE8,NA,8.28759809728694,NA,NA
Q04695,NA,2.35366772255014,NA,NA
P07437,NA,2.08692369625234,NA,NA
Q96AC1,NA,6.53027373636053,NA,6.3813752772997
O94875,NA,6.60165755386728,NA,NA
Q8IUC8,NA,4.07931673562366,NA,NA
Q9UIJ7,NA,4.45945383020358,NA,NA
Q99733,NA,2.70431899799116,2.35315995482974,NA
Q96HE7,NA,6.83199486506545,NA,NA
Q8N163,NA,2.45129014166244,NA,NA
Q9NQ69,NA,NA,12.1948480651278,NA
O00170,NA,NA,6.32836403424519,NA
O60287,NA,NA,3.92827302995463,NA
Q9HCP0,NA,NA,22.9824942158675,NA
Q5RI15,NA,NA,11.4071092064151,NA
Q92570,NA,NA,5.73087081375456,NA
O95551,NA,NA,2.25333302004344,NA
P52434,NA,NA,12.2787792390736,NA
Q6DKI1,NA,NA,9.50850046980562,NA
Q13310,NA,NA,3.05745925757309,NA
O43301,NA,NA,2.7834167336286,NA
Q15061,NA,NA,NA,13.395038050828
P51452,NA,NA,NA,4.10853398838832
