PG.ProteinGroups,300_24
Q9NQ69,-3.56957725883774
O00170,-5.96346482299512
Q9HCP0,-0.271002448344076
Q8IXM3,-7.19548378454679
Q92570,-6.12143641348385
O95502,-4.73459382204354
O95551,-4.62761055957755
Q6DKI1,-4.51439342114934
Q99733,-6.62458752324838
Q9UGP5,-11.1258808964731
Q14576,-6.95465887898938
Q9H6V9,-6.18591717733161
P53999,-7.3989030234262
Q9H5N1,-1.78355911674212
Q9H857,-5.74367501265318
Q9H2S9,-2.56315874696058
Q9H871,-0.18887195315131
P35237,-23.2534966642115
Q9NRZ7,-3.42366466318864
P47972,-14.1406389239229
Q9Y5V3,-3.64416687183677
Q96CX6,-0.243735492608815
O00203,-16.3482127348324
Q8NAP3,-2.87597758011901
Q9NZ53,-13.1229456524244
P0CK96,-2.09150399669072
Q9Y2G5,-2.48227149129451
Q15858,-5.05120506816287
Q9H3K2,-4.12736743510198
Q8WXS5,-9.6689909873664
Q96EP1,-1.30423229543683
Q9GZT4,-5.6358326531852
A5PLN9,-23.2534966642115
Q7Z6K5,-4.73969904707736
A9UHW6,-9.52254668111929
Q9BWU0,-5.8264371599694
Q9ULD5,-12.8230290299065
Q155Q3,-2.2572366291886
P48426,-7.50990247045958
Q7Z5J4,-4.83312907636638
Q13243,-5.15206091279844
P51570,-2.79321959320028
Q92539,-3.99974349328169
Q9UNW9,-8.67505372824943
Q96I99,-23.2534966642115
Q8IY18,-14.0096552929957
O15347,-6.51952806862978
Q96AC1,-5.63807547905966
Q12980,-3.20361473965107
Q13438,-3.13559958265767
P05388,-7.05793831745539
O14628,-5.45958580831539
Q9BZM4,-16.9223558087748
Q9P0J1,-6.91266381409562
O43913,-3.52752184142583
Q9NP72,-6.41363419398217
Q15742,-16.0240314985951
Q9BZ29,-3.9103136865924
Q9NV96,-7.68727747602525
O14994,-4.97423229503351
Q8WUA2,-23.2534966642115
Q5VTL8,-7.57830862178979
Q9HCD6,-7.00420871143916
Q4KMQ2,-3.3697836725394
Q99962,-23.2534966642115
Q96GW9,-5.65913899395336
P39019,-5.13027932786414
Q9NRH2,-1.99822972320883
Q96KC8,-13.1626545656183
Q0PNE2,-12.284439981779
Q9Y2H0,-6.56292037059337
O75380,-10.8245863128677
P78406,-7.7633477435974
Q93096,-5.95626988551627
Q6IEE7,-7.65269248446885
