nes n40n2,nes n40n3,nes n40n4,nes n40n5,nes n41n1,nes n41n2,nes n41n3,nes n41n4,nes n41n5,lamp n40n2,lamp n40n3,lamp n40n4,lamp n40n5,lamp n41n1,lamp n41n2,lamp n41n3,lamp n41n4,lamp n41n5
-1.521980312,-1.453244921,-1.514555811,-1.528077917,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-2.376468497,-3.390344075,-3.406993294,-3.427260259,-3.416340945,-2.744408339,-2.708027829,-2.720189891,-2.706407357,-2.87266866
-3.805005385,-3.696729794,-3.715317984,-3.823590903,-2.648933934,-2.658439883,-2.657654028,-2.641908946,-2.623995774,-1.663186113,-1.644328894,-1.626116304,-1.668166718,-1.189904323,-1.192674921,-1.212078092,-1.208703577,-1.187442614
0.29982467,0.250447621,0.266051464,0.150337444,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-0.11384616,-2.112379561,-2.121147476,-2.182523762,-2.122892118,-1.499885551,-1.521132692,-1.524520894,-1.510107502,-1.570663982
-3.080179637,-3.097233099,-3.006471256,-3.137681054,-2.287052906,-2.264372039,-2.252313599,-2.27240469,-2.336371852,-1.988512548,-2.031543268,-2.019457385,-2.037473299,-1.466981995,-1.428260395,-1.430039156,-1.430793116,-1.529780286
-3.678705223,-3.553123124,-3.554010187,-3.515042166,-2.615507313,-2.635814573,-2.584352081,-2.586594043,-2.638158046,-0.218509316,-0.20931103,-0.266471014,-0.19088256,0.351777297,0.329968933,0.345847851,0.339249312,0.380373575
-0.683896346,-0.635686673,-0.652074439,-0.642797735,-0.266686028,-0.299556647,-0.266823973,-0.262963161,-0.320111114,-5.764019724,-4.899984696,-5.364484148,-8.562272225,-1.900911072,-1.926418294,-1.873368352,-1.917577977,-2.306947379
-9.136373079,-23.25349666,-23.25349666,-23.25349666,-2.875640851,-2.714200077,-2.974911814,-2.888570131,-2.88218827,-3.873712127,-3.708455188,-3.667842565,-3.647048797,-2.102872423,-2.144774633,-2.127582938,-2.046381008,-2.089171393
-1.067143397,-1.02513568,-1.016177814,-0.913307605,-0.185332297,-0.208866937,-0.232652913,-0.253057168,-0.234961061,-0.780438943,-0.812242536,-0.762342474,-0.75330296,0.139717295,0.165376687,0.081777246,0.108224427,0.08901731
-1.267897988,-1.271200181,-1.328138391,-1.180921151,-0.577543606,-0.636376293,-0.604122149,-0.575748226,-0.609403091,-2.532668202,-2.5156374,-2.589187201,-2.496467817,-1.652705309,-1.70761657,-1.722773578,-1.676848824,-1.668140886
-3.079967486,-3.343609673,-3.636681844,-3.599335783,-1.660178203,-1.568156037,-1.531973434,-1.557171341,-2.153318597,-4.399083394,-4.355440453,-4.408864878,-4.500825809,-3.054610093,-3.085453355,-2.990322604,-3.087561964,-3.202704566
-0.746780401,-0.834526396,-0.690199874,-0.704282046,-0.18360776,-0.181055392,-0.175040045,-0.163396726,-0.218238943,-3.474337557,-3.730402567,-3.399611958,-3.553163852,-1.801548241,-1.771256561,-1.844729982,-1.73359247,-1.835629937
-1.312467479,-1.33753367,-1.330675235,-1.328343685,-0.748192063,-0.847872934,-0.82759782,-0.783373602,-0.863995239,-4.02109731,-4.088745901,-3.779217192,-3.695490397,-1.401548624,-1.271630737,-1.280559093,-1.237117775,-1.26414815
-1.262949528,-0.9492091,-1.074682825,-1.220844021,-4.695663204,-23.25349666,-8.157306559,-23.25349666,-3.011983408,-3.587313134,-3.80167984,-3.638151472,-3.596585164,-1.898335806,-1.932931844,-1.86622548,-1.794843808,-2.001768038
