Index,UCSC_Gene_Symbol,Ingenuity_Gene_Symbol,Ingenuity_Gene_Description,Ingenuity_Gene_Product_Location,Ingenuity_Gene_Product_Type,Log2_Mean_CYTOSOL,Log2_Mean_LYSOSOME,Linear_Fold_Change_LYSOSOME_vs_CYTOSOL,Log2_Fold_Change_LYSOSOME_vs_CYTOSOL,Welch_Ttest_uncorrected_P_LYSOSOME_vs_CYTOSOL,Welch_Ttest_BH_FDR_corrected_P_LYSOSOME_vs_CYTOSOL
G17773,PCDHGA6,PCDHGA6,"protocadherin gamma subfamily A, 6",Extracellular Space,other,2.5,6.10813639,12.19431142,3.60813639,4.46E-07,6.02E-05
G16781,NTS,NTS,neurotensin,Extracellular Space,other,2.5,6.096870974,12.09946183,3.596870974,4.66E-05,0.000701311
G1299,ASS1,ASS1,argininosuccinate synthase 1,Cytoplasm,enzyme,3.488212537,7.026308673,11.61644029,3.538096136,3.76E-08,1.82E-05
G17774,PCDHGA7,PCDHGA7,"protocadherin gamma subfamily A, 7",Other,other,2.5,5.808003581,9.903946909,3.308003581,8.32E-06,0.000273209
G3863,CNTNAP3,CNTNAP3,contactin associated protein family member 3,Extracellular Space,other,3.545512224,6.728607276,9.082535198,3.183095052,8.49E-06,0.000276615
G3854,CNTN2,CNTN2,contactin 2,Plasma Membrane,other,2.640408791,5.814729519,9.02746379,3.174320728,4.86E-08,2.15E-05
G9905,LAMP1,LAMP1,lysosomal associated membrane protein 1,Plasma Membrane,other,6.544190568,9.703637765,8.934872838,3.159447197,7.41E-09,9.78E-06
G20862,SEMA5A,SEMA5A,semaphorin 5A,Plasma Membrane,transmembrane receptor,4.260660891,7.372290259,8.643582371,3.111629368,1.53E-07,3.44E-05
G3556,CHRNA3,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit,Plasma Membrane,transmembrane receptor,5.57199837,8.463355302,7.41967982,2.891356932,1.42E-06,0.000107375
G3911,COL27A1,COL27A1,collagen type XXVII alpha 1 chain,Extracellular Space,other,2.5,5.32710307,7.096477414,2.82710307,3.75E-05,0.000607213
G25372,WDR72,WDR72,WD repeat domain 72,Cytoplasm,other,2.5,5.326411615,7.093077029,2.826411615,3.26E-05,0.00055059
G20693,SCG2,SCG2,secretogranin II,Extracellular Space,cytokine,5.516874077,8.275572682,6.767854748,2.758698606,4.10E-07,5.78E-05
G3565,CHRNB4,CHRNB4,cholinergic receptor nicotinic beta 4 subunit,Plasma Membrane,transmembrane receptor,4.874092885,7.631390085,6.76128378,2.7572972,7.55E-07,7.55E-05
G13220,MCHR1,MCHR1,melanin concentrating hormone receptor 1,Plasma Membrane,G-protein coupled receptor,2.634160981,5.374212821,6.680943415,2.74005184,1.08E-05,0.00030535
G17887,PDGFD,PDGFD,platelet derived growth factor D,Extracellular Space,growth factor,3.844762941,6.537610952,6.465885726,2.69284801,3.26E-08,1.78E-05
G20524,S100A10,S100A10,S100 calcium binding protein A10,Cytoplasm,other,3.700788867,6.210969036,5.696912188,2.510180169,5.59E-05,0.000789656
G17611,PAPPA2,PAPPA2,pappalysin 2,Extracellular Space,peptidase,3.50779758,6.008816914,5.660852506,2.501019335,1.08E-07,2.85E-05
G3864,CNTNAP3B,CNTNAP3B,contactin associated protein family member 3B,Other,other,3.564235262,6.051940006,5.608849002,2.487704744,7.44E-06,0.000257713
G8099,HES5,HES5,hes family bHLH transcription factor 5,Nucleus,transcription regulator,2.5,4.969242267,5.537528684,2.469242267,3.25E-06,0.00016638
G22374,SOX9,SOX9,SRY-box transcription factor 9,Nucleus,transcription regulator,2.765541076,5.229829523,5.518546935,2.464288447,5.35E-05,0.000763204
G23055,SYT2,SYT2,synaptotagmin 2,Cytoplasm,transporter,6.405033123,8.867613581,5.512017459,2.462580458,3.44E-08,1.78E-05
G3187,CDH6,CDH6,cadherin 6,Plasma Membrane,other,4.896541633,7.356905253,5.503554225,2.46036362,9.86E-06,0.000294053
G3865,CNTNAP3P2,CNTNAP3P2,CNTNAP3 pseudogene 2,Other,other,2.703516017,5.063191889,5.132550338,2.359675872,4.24E-05,0.000663236
G8167,HIST1H1B,H1-5,"H1.5 linker histone, cluster member",Nucleus,other,2.5,4.810321885,4.959937306,2.310321885,0.00015128,0.00143336
G18240,PKDCC,PKDCC,"protein kinase domain containing, cytoplasmic",Cytoplasm,kinase,5.114688814,7.392159221,4.848271217,2.277470407,1.56E-06,0.000108961
G16324,NELL1,NELL1,neural EGFL like 1,Extracellular Space,growth factor,2.823975257,5.086136264,4.79709499,2.262161007,2.55E-06,0.000142275
G25805,ZIC5,ZIC5,Zic family member 5,Nucleus,transcription regulator,3.975257866,6.234369198,4.786965244,2.259111331,4.10E-06,0.000188887
G8826,IL1RAP,IL1RAP,interleukin 1 receptor accessory protein,Plasma Membrane,transmembrane receptor,2.531075245,4.760647331,4.689948518,2.229572086,1.66E-06,0.000111773
G8290,HMGA2,HMGA2,high mobility group AT-hook 2,Nucleus,enzyme,2.5,4.707666071,4.619273829,2.207666071,5.27E-05,0.000757604
G8201,HIST1H3B,H3C2,H3 clustered histone 2,Nucleus,other,2.5,4.686861556,4.553139166,2.186861556,6.59E-05,0.000879968
G17760,PCDHB5,PCDHB5,protocadherin beta 5,Plasma Membrane,other,3.633297602,5.805570844,4.507330507,2.172273242,2.60E-07,4.56E-05
G7334,GLI2,GLI2,GLI family zinc finger 2,Nucleus,transcription regulator,3.325529194,5.496895623,4.504498294,2.171366429,1.48E-06,0.000107647
G25107,UTRN,UTRN,utrophin,Plasma Membrane,transmembrane receptor,4.636939678,6.793924697,4.459818564,2.156985019,6.12E-08,2.29E-05
G855,ANOS1,ANOS1,anosmin 1,Extracellular Space,other,2.5,4.654730893,4.452855799,2.154730893,7.48E-05,0.000943864
G13814,MIR217HG,MIR217HG, ,Other,other,4.669870066,6.793091133,4.356655589,2.123221067,6.87E-08,2.36E-05
G8177,HIST1H2AG,H2AC11,H2A clustered histone 11,Nucleus,other,2.795849139,4.908121443,4.323717617,2.112272303,2.08E-06,0.00012871
G6760,FNDC3B,FNDC3B,fibronectin type III domain containing 3B,Cytoplasm,other,3.412945733,5.52125191,4.311847569,2.108306177,1.27E-07,3.04E-05
G26147,ZNF562,ZNF562,zinc finger protein 562,Nucleus,transcription regulator,3.127145123,5.218733063,4.262169417,2.09158794,7.78E-09,9.78E-06
G21281,SLC18A3,SLC18A3,solute carrier family 18 member A3,Plasma Membrane,transporter,5.161536039,7.238360662,4.218776392,2.076824622,8.77E-07,8.19E-05
G12763,LRRC55,LRRC55,leucine rich repeat containing 55,Plasma Membrane,ion channel,6.96551613,9.038999333,4.209016609,2.073483203,7.00E-10,4.34E-06
G18561,PON2,PON2,paraoxonase 2,Plasma Membrane,enzyme,3.051583452,5.122126012,4.200446117,2.07054256,1.84E-09,6.40E-06
G16679,NR3C1,NR3C1,nuclear receptor subfamily 3 group C member 1,Nucleus,ligand-dependent nuclear receptor,2.65368922,4.699444751,4.128894431,2.045755532,6.54E-07,7.13E-05
G8168,HIST1H1C,H1-2,"H1.2 linker histone, cluster member",Nucleus,other,3.345251819,5.390584914,4.127685622,2.045333094,0.000530116,0.00328916
