,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000236824.2,2698.36336,6.179795909,1.84E-12,2.12E-11,BCYRN1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000253058.1,21.78640974,6.148919748,7.43E-21,1.15E-19,RNA5SP437,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000234161.1,262.0975851,6.104807906,8.43E-165,1.34E-162,PABPC5-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000235583.2,12.99843823,6.027176477,8.31E-14,1.01E-12,AC007562.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198162.12,43841.53138,5.866425504,0,0,MAN1A2,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000276398.1,4891.159184,5.839079644,0,0,AC018659.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000184258.7,266657.2711,5.746016988,0,0,CDR1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000278802.1,3941.924015,5.740793028,0,0,AC018659.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000273942.1,5007.510014,5.712629864,0,0,AC007351.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000203930.12,402052.6836,5.691362871,0,0,LINC00632,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000273570.1,2050.385552,5.687156846,0,0,AC007351.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000274230.1,3760.609123,5.67766024,0,0,AC007351.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000275971.1,2956.621044,5.654997441,0,0,AC018659.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000234975.6,172.6320715,5.641786008,5.38E-111,4.10E-109,FTH1P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000226608.3,40.13859414,5.506316651,7.08E-38,1.68E-36,FTLP3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000275231.1,1834.904153,5.473069292,4.72E-297,3.40E-294,AC007351.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000197958.13,12115.50618,5.452432707,0,0,RPL12,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000231167.3,817.4656373,5.39331664,2.63E-195,5.85E-193,YBX1P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000249425.1,43.05711584,5.3904454,1.18E-43,3.20E-42,LINC02477,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000252179.1,14.12522372,5.366157929,2.45E-16,3.29E-15,RNA5SP255,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000131016.17,76200.42926,5.322414124,0,0,AKAP12,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000253203.6,1885.481547,5.266629201,5.48E-230,1.90E-227,GUSBP3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000167995.16,56050.1218,5.25983929,0,0,BEST1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000232187.1,66.0443856,5.258081513,6.18E-51,1.94E-49,FTH1P7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000185834.10,87.61408167,5.236917956,2.95E-82,1.52E-80,RPL12P4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000219507.4,155.798364,5.236383315,7.17E-105,4.96E-103,FTH1P8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000270025.2,146.1124265,5.219893208,1.89E-111,1.45E-109,BMS1P7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000167996.16,61187.82285,5.217823481,0,0,FTH1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000196302.5,2.400551646,5.198810636,0.00011019,0.000690258,AC146944.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000204196.5,139.2264044,5.197512737,1.67E-118,1.40E-116,RPL12P16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000210082.2,4669089.312,5.162982267,0,0,MT-RNR2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213866.3,767.538452,5.156671295,5.71E-185,1.12E-182,YBX1P10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000255794.8,17239.40502,5.142893971,0,0,RMST,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000244398.1,739.1365803,5.135479707,1.40E-289,9.38E-287,AC116533.1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000177600.9,15466.32014,5.129634593,2.05E-299,1.54E-296,RPLP2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000065978.19,117008.2959,5.066694297,0,0,YBX1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000254701.3,2458.628927,5.056860936,3.22E-241,1.22E-238,AC138866.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000189343.7,163.4317509,5.047996187,1.07E-104,7.38E-103,RPS2P46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000240342.3,2225.016041,5.037946723,6.26E-226,2.12E-223,RPS2P5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213468.7,6305.459622,5.003838767,0,0,FIRRE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000137073.21,8253.980326,4.994084178,0,0,UBAP2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000241343.9,8386.265296,4.965353805,0,0,RPL36A,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000138326.20,17283.43439,4.956577968,0,0,RPS24,#N/A,#N/A,yes,#N/A,yes,#N/A,yes
ENSG00000227008.2,81.25321425,4.950806853,3.52E-58,1.26E-56,AL009174.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000140988.16,15451.83846,4.931209944,1.27E-279,7.32E-277,RPS2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000144713.13,20094.86411,4.919832393,0,0,RPL32,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000053524.12,6284.718631,4.894671811,0,0,MCF2L2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000227409.1,696.396926,4.87478037,2.49E-250,1.06E-247,ZMYM4-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000231952.3,227.7740777,4.871197786,3.01E-151,4.01E-149,DPY19L1P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000230629.2,115.8166995,4.862246374,1.39E-90,8.03E-89,RPS23P8,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000161970.15,34844.93469,4.862046806,0,0,RPL26,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000105926.15,9232.976922,4.853830137,9.52E-300,7.29E-297,MPP6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000224861.1,502.2048611,4.851180379,1.94E-201,4.72E-199,YBX1P1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000269888.1,236.0544272,4.839637461,3.07E-142,3.56E-140,AC112491.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000283813.1,28.51012139,4.832607007,4.68E-30,9.36E-29,MIR4485,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213442.5,165.1715926,4.83115123,7.22E-108,5.21E-106,RPL18AP3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000261864.1,384.0558747,4.826926291,6.50E-178,1.17E-175,AC130462.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000243829.1,8.678663389,4.825068974,3.50E-11,3.76E-10,AC011495.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000087086.15,6790.695044,4.821394403,2.34E-197,5.42E-195,FTL,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000255823.5,1285.682079,4.819184276,3.99E-191,8.56E-189,MTRNR2L8,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000237713.1,96.14813673,4.816525621,1.01E-86,5.50E-85,AC011287.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000223361.5,171.8247548,4.816491202,1.04E-90,6.01E-89,FTH1P10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000197756.10,15465.3821,4.802231582,0,0,RPL37A,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
