PG.ProteinGroups,Ratio_log2_x,Ratio_log2_y
Q96CX2,19.554941423727,20.3261430828515
Q9Y4C2,7.76822742324922,8.74426291417925
P40925,17.5626161379671,NA
Q14318,7.99017694733205,8.72180986421771
P08579,6.31808325746289,NA
Q9BRJ7,3.52742922821876,4.35474046194636
O95155,17.8617904945724,18.8191296739354
Q96Q42,9.35268533404046,NA
Q9Y512,8.70672968185738,NA
Q9HA65,7.2107014433852,6.90202251097053
Q9NRN7,19.0460414870215,20.0313202375324
Q06455,20.8285161746081,21.9521783513944
Q9BWM7,18.1803423471456,18.8027290615464
O94856,18.5388919354812,18.9173319036682
Q92604,18.2078083561477,18.3018575834164
P54105,17.9763376704911,18.9173047485667
P19086,3.26034966050718,3.27243997327265
O15498,16.9735942913825,17.9752844837125
Q24JP5,3.48412745070813,4.20395418568792
O95297,6.55187232816156,7.17059170986985
Q9NPH2,18.7400692922489,18.9740597251123
Q8N806,11.9308156302362,NA
Q14671,6.44187719905663,6.18071612771053
O43924,14.6988918905809,15.9564005019195
P47756,8.37426368306503,8.98847051414147
P26196,8.29318888126743,8.22420265331623
P09104,14.2767343915876,NA
P11413,6.87738221080406,7.33530859969237
O94776,7.62504718198813,8.40217631550791
Q9H6U8,16.9092694931248,18.557304480689
Q9P291,10.7127596501768,12.7424993007617
Q68D91,17.984686134334,18.5538724147182
O75326,6.15838458942356,NA
Q9UPW5,7.02720635113341,NA
O60231,9.47471865483546,10.0950618475901
Q9Y4X5,11.577150482222,11.7125118848452
Q96MZ0,17.4441690659843,18.3081485309363
Q86Y82,19.1262359565064,20.1305107323947
Q8NCB2,5.47897843007123,6.94340129003677
P25787,8.40871076869711,NA
Q8IV08,19.2547741331695,19.9979387155724
P51149,7.25863130592962,8.25651522750477
P13489,7.35211632196674,7.87877918528003
Q9Y3A3,16.517695966581,NA
Q96B54,8.75704143268415,9.31950507471053
O15394,9.54790392497819,10.1952172720035
Q15771,18.8269131122924,19.9770666352034
P63096,17.9157517599023,19.1787216584614
P52292,9.27458503358789,9.48482436851705
Q13586,18.2210315127132,18.5920725009882
Q96SW2,18.9614603821356,19.699983534336
P51812,18.8354202336739,19.7382346796963
O43292,4.63646940650817,5.26882810087621
Q96MY1,20.5399451763101,21.1225153655264
Q9UQL6,4.60773354031738,NA
Q13951,18.5774052332427,NA
Q9H2V7,18.8024044915907,19.4344699939056
Q9UI30,18.507126199427,19.1845897947739
Q96S59,3.36542040243861,3.96755236215042
P51116,6.12502516762216,6.91867564554164
Q8TAD8,19.3471984634408,19.5866356451136
Q5JU69,18.2654790276889,19.6510463688783
P19404,15.5673547719467,16.4830499337153
Q9NP72,4.62958587267064,4.58771585781381
Q9H0E2,18.6888776536833,19.5535950699442
Q8N350,2.3478181780133,NA
Q8NFT8,4.52869339823341,4.88305263143388
O00560,15.7125610539035,17.2049956292163
P51784,5.74505104163231,NA
Q6IEE7,3.82238224417898,4.35720905561319
Q8NFZ8,19.2734362996864,20.4522192046031
Q9BTT0,15.7412550479299,NA
O75164,18.8015779154488,20.0721760888583
Q8TC26,6.11935925832395,NA
Q92993,17.7048001354972,19.0239436628133
Q8IV32,4.70899649960213,5.01108689957878
Q9P2S2,7.56304815733983,8.75059982506585
P42224,11.3795536721636,11.5340355580487
Q9HCD6,6.65534144006882,6.97875872091339
Q8IVW6,8.17655017038943,NA
Q96IG2,8.84251493716097,9.16564235738854
Q86U70,12.9967150371872,13.0472866643386
Q8N2K0,8.35135625596714,8.90686548714748
O43526,2.55110269144683,NA
Q9BYV9,9.45422103927675,10.0445821898961
P61006,17.7469912438271,19.1137766329929
Q9P2Y5,11.329956136789,NA
Q14344,7.01877980816567,7.52872575054392
Q96PB7,1.03429190925355,1.5792888324971
P50542,7.24131342160063,7.79637386799916
Q9H4M3,4.07973632853851,4.76368883911065
O00506,8.09016038129546,8.41940727617069
Q9P0I2,18.1369262280194,18.951549276902
Q6L8Q7,12.7797654049499,14.6538920801266
O43252,10.8709783697087,11.862425577058
