PG.ProteinGroups,Ratio_log2_50,Ratio_log2_150,Ratio_log2_300_2,Ratio_log2_300
Q96CX2,19.554941423727,20.3261430828515,19.6298639273177,20.6665101862544
Q14318,7.99017694733205,8.72180986421771,8.37649339075596,9.29722885549618
Q9BWM7,18.1803423471456,18.8027290615464,18.4440026257565,19.2257913896432
Q24JP5,3.48412745070813,4.20395418568792,4.31132787049745,4.77352848571471
Q9H6U8,16.9092694931248,18.557304480689,18.257106395788,18.6614948736379
Q86Y82,19.1262359565064,20.1305107323947,19.5189051326741,20.4354620063759
P51149,7.25863130592962,8.25651522750477,7.88843478604781,8.49995661492631
Q15771,18.8269131122924,19.9770666352034,19.7240054827395,20.1825899197216
P52292,9.27458503358789,9.48482436851705,9.84379690492578,10.0863218188631
Q9UI30,18.507126199427,19.1845897947739,19.0012953427433,19.5859882399665
P51116,6.12502516762216,6.91867564554164,6.25297110455921,7.11772535418011
Q9NP72,4.62958587267064,4.58771585781381,4.22120980630124,5.06872946239087
Q9H0E2,18.6888776536833,19.5535950699442,19.5990234089729,20.1116455762141
Q8NFT8,4.52869339823341,4.88305263143388,5.41741716382201,5.56698273336772
Q8NFZ8,19.2734362996864,20.4522192046031,20.1130423517749,20.8603023357807
O75164,18.8015779154488,20.0721760888583,20.53627224918,20.8871725424321
Q8IV32,4.70899649960213,5.01108689957878,5.12420252142443,5.64578238110737
Q9P2S2,7.56304815733983,8.75059982506585,8.17227586788615,8.81592368193025
Q9HCD6,6.65534144006882,6.97875872091339,6.70260972828027,6.93762579302595
Q96IG2,8.84251493716097,9.16564235738854,9.61868434153626,9.42719113012957
Q8N2K0,8.35135625596714,8.90686548714748,8.55191873055252,8.76988367185996
Q14344,7.01877980816567,7.52872575054392,7.52437795302046,8.04536707663393
P50542,7.24131342160063,7.79637386799916,7.70417592173697,8.56099057667356
O43252,10.8709783697087,11.862425577058,11.2398081883528,12.4507950290675
P56211,6.89888938555595,6.8408551877289,6.92069790891384,7.23681616750804
O94985,3.084974754929,3.83269112382441,4.71389291468579,4.79090492066627
Q9Y3I1,11.3240710798946,12.5508904922072,12.1943927324005,12.9364454998233
O94898,18.9601829057588,19.4480228279981,20.5242365767368,20.8674459578462
P35716,2.96071493097073,3.64192387114788,4.21074222310175,4.28971344441927
Q13895,10.1057113176657,10.5980436591302,10.8399029184314,10.7489510720475
Q96S55,6.87421974734894,6.98857656022039,7.77468434460601,8.60653569141144
Q9Y2H5,19.9522016219225,20.6140481088538,20.2770561034377,21.037446944598
A1L0T0,7.58192224821238,8.39178742677788,7.85721819759837,8.6258180094519
Q9UHV9,16.3460980864337,17.7754584861355,17.5843180977726,18.247733941645
Q13526,17.7018083757833,18.7175111590185,18.1461887257088,19.1132501592414
Q5T3F8,3.11841031239719,4.20180384510692,3.64504080744869,4.42418555894774
Q8N158,10.1521337959003,10.4557703491319,10.7036721279806,11.313401457413
Q14728,7.47030190025269,8.43051625802125,8.78228740177843,9.40964761867431
Q6PID6,18.4376395769398,19.94056326495,19.9007491475767,20.4833293869445
P56159,7.11061309108491,8.33433532914564,8.62537496016622,9.14390993318877
P68106,17.997539958457,19.4552372774853,18.9859609702153,19.588067741134
Q9UHR5,18.3551598755773,18.818456420906,18.3832206994163,19.4370364113209
Q5VTL8,18.2664874999847,19.1664338744652,18.6184710016909,19.1461542350849
A6NJT0,7.22842788067479,8.07091896267797,8.74689634916697,8.76310639002858
Q9HBE1,10.2851780054871,10.8900089662943,10.884536240429,11.4741741645932
Q9P2N5,19.2219752927402,19.6413787675838,19.399707424456,19.6372994106693
A1L020,9.95039898378586,10.4400562487845,9.56675077206498,9.78101279771552
O94953,10.8393863589969,12.2783329096354,11.6601943756501,12.5502558390191
Q13569,4.8410274990917,5.00813221026427,5.00444578154101,5.63866875914644
Q9NRW7,6.44294275408462,6.73483876765113,6.20334623423734,6.93124912323151
Q9NQG5,18.3184732239295,19.3389065866519,18.934201149131,19.4260154022311
Q6ZN54,1.35610898080294,1.34257072652469,2.287585929576,1.69405790614724
Q52WX2,19.0388033489474,19.5305409230905,20.727484901475,20.7230322606053
P60510,7.88712593537146,8.84256034699211,8.34504437152638,9.14838705282275
O43310,5.94419604727941,6.43412253823436,6.39832953501705,7.04343069697502
Q719H9,1.53412259747256,1.84963369237337,2.12450195685082,2.06970028897594
P10586,7.16104678920976,7.75377557150694,8.82808849233458,8.92921991115366
Q5JSZ5,9.31009353143007,10.1954032058598,10.3028147490413,10.4656996951759
Q9H4L4,5.55771711101458,6.16744440173516,5.6768996039074,6.17380234611963
Q9HAT8,12.1619066766638,13.3203450235746,13.7206976677169,13.924186707093
P0CK96,0.954135192749292,1.32832442559819,1.66774224005283,1.6847216367046
Q9BSV6,3.19989861154394,5.30534657296488,5.20434042070616,5.70226710330165
Q86WA8,17.7959447843785,18.4688831272284,19.8088664171147,19.9931079818326
Q9UBI9,9.39788532059634,9.21656847214757,9.66906002920368,10.3078681902412
Q08629,10.3025762888309,11.012708118571,11.1132349334472,11.0106779708246
Q8NEY1,7.54464759287873,6.88115828907794,7.90114101976116,8.18544325078097
Q8IVU1,8.99494082779519,10.7196041168925,10.7804570471878,10.9686517604983
Q9UPU3,1.59359247629652,2.38451139593696,2.98269783328427,3.06097425116429
O14522,9.06867595638166,10.1702349213601,10.4480891013231,10.7544239815575
Q9H1B7,12.2955098726843,13.2509595080768,13.2721166475153,14.4347145357799
Q9NYB0,9.74728289964938,9.7378753895032,10.2810473758512,10.4425037852435
