PG.ProteinGroups,Ratio_log2
Q96F86,17.5655325932789
P48730,11.3595708158867
Q7Z4K8,11.2657671460164
Q9P0J7,7.4052839105472
Q9UPN6,6.56589009911495
Q9ULI4,10.3614865596106
P51149,7.88843478604781
O00750,18.6707744712316
P35716,4.21074222310175
Q15771,19.7240054827395
Q9UGL1,11.762882948333
Q9H0E2,19.5990234089729
P16298,17.6403897597366
Q8NFT8,5.41741716382201
Q9UQ35,18.4767265931519
Q5H8A4,18.69324466464
Q9UHC6,10.3361313848643
Q9HCK4,7.14034677748661
P34059,19.1476383453067
Q64LD2,11.0340076234655
A6NJT0,8.74689634916697
Q9Y2G0,2.83487946410971
Q13895,10.8399029184314
O95870,6.6120850693061
Q8WUU5,10.0467463782094
Q8IWT6,18.5337052415964
O94812,21.0903643557282
Q9NWZ5,18.9132206232818
Q674X7,19.0924835471919
Q52WX2,20.727484901475
Q96DV4,8.6699972611268
Q8N608,18.1599459984096
Q8TDN6,2.24633454875432
Q9Y4F1,4.98148821105976
Q9H857,7.09428924323757
Q8IV32,5.12420252142443
Q9H6K5,9.34441079290111
Q92738,20.6504764088168
Q9H2C0,18.102223871492
Q9GZM8,12.2301125700514
Q08629,11.1132349334472
Q14344,7.52437795302046
O94827,10.0251418546316
Q9NVD7,12.9932506648903
Q13449,5.75887170228904
Q96C36,17.1511331192137
Q96MH6,7.79036166539211
O94985,4.71389291468579
Q684P5,8.69918350957375
P82663,17.110286727858
Q13705,19.9345225709074
O14735,6.38471161555162
P49918,11.5861900471381
O60422,1.91902133613738
Q9NR28,7.73434719764923
Q8N5H7,8.82627827636601
Q9HCH0,9.20306760177516
P06241,7.53681641923086
Q96IG2,9.61868434153626
P50542,7.70417592173697
O95071,9.28273945776571
P49840,9.72219727976213
Q13002,10.2238599156169
Q719H9,2.12450195685082
Q9ULD9,9.94518867228635
Q9UHG3,10.3448834619838
Q5JSZ5,10.3028147490413
Q9HBE1,10.884536240429
P52292,9.84379690492578
Q9BPZ7,7.75065259587469
Q9BQ39,7.16259438592429
Q8NFZ8,20.1130423517749
Q24JP5,4.31132787049745
Q9HAT8,13.7206976677169
Q9NUS5,18.0151868905343
Q86WA8,19.8088664171147
Q8N350,1.96151156452668
Q15345,9.38089067840354
Q8IVL1,9.00724219934105
Q96Q11,2.3837242989497
P56159,8.62537496016622
Q16774,10.1543189360525
Q99848,18.4914530765988
P38117,16.9669795285844
P29372,19.1208333495453
Q15048,5.56602577777937
O94964,11.3061694002574
Q6PID6,19.9007491475767
Q643R3,19.4341565552755
Q86UL8,7.56173648535022
Q96P11,8.38981848310824
Q9Y5I4,9.65338660494507
Q9GZS1,11.997998803724
O43929,3.55426002607974
Q96KQ7,9.33471307908409
Q12974,7.92601005279296
Q92845,10.7207600293524
O75164,20.53627224918
P35813,5.8738107031006
P22694,6.37119825876843
Q8N8A6,19.4575374924019
Q8WX77,1.87294760728074
Q9UHV9,17.5843180977726
O43405,21.3785509007553
P78509,2.58853679492232
Q96KG9,7.29808075484917
Q9Y3I1,12.1943927324005
O60216,9.0580918012723
Q6ZN54,2.287585929576
Q6YN16,23.3074287583167
Q14728,8.78228740177843
P51991,1.97252100644842
Q1L5Z9,8.92744894731673
Q8WU79,19.7668489456816
Q96SB4,8.285582074147
Q6NXT6,8.60886995348201
Q8NDN9,8.64631670311263
O60684,18.124125425615
O60858,4.76806601616634
O14775,4.27780753867555
Q96S90,19.1591756077797
O15260,11.241847497842
