PG.ProteinGroups,Ratio_log2
Q9GZL7,23.840913437266
Q13011,16.6698951903315
Q8IWV8,9.44438862297918
Q9H0E2,20.1116455762141
A6NJT0,8.76310639002858
P51784,7.66932221239626
P61086,4.41134432928501
O43151,11.7878757889092
P46109,8.54206085505212
Q9HCM3,11.0497808547324
Q9UHR5,19.4370364113209
Q5VTL8,19.1461542350849
Q96RN5,13.052761073932
P42892,20.8998766561305
Q658Y4,18.4594050118224
Q8TF61,19.0576908323984
Q96PB7,1.94421931415234
Q7Z4V5,5.34311850073977
Q5T7P8,20.667388707264
Q9UIF9,18.3102618991697
O94985,4.79090492066627
Q9UN75,20.0629372067514
Q7L775,19.3932611622146
Q9BQ39,8.14286894457294
Q7KZ85,18.8636404953157
P35716,4.28971344441927
Q9H4M3,5.19217905457962
Q8IV08,20.2847802463333
Q9UIC8,5.50288390119843
P36578,3.86513056701894
Q6PID6,20.4833293869445
O94921,10.6712996408731
Q92785,8.9043748210754
P30876,19.1825333401591
O60506,14.6332186475457
P10586,8.92921991115366
Q9NP72,5.06872946239087
Q5JSZ5,10.4656996951759
O15027,12.263121578331
Q06455,22.4217561481771
A1L0T0,8.6258180094519
P23743,10.8239936376771
Q674X7,19.5590428396456
Q96EY1,7.72006043967196
Q92925,8.46580488761715
Q2V2M9,10.6511137424554
Q06210,9.10177561429147
Q9GZN1,3.09236400755183
Q14344,8.04536707663393
O75093,20.3880485083413
Q5ZPR3,16.5582073222181
P52292,10.0863218188631
Q96A35,7.53834735113986
P63244,9.12102303591597
Q24JP5,4.77352848571471
O96005,5.39423576563338
O94812,21.3791527650413
Q8IUH5,20.6971732929636
Q8IVU1,10.9686517604983
Q13772,9.08694365272273
O76070,14.1465893216879
Q9BY67,19.1416171727019
P17405,4.38956849807885
O15213,4.53725022169951
Q8IWT6,18.7697503324985
Q9ULN7,10.801013430777
P49918,11.7133861670527
O75190,20.4860431227976
Q96DE0,19.5142318597038
Q9NR46,17.0988139403789
Q53FT3,10.1608672123263
Q6P1Q0,11.2606669641213
Q5VTB9,6.94762809349201
O95057,9.50543854622034
Q8N0Z6,8.46406527954843
P09104,17.8474455629562
Q9HCK5,19.5839938636823
O95071,9.99859890734101
O43310,7.04343069697502
P22303,9.20152199429636
P27695,14.5896704496198
Q9UPN6,6.68299591673509
Q02252,8.60717051021955
Q86XP3,8.41955479098564
P31930,3.33399345461563
Q969G2,21.8330876177872
Q9P2S2,8.81592368193025
Q9UHN1,2.60533044866397
Q86Y82,20.4354620063759
O43312,19.9230792885582
P30040,18.651853728289
Q9Y4C2,9.26531918812356
O95864,2.54673724926967
Q12824,3.370158519309
O95996,12.9342073787764
Q9Y4P1,15.7777509200774
O43405,21.2201241273713
P55265,11.5828944128158
Q96HE7,6.47135986505737
Q16585,8.34990491471107
Q9UKC9,19.1624242793993
Q9NPZ5,12.2704756711877
O14525,9.2705673593017
Q13569,5.63866875914644
P60891,16.4692694357563
Q9NPH2,19.6159007938996
Q9ULP0,14.1314074106756
Q9NZV5,2.66144867800475
Q9Y5Z7,1.19227693065125
P46379,9.67567140081303
Q9HAT8,13.924186707093
Q9HBE1,11.4741741645932
Q14671,7.26256345010647
P0CK96,1.6847216367046
Q9H6T3,3.62319457622279
Q92529,4.54070999181051
Q8N766,8.85586440131787
Q01484,5.30126013274425
P62241,14.9705335792137
Q8NFT8,5.56698273336772
O15394,10.4724352742219
Q9NQG5,19.4260154022311
O43526,3.75878635171
Q13951,18.5771404100888
Q9BX68,17.4796284689638
O00571,20.1372446515449
Q9HCG8,8.75995061722875
P07741,18.6864279927996
Q9NV31,20.2782349422308
Q9Y3C6,8.73354606009926
Q96MY1,21.4501386422459
P49674,18.8863543949339
Q719H9,2.06970028897594
Q9UL15,16.1048493698555
Q13490,3.30115475697005
O14735,6.88895207925327
Q8WV44,20.1951887674146
Q9ULH0,17.6658653621294
Q9Y5A7,15.6097750676764
Q9H3P7,18.1404456666778
P51116,7.11772535418011
Q9NWQ8,20.1819202127832
Q15417,13.1417930868308
Q9HCH0,9.69674840993183
Q86UN3,10.1502347896696
P14373,7.75483345750231
Q7L3B6,13.6893335061902
Q9ULJ6,3.71736504665863
Q09472,18.1016560587152
Q16718,2.25777317312489
Q9Y608,9.48420772511465
Q76G19,12.1000457179417
Q8IVL1,9.28280735012533
Q15334,17.9700755580166
Q8NFZ8,20.8603023357807
Q9UL46,4.08082602980632
Q5T3F8,4.42418555894774
P38606,9.98229546710588
Q9Y3I1,12.9364454998233
Q8NB37,2.95267810891516
Q96KQ7,9.64884789945958
Q99848,19.1472685590708
Q9BQI5,19.5123237099201
Q9BRJ6,17.9709867599801
P07949,10.5250804798404
O94964,11.5964621409451
Q8N5J2,9.92353153771865
P54105,18.8827155274877
Q9Y2H5,21.037446944598
O95848,16.298813165298
P52594,5.05872946846726
P78332,16.5640067827385
Q12852,20.1461613433331
O00743,18.581367914544
Q684P5,9.28764163413251
Q9GZS1,11.8775890629302
Q9NWZ5,18.8356931033705
P60510,9.14838705282275
O95297,7.48130011928484
O15550,21.2666714924296
Q8N158,11.313401457413
Q96N64,8.91990496593876
Q8IWA4,11.0015324578807
Q6IEE7,5.08712418751273
Q9BT67,10.4876969090802
P13489,8.26891764570414
P04843,6.82890341823725
O43683,19.0056051111139
Q9BV68,18.7770959505918
O94856,19.6929118413372
Q96SW2,19.7518950712603
Q96CX2,20.6665101862544
Q9BRD0,2.09502796117056
Q2TBE0,10.8079354156505
O15270,19.977125545362
Q9Y4F5,3.09693702013236
P52756,10.1550273788521
Q53T59,17.1189588241471
O94829,1.59929789779176
Q9Y5X1,17.8508321801432
Q9NRN7,20.3713540266242
P00441,3.67587517244091
Q9H5H4,19.1846853060708
Q9Y2I1,19.8904160768595
Q9H6U8,18.6614948736379
P11413,7.60738616160431
P35568,11.7743697930083
Q96JJ6,1.81088248007974
Q86SK9,2.00103250679597
Q9UPU3,3.06097425116429
O14522,10.7544239815575
Q8NEU8,10.9349733351608
Q9H857,7.66099264165598
