PG.ProteinGroups,P0,P50,P150,P300,P300_24
Q96CX2,-23.2534966642115,-3.69855524048455,-2.92735358136,-2.58698647795718,-3.62363273689381
Q9Y4C2,-11.0834739120459,-3.31524648879666,-2.33921099786663,-1.81815472392232,-2.04294696947394
P40925,-23.2534966642115,-5.69088052624446,-5.83778606687461,-6.27752267389744,-5.58688224690958
Q14318,-11.2444084340434,-3.25423148671133,-2.52259856982566,-1.94717957854719,-2.86791504328742
P08579,-12.3279826846145,-6.00989942715165,-5.1809520839401,-4.72872978921699,-6.28428179006189
Q9BRJ7,-8.34482433304704,-4.81739510482828,-3.99008387110068,-3.68764597542275,-4.91507866233683
O95155,-23.2534966642115,-5.3917061696391,-4.43436699027609,-3.12820173104432,-4.6433885399655
Q9Y512,-14.858625355493,-6.15189567363565,-7.65994459194519,-5.28105353114834,-6.53857268170206
Q9HA65,-11.6491784546586,-4.43847701127337,-4.74715594368805,-4.23154863467635,-4.85604128084695
Q0PNE2,-0.806199376510397,-23.2534966642115,-12.9268624791701,-0.796889856150454,-2.05090274987045
Q9NRN7,-23.2534966642115,-4.20745517719001,-3.22217642667918,-2.88214263758736,-4.03855180008257
Q06455,-23.2534966642115,-2.4249804896034,-1.30131831281717,-0.831740516034415,-1.31887348057468
Q9BWM7,-23.2534966642115,-5.07315431706589,-4.45076760266519,-4.02770527456834,-4.80949403845504
O94856,-23.2534966642115,-4.71460472873031,-4.3361647605433,-3.5605848228743,-4.63408196011227
Q92604,-23.2534966642115,-5.04568830806386,-4.95163908079514,-4.01872652975456,-5.01344891711935
P54105,-23.2534966642115,-5.27715899372041,-4.33619191564483,-4.37078113672383,-5.57629578436868
P19086,-8.82171539252218,-5.56136573201501,-5.54927541924953,-4.69033935770606,-5.82757304290764
O15498,-23.2534966642115,-6.27990237282908,-5.27821218049902,-5.53676829304611,-6.34577028131265
Q24JP5,-6.93022557963334,-3.44609812892521,-2.72627139394542,-2.15669709391863,-2.61889770913589
O95297,-12.666404890046,-6.11453256188443,-5.49581318017614,-5.18510477076116,-5.5845349892316
Q9NPH2,-23.2534966642115,-4.51342737196259,-4.27943693909927,-3.63759587031197,-5.13990826169185
Q8N806,-15.2477878959552,-3.31697226571904,-3.33382389458986,-2.44753855270305,-2.89012939037536
Q14671,-10.1108056624095,-3.66892846335288,-3.93008953469897,-2.84824221230303,-3.75578297945351
O43924,-19.0207643024394,-4.32187241185848,-3.06436380051995,-3.03021794376146,-4.56769377841279
P47756,-13.3997616665372,-5.02549798347217,-4.41129115239573,-4.07005235378855,-5.23167097426874
P26196,-13.7443931330509,-5.45120425178351,-5.52019047973472,-4.88673758467682,-6.41190635425012
P09104,-23.2534966642115,-8.9767622726239,-7.50085335860967,-5.40605110125533,-7.88483312356036
P11413,-12.2186581725461,-5.34127596174204,-4.88334957285373,-4.61127201094179,-5.94779788354096
O94776,-11.2237521038919,-3.59870492190378,-2.82157578838401,-2.55068680687116,-3.71473904845429
Q9H6U8,-23.2534966642115,-6.34422717108677,-4.69619218352252,-4.59200179057359,-4.99639026842353
Q9P291,-15.0239976370069,-4.31123798683012,-2.28149833624517,-3.03779243472694,-4.09014772906147
Q68D91,-23.2534966642115,-5.26881052987752,-4.69962424949333,-4.08764919980998,-5.5142065363782
O60231,-14.5082185009229,-5.03349984608748,-4.4131566533328,-3.44789742690166,-5.19367745001798
Q9Y4X5,-15.2641843407326,-3.6870338585106,-3.55167245588744,-3.07652529807741,-5.08426280238085
Q96MZ0,-23.2534966642115,-5.8093275982272,-4.94534813327524,-4.88093437758786,-5.58046961586915
Q86Y82,-23.2534966642115,-4.12726070770517,-3.12298593181687,-2.81803465783563,-3.73459153153741
Q8NCB2,-11.1245258073845,-5.64554737731328,-4.18112451734774,-4.25766490508423,-5.10529450501626
Q8IV08,-23.2534966642115,-3.99872253104207,-3.25555794863913,-2.96871641787826,-3.77356878816521
P51149,-15.4098805244399,-8.15124921851031,-7.15336529693516,-6.90992390951363,-7.52144573839212
P13489,-12.8534688141477,-5.50135249218099,-4.97468962886771,-4.5845511684436,-5.82725498292767
Q9Y3A3,-23.2534966642115,-6.73580069763049,-7.8383116404311,-6.98284562187277,-4.48373510832514
Q96B54,-11.9017256111778,-3.14468417849369,-2.58222053646731,-2.06089103131492,-3.48714213831588
O15394,-13.1100998860824,-3.56219596110433,-2.91488261407898,-2.63766461186066,-4.42423745514344
Q15771,-23.2534966642115,-4.42658355191913,-3.27643002900814,-3.07090674448994,-3.52949118147208
P63096,-23.2534966642115,-5.33774490430919,-4.07477500575011,-3.8462992676372,-5.24859633067917
P52292,-12.4865217555553,-3.21193672196746,-3.00169738703829,-2.40019993669227,-2.64272485062956
Q13586,-23.2534966642115,-5.03246515149837,-4.66142416322331,-4.31047904874011,-5.5414722898687
Q96SW2,-23.2534966642115,-4.29203628207595,-3.55351312987553,-3.50160159295127,-4.1037943163781
P51812,-23.2534966642115,-4.4180764305376,-3.51526198451525,-3.40698566100628,-4.45521663032027
O43292,-9.23939777598171,-4.60292836947354,-3.9705696751055,-3.91652929332687,-4.34659437337223
Q96MY1,-23.2534966642115,-2.71355148790147,-2.13098129868513,-1.80335802196566,-2.26699688305586
Q9UQL6,-5.4446532901541,-0.836919749836729,-2.43184463627857,-1.03953162483081,-2.56460098593774
Q9H2V7,-23.2534966642115,-4.45109217262088,-3.8190266703059,-3.41864962785551,-4.36036193290568
Q9UI30,-23.2534966642115,-4.74637046478449,-4.06890686943759,-3.66750842424501,-4.25220132146826
Q96S59,-6.76224307442318,-3.39682267198457,-2.79469071227276,-2.31989385181532,-3.35770898989379
P51116,-10.0991882159273,-3.97416304830519,-3.18051257038572,-2.98146286174724,-3.84621711136814
Q8TAD8,-23.2534966642115,-3.9062982007707,-3.66686101909796,-2.68016690679296,-3.75142775467905
Q5JU69,-23.2534966642115,-4.98801763652262,-3.60245029533326,-3.16568071316899,-4.57623891543907
P19404,-23.2534966642115,-7.68614189226488,-6.77044673049622,-6.44537607794039,-6.99263720365378
Q9NP72,-8.58327221611381,-3.95368634344316,-3.99555635829999,-3.51454275372293,-4.36206240981256
Q9H0E2,-23.2534966642115,-4.56461901052825,-3.69990159426733,-3.14185108799745,-3.65447325523867
Q8N350,-7.1425568140974,-4.79473863608409,-6.18011076033138,-4.75372974889095,-5.18104524957072
Q8NFT8,-7.38995558929106,-2.86126219105765,-2.50690295785718,-1.82297285592334,-1.97253842546905
Q6IEE7,-7.58961453074705,-3.76723228656808,-3.23240547513386,-2.50249034323432,-3.49155400206595
Q8NFZ8,-23.2534966642115,-3.9800603645251,-2.80127745960848,-2.39319432843084,-3.14045431243665
O75164,-23.2534966642115,-4.45191874876278,-3.18132057535326,-2.36632412177944,-2.71722441503152
Q8TC26,-12.0598611935902,-5.94050193526627,-5.35800188044501,-5.42358803037256,-5.41528237396665
Q92993,-23.2534966642115,-5.54869652871432,-4.22955300139826,-3.54962047932605,-6.9248327058241
Q8IV32,-7.75936245374124,-3.05036595413911,-2.74827555416246,-2.11358007263387,-2.6351599323168
Q96AY3,-1.58862002783612,-3.24144781183847,-4.95809688603591,-3.101394432636,-3.09972977787084
Q9P2S2,-11.8631634525233,-4.30011529518349,-3.11256362745747,-3.04723977059307,-3.69088758463716
P42224,-15.8570255144338,-4.47747184227024,-4.32298995638505,-5.51533221966044,-5.42057100706728
Q9HCD6,-10.325200110675,-3.66985867060623,-3.34644138976165,-3.3875743176491,-3.62259038239478
Q8IVW6,-11.404128570487,-3.22757840009757,-4.15888169542945,-3.7502062676594,-3.03655714268205
Q96IG2,-13.7835715880383,-4.9410566508773,-4.61792923064973,-4.3563804579087,-4.16488724650201
Q86U70,-17.1667576242019,-4.1700425870147,-4.11947095986329,-4.84168483041021,-5.84272584793522
Q8N2K0,-13.2359444307758,-4.88458817480874,-4.3290789436284,-4.46606075891592,-4.68402570022336
O43526,-5.95589686527402,-3.40479417382719,-3.46347769532768,-2.19711051356402,-2.34939837735877
Q9BYV9,-13.1260467620822,-3.67182572280551,-3.08146457218613,-2.78784155878588,-3.1489677830435
P61006,-23.2534966642115,-5.5065054203844,-4.13972003121864,-7.01837084672222,-5.99760343863837
Q9P2Y5,-11.1647779462781,0.165178190510872,0.164100177484015,0.367965815313942,1.80967045921597
Q14344,-12.7428569599991,-5.72407715183345,-5.2141312094552,-4.69748988336518,-5.21847900697865
Q96PB7,-3.75684546242217,-2.72255355316863,-2.17755662992507,-1.81262614826983,-2.42965010375879
P50542,-12.1793424620311,-4.93802904043049,-4.38296859403196,-3.61835188535756,-4.47516654029415
Q4KMQ2,-3.2904357238833,-23.2534966642115,-3.64325106949796,-2.55333160265934,-14.1228666235753
Q9H4M3,-8.14562436749207,-4.06588803895356,-3.38193552838142,-2.95344531291244,-2.73203347157075
O00506,-13.0675289140013,-4.97736853270599,-4.64812163783076,-3.10000827216887,-4.57769393918495
Q9P0I2,-23.2534966642115,-5.11657043619214,-4.30194738730956,-3.99296369637158,-5.47468536163096
Q6L8Q7,-20.5251133702023,-7.74534796525239,-5.87122129007567,-6.10546804510078,-6.75787809218589
O43252,-15.3493393814252,-4.47836101171647,-3.48691380436714,-2.89854435235767,-4.10953119307238
P61018,-7.9752637318147,-4.18098883128501,-4.6654276111805,-3.05664185705615,-4.4052160456702
P56211,-10.7897549453753,-3.89086555981939,-3.94889975764644,-3.5529387778673,-3.8690570364615
Q9H3K2,-13.5526590246952,-7.11539980002297,-5.89759857659487,-5.8464514659615,-6.77769102697794
O94985,-6.10177895856801,-3.016804203639,-2.2690878347436,-1.31087403790174,-1.38788604388221
Q9Y3I1,-15.8517802975041,-4.52770921760948,-3.30088980529687,-2.91533479768076,-3.65738756510359
P07858,-23.2534966642115,-5.777773671541,-5.84601479055832,-4.9469791346615,-5.50268760613733
P38606,-14.1040939329965,-5.47345009552308,-4.15226944189234,-4.12179846589058,-5.12210809121792
P42229,-5.67288214943398,-2.66843905008759,-23.2534966642115,-14.479425156054,-12.7816937683674
O14775,-8.99599493922478,-5.44955884962777,-4.42381421619702,-4.13802819592542,-4.71818740054923
Q9ULU8,-15.1161878813272,-7.83747375174714,-7.42472992344415,-6.90443066049406,-7.97969076564253
O96005,-11.9276106430749,-6.44299952264703,-6.12010047898259,-6.53337487744157,-6.11982719469871
Q92945,-14.0154029671559,-5.41818613386105,-5.14983852843276,-4.20178916769182,-7.21618649833415
Q8IUH5,-23.2534966642115,-4.05079587232309,-3.19784045094476,-2.55632337124798,-2.87678718006203
O94898,-23.2534966642115,-4.29331375845274,-3.80547383621347,-2.38605070636536,-2.72926008747472
P35716,-5.31456338151008,-2.35384845053935,-1.6726395103622,-1.02484993709081,-1.10382115840833
Q9Y3C6,-15.4305552081587,-7.33803742928647,-6.35950481845903,-6.69700914805946,-6.35929158327306
O75746,-14.9389201489352,-6.15333825588088,-7.92253212731886,-6.64106017728165,-7.45929667718355
Q86XL3,-13.4072456812708,-4.52040611031333,-7.96702870146411,-5.6008276710133,-4.59538862219626
Q13895,-13.8152935010505,-3.70958218338487,-3.21724984192031,-3.06634242900308,-2.97539058261909
P26378,-23.2534966642115,-3.9405596958461,-3.31315511309656,-3.06056510171531,-4.05012307965991
Q86Y79,-13.0027587958642,-3.84061068847568,-3.43007070815612,-3.64809921759743,-3.94028040225959
Q96S55,-11.2164882660539,-4.34226851870501,-4.22791170583356,-2.60995257464251,-3.44180392144794
Q9UQ35,-23.2534966642115,-5.19395319312704,-8.29686544267763,-4.78597015378883,-4.77677007105968
Q92879,-23.2534966642115,-5.24367492885378,-3.7714791905739,-3.32032481448705,-5.56477787069065
Q9Y2H5,-23.2534966642115,-3.30129504228903,-2.63944855535777,-2.2160497196135,-2.97644056077388
P48664,-23.2534966642115,-3.77971482695978,-2.63306994170901,-2.51339157744538,-3.45842543640133
A1L0T0,-12.8586608105781,-5.27673856236577,-4.46687338380027,-4.23284280112625,-5.00144261297978
Q6PI78,-14.7492461483722,-5.66914051107539,-5.46900551778659,-4.95133219900992,-5.45978593967982
O94910,-23.2534966642115,-3.56837681724536,-3.04211317858498,-2.46401984038758,-3.49663586822917
P50148,-23.2534966642115,-5.76142500090012,-5.06500600976424,-4.98069477673799,-6.01801256571183
Q9UHV9,-23.2534966642115,-6.90739857777782,-5.47803817807603,-5.0057627225665,-5.66917856643898
Q9GZM8,-15.5977393200294,-4.02568826709338,-3.522440893852,-3.11398422407671,-3.36762674997794
P15822,-8.72078533628699,-1.55788505524806,-13.80085106567,-2.86771103642914,-2.00084467688814
Q9Y6D9,-23.2534966642115,-5.033619710068,-2.96763018105364,-2.75267239446274,-4.29643331198248
Q9Y216,-6.45677867234413,-3.66990011009187,-3.52903776530629,-2.99117500074947,-4.96697092051965
Q13526,-23.2534966642115,-5.55168828842823,-4.53598550519304,-4.14024650497014,-5.10730793850275
Q969G2,-23.2534966642115,-3.79759570451094,-2.42689163955932,-1.42040904642435,-2.03614668134655
Q9NZV5,-5.61188975499058,-3.81165801109744,-4.51880142092775,-2.95044107698583,-3.12954113835612
Q08174,-8.33908755481884,-3.82113753664881,-3.68736267203822,-2.51465720665811,-4.03996938529747
Q6VAB6,-12.6990528282375,-5.16776360606673,-3.49891290809522,-3.59016630283548,-4.32690705295933
Q96GS4,-23.2534966642115,-6.00370726609085,-6.07203570863796,-5.6365778957753,-6.3717391951848
Q96DE0,-23.2534966642115,-4.6380795234155,-4.19029009716192,-3.73926480450774,-4.92702430123845
Q5T3F8,-7.42439279727096,-4.30598248487376,-3.22258895216404,-3.00020723832321,-3.77935198982227
Q9HCN4,-23.2534966642115,-6.27486967953686,-5.76667905280968,-3.77557512995432,-6.2181408718492
