PG.ProteinGroups,P150
P61247,-6.1606930139779
O43312,-4.25301882865867
P62380,-3.67956814789076
O15020,-5.49321494052085
P14735,-3.74486888909187
P47756,-4.41129115239573
Q96B54,-2.58222053646731
Q96S90,-3.4192081950781
Q9UJ41,-5.13839927199259
Q86Y82,-3.12298593181687
Q8IWT6,-4.10520784525088
P48634,-3.53271024807775
Q5VTL8,-4.08706278974635
Q9Y3I1,-3.30088980529687
Q9P0J7,-3.82432421269006
Q14318,-2.52259856982566
P51513,-5.5668814734238
Q9BWM7,-4.45076760266519
Q9ULJ7,-3.99481965087444
Q86UU1,-3.59174920274202
O43924,-3.06436380051995
Q9Y6D9,-2.96763018105364
Q96CX2,-2.92735358136
Q06455,-1.30131831281717
Q75VX8,-4.4142933624879
Q9HCG8,-3.83774357421058
Q24JP5,-2.72627139394542
Q8NFZ8,-2.80127745960848
Q9GZZ1,-4.17795574774013
O00571,-3.1166329739441
Q16718,-3.67650696074184
Q9H4M3,-3.38193552838142
Q96ST3,-3.57558898398528
O94813,-4.59383942333185
Q7Z5G4,-3.80689913344045
Q53FT3,-5.45953521602829
Q12926,-3.58401669776316
Q9H8M5,-4.2053886404422
Q5TGI0,-3.85073751148151
O15173,-3.98091096230293
P42892,-2.74994298311079
Q92993,-4.22955300139826
Q07866,-5.64074238230811
Q9Y2H5,-2.63944855535777
Q8IXH7,-4.55415982234244
O95297,-5.49581318017614
Q9UHR5,-4.43504024330558
O15394,-2.91488261407898
Q9NQG5,-3.91459007755966
Q9HBE1,-1.72162074265625
Q9Y285,-5.18124127685386
Q9Y3C6,-6.35950481845903
O14730,-2.24905585591629
P13798,-4.33761295778562
Q9BRJ7,-3.99008387110068
O43292,-3.9705696751055
Q8IWA4,-3.61437302716313
Q2TAL8,-2.21704820411002
Q76G19,-3.0649158832896
Q8NI27,-4.47497675144636
P35222,-3.55269813452813
Q9Y4C2,-2.33921099786663
P52292,-3.00169738703829
Q6P1R4,-3.30834781018815
P51116,-3.18051257038572
P78559,-5.23116858730658
Q13526,-4.53598550519304
O43602,-3.85749919493971
Q8IV08,-3.25555794863913
Q7Z6M1,-4.21278991802295
Q9NP72,-3.99555635829999
P35716,-1.6726395103622
P63096,-4.07477500575011
Q8NCB2,-4.18112451734774
O60828,-3.47575058523014
Q12852,-3.71585676036959
Q16827,-2.98086450548208
Q5JU69,-3.60245029533326
O00273,-4.81303498777487
Q8IVU1,-3.22295816685203
O94910,-3.04211317858498
O94776,-2.82157578838401
Q92879,-3.7714791905739
O75190,-3.31202833879661
P22694,-3.93506163050844
Q96SW2,-3.55351312987553
Q8IV32,-2.74827555416246
A7MD48,-2.39528114387222
O60216,-4.20269663038075
Q13586,-4.66142416322331
Q8NFG4,-2.4726798807053
Q969G2,-2.42689163955932
O95336,-5.4449737269594
P54105,-4.33619191564483
O15379,-3.53308959611082
Q9NWZ5,-3.9707045461772
Q9GZL7,0.631676146835663
Q9UL46,-6.37154985436962
Q96AY3,-4.95809688603591
Q13873,-3.50673487935478
A6QL63,-1.73592146243546
Q08379,-2.84414957317438
Q8IYB1,-3.57489720350399
O43252,-3.48691380436714
Q8WYK1,-3.43759695893676
Q08629,-2.11630356303214
Q99856,-2.72734683991552
P55786,-5.78261737185413
P50148,-5.06500600976424
Q8IU81,-3.34221335070208
Q9BUZ4,-4.22013814919509
O00255,-4.52237509860515
P68106,-3.79825938672625
