PG.ProteinGroups,P300_24
Q96F86,-5.68796407093265
P48730,-2.43442141285946
Q7Z4K8,-3.79614124518953
Q9P0J7,-4.71479407368506
Q9UPN6,-2.43377389421481
Q9ULI4,-2.9855778500451
P51149,-7.52144573839212
O00750,-4.58272219297995
P35716,-1.10382115840833
Q15771,-3.52949118147208
Q9UGL1,-2.56468570159297
Q9H0E2,-3.65447325523867
P16298,-5.61310690447489
Q8NFT8,-1.97253842546905
Q9UQ35,-4.77677007105968
Q5H8A4,-4.56025199957156
Q9UHC6,-4.16579436843916
Q9HCK4,-6.48415825904428
P34059,-4.10585831890485
Q64LD2,-4.59384840861463
A6NJT0,-1.39164515014711
Q9Y2G0,-4.36925663505684
O00767,-23.2534966642115
Q13895,-2.97539058261909
O95870,-5.06571439367213
Q8WUU5,-4.80105830550916
Q8IWT6,-4.71979142261518
O94812,-2.16313230848329
Q9NWZ5,-4.34027604092972
Q674X7,-4.16101311701959
Q52WX2,-2.52601176273655
Q96DV4,-4.93775215632946
Q8N608,-5.09355066580193
Q8TDN6,-3.03279083832136
Q9Y4F1,-6.3199447851952
Q9H857,-4.45927243447027
Q8IV32,-2.6351599323168
Q9H6K5,-4.94958615508405
Q92738,-2.60302025539469
Q9H2C0,-5.15127279271951
Q9GZM8,-3.36762674997794
Q08629,-2.01577674815585
Q14344,-5.21847900697865
O94827,-3.86240183929479
Q9NVD7,-2.94650310034911
Q13449,-7.229861900541
Q96C36,-6.10236354499779
Q96MH6,-3.56047933199762
O94985,-1.38788604388221
Q684P5,-4.18469698714747
P82663,-6.14320993635356
Q13705,-3.31897409330412
O14735,-5.63413645920226
P49918,-2.42764820682041
O60422,-1.06229612685941
Q9NR28,-5.85938021939783
Q8N5H7,-3.38810091635684
Q9HCH0,-3.52250849444197
P06241,-4.93166768536539
Q96IG2,-4.16488724650201
P50542,-4.47516654029415
O95071,-4.03360850188298
P49840,-4.75318463646812
Q13002,-1.87786944792192
Q719H9,-2.05754876110779
Q9ULD9,-2.44361379339413
