PG.ProteinGroups,P0,P50
Q96CX2,-23.2534966642115,-3.69855524048455
Q9Y4C2,-11.0834739120459,-3.31524648879666
P40925,-23.2534966642115,-5.69088052624446
Q14318,-11.2444084340434,-3.25423148671133
P08579,-12.3279826846145,-6.00989942715165
Q9BRJ7,-8.34482433304704,-4.81739510482828
O95155,-23.2534966642115,-5.3917061696391
Q96Q42,-13.8002012732311,-4.44751593919064
Q9Y512,-14.858625355493,-6.15189567363565
Q9HA65,-11.6491784546586,-4.43847701127337
Q0PNE2,-0.806199376510397,-23.2534966642115
Q9NRN7,-23.2534966642115,-4.20745517719001
Q06455,-23.2534966642115,-2.4249804896034
Q9BWM7,-23.2534966642115,-5.07315431706589
O94856,-23.2534966642115,-4.71460472873031
Q92604,-23.2534966642115,-5.04568830806386
P54105,-23.2534966642115,-5.27715899372041
P19086,-8.82171539252218,-5.56136573201501
O15498,-23.2534966642115,-6.27990237282908
Q24JP5,-6.93022557963334,-3.44609812892521
O95297,-12.666404890046,-6.11453256188443
Q9NPH2,-23.2534966642115,-4.51342737196259
Q8N806,-15.2477878959552,-3.31697226571904
Q14671,-10.1108056624095,-3.66892846335288
O43924,-19.0207643024394,-4.32187241185848
P47756,-13.3997616665372,-5.02549798347217
P26196,-13.7443931330509,-5.45120425178351
P09104,-23.2534966642115,-8.9767622726239
P11413,-12.2186581725461,-5.34127596174204
O94776,-11.2237521038919,-3.59870492190378
Q9H6U8,-23.2534966642115,-6.34422717108677
Q9P291,-15.0239976370069,-4.31123798683012
Q68D91,-23.2534966642115,-5.26881052987752
O75326,-9.62498850910869,-3.46660391968513
Q9UPW5,-12.3775252912175,-5.35031894008411
O60231,-14.5082185009229,-5.03349984608748
Q9Y4X5,-15.2641843407326,-3.6870338585106
Q96MZ0,-23.2534966642115,-5.8093275982272
Q86Y82,-23.2534966642115,-4.12726070770517
Q8NCB2,-11.1245258073845,-5.64554737731328
P25787,-15.6271329307691,-7.21842216207202
Q8IV08,-23.2534966642115,-3.99872253104207
P51149,-15.4098805244399,-8.15124921851031
P13489,-12.8534688141477,-5.50135249218099
Q9Y3A3,-23.2534966642115,-6.73580069763049
Q96B54,-11.9017256111778,-3.14468417849369
O15394,-13.1100998860824,-3.56219596110433
Q15771,-23.2534966642115,-4.42658355191913
P63096,-23.2534966642115,-5.33774490430919
P52292,-12.4865217555553,-3.21193672196746
Q13586,-23.2534966642115,-5.03246515149837
Q96SW2,-23.2534966642115,-4.29203628207595
P51812,-23.2534966642115,-4.4180764305376
O43292,-9.23939777598171,-4.60292836947354
Q96MY1,-23.2534966642115,-2.71355148790147
Q9UQL6,-5.4446532901541,-0.836919749836729
Q13951,-23.2534966642115,-4.67609143096881
Q9H2V7,-23.2534966642115,-4.45109217262088
Q9UI30,-23.2534966642115,-4.74637046478449
Q96S59,-6.76224307442318,-3.39682267198457
P51116,-10.0991882159273,-3.97416304830519
Q8TAD8,-23.2534966642115,-3.9062982007707
Q5JU69,-23.2534966642115,-4.98801763652262
P19404,-23.2534966642115,-7.68614189226488
Q9NP72,-8.58327221611381,-3.95368634344316
Q9H0E2,-23.2534966642115,-4.56461901052825
Q8N350,-7.1425568140974,-4.79473863608409
Q8NFT8,-7.38995558929106,-2.86126219105765
O00560,-23.2534966642115,-7.54093561030801
P51784,-10.6984453399175,-4.95339429828524
Q6IEE7,-7.58961453074705,-3.76723228656808
Q8NFZ8,-23.2534966642115,-3.9800603645251
Q9BTT0,-23.2534966642115,-7.51224161628163
O75164,-23.2534966642115,-4.45191874876278
Q8TC26,-12.0598611935902,-5.94050193526627
Q92993,-23.2534966642115,-5.54869652871432
Q8IV32,-7.75936245374124,-3.05036595413911
