PG.ProteinGroups,PG.Genes
Q9GZL7,WDR12
Q9UK28,TMEM59L
Q13011,ECH1
Q8IWV8,UBR2
Q9H0E2,TOLLIP
A6NJT0,UNCX
P51784,USP11
P61086,UBE2K
O43151,TET3
P46109,CRKL
Q9NRX5,SERINC1
Q9HCM3,KIAA1549
Q9UHR5,SAP30BP
Q5VTL8,PRPF38B
Q96RN5,MED15
P42892,ECE1
Q658Y4,FAM91A1
Q8TF61,FBXO41
Q96PB7,OLFM3
Q7Z4V5,HDGFL2
Q8WUJ1,CYB5D2
Q5T7P8,SYT6
Q9UIF9,BAZ2A
O94985,CLSTN1
Q9Y575,ASB3
Q9UNQ2,DIMT1
Q9UN75,PCDHA12
Q7L775,EPM2AIP1
O95755,RAB36
Q9BQ39,DDX50
C9JLW8,MCRIP1
Q7KZ85,SUPT6H
P35716,SOX11
Q9H4M3,FBXO44
Q8IV08,PLD3
Q9UIC8,LCMT1
P36578,RPL4
Q6PID6,TTC33
O94921,CDK14
Q92785,DPF2
P30876,POLR2B
O60506,SYNCRIP
P10586,PTPRF
Q9NP72,RAB18
Q9NPD8,UBE2T
Q5JSZ5,PRRC2B
O15027,SEC16A
Q06455,RUNX1T1
A1L0T0,ILVBL
Q96D05,FAM241B
Q01851,POU4F1
P23743,DGKA
Q674X7,KAZN
Q96EY1,DNAJA3
O00767,SCD
Q92925,SMARCD2
Q01658,DR1
Q2V2M9,FHOD3
Q06210,GFPT1
Q9GZN1,ACTR6
Q14344,GNA13
O75093,SLIT1
Q5ZPR3,CD276
P07311,ACYP1
P52292,KPNA2
Q96A35,MRPL24
P63244,RACK1
Q99784,OLFM1
Q24JP5,TMEM132A
O96005,CLPTM1
O94812,BAIAP3
Q8IUH5,ZDHHC17
Q8IVU1,IGDCC3
Q13772,NCOA4
O76070,SNCG
Q9BY67,CADM1
P17405,SMPD1
P41567,EIF1
Q6PID8,KLHDC10
O15213,WDR46
Q8IWT6,LRRC8A
Q9ULN7,PNMA8B
P49918,CDKN1C
O75190,DNAJB6
Q96DE0,NUDT16
Q9NR46,SH3GLB2
Q53FT3,HIKESHI
Q6P1Q0,LETMD1
Q5VTB9,RNF220
O95057,DIRAS1
Q8N0Z6,TTC5
P09104,ENO2
Q9HCK5,AGO4
O95071,UBR5
O43310,CTIF
P22303,ACHE
P27695,APEX1
Q9UPN6,SCAF8
Q02252,ALDH6A1
P40425,PBX2
Q86XP3,DDX42
P31930,UQCRC1
Q969G2,LHX4
Q9P2S2,NRXN2
Q9UHN1,POLG2
P32780,GTF2H1
Q86Y82,STX12
O43312,MTSS1
P30040,ERP29
Q9Y4C2,TCAF1
O95864,FADS2
Q12824,SMARCB1
P62699,YPEL5
O95996,APC2
Q9Y4P1,ATG4B
O43405,COCH
P55265,ADAR
Q96HE7,ERO1A
Q16585,SGCB
Q9UKC9,FBXL2
Q9NPZ5,B3GAT2
O14525,ASTN1
Q13569,TDG
P60891,PRPS1
Q9NPH2,ISYNA1
Q9ULP0,NDRG4
Q9NZV5,SELENON
Q9Y5Z7,HCFC2
P46379,BAG6
Q9HAT8,PELI2
Q9HBE1,PATZ1
O75509,TNFRSF21
Q14671,PUM1
P0CK96,SLC35E2B
Q9H6T3,RPAP3
Q92529,SHC3
Q8N766,EMC1
Q01484,ANK2
P62241,RPS8
Q8NFT8,DNER
O15394,NCAM2
Q9NQG5,RPRD1B
O43526,KCNQ2
Q13951,CBFB
Q9BX68,HINT2
O00571,DDX3X
Q9HCG8,CWC22
P07741,APRT
Q9NV31,IMP3
Q9Y3C6,PPIL1
Q92913,FGF13
Q8WYN3,CSRNP3
Q96MY1,NOL4L
P49674,CSNK1E
Q719H9,KCTD1
Q9UL15,BAG5
Q13490,BIRC2
O14735,CDIPT
Q9NWD8,TMEM248
Q8WV44,TRIM41
P55286,CDH8
Q9ULH0,KIDINS220
Q9Y5A7,NUB1
Q9H3P7,ACBD3
P51116,FXR2
Q9NWQ8,PAG1
P67775,PPP2CA
Q15417,CNN3
Q9HCH0,NCKAP5L
Q86UN3,RTN4RL2
P14373,TRIM27
Q8NC67,NETO2
Q7L3B6,CDC37L1
Q9ULJ6,ZMIZ1
Q8N9M1,C19orf47
Q09472,EP300
Q16718,NDUFA5
Q9Y608,LRRFIP2
Q96DM3,RMC1
Q76G19,PDZD4
Q8IVL1,NAV2
O95674,CDS2
Q6PK81,ZNF773
Q15334,LLGL1
Q8NFZ8,CADM4
Q92546,RGP1
Q9UL46,PSME2
Q5T3F8,TMEM63B
P03897,MT-ND3
P38606,ATP6V1A
O14949,UQCRQ
Q9Y3I1,FBXO7
Q9BSR8,YIPF4
Q8NB37,GATD1
Q96KQ7,EHMT2
Q99848,EBNA1BP2
Q9BQI5,SGIP1
Q9BRJ6,C7orf50
P07949,RET
O00399,DCTN6
O94964,SOGA1
Q8N5J2,MINDY1
O95415,BRI3
P54105,CLNS1A
Q9Y2H5,PLEKHA6
O95848,NUDT14
P52594,AGFG1
P78332,RBM6
Q12852,MAP3K12
O00743,PPP6C
P43358,MAGEA4
Q684P5,RAP1GAP2
Q9Y294,ASF1A
Q9ULX3,NOB1
Q9C0B6,BRINP2
Q9GZS1,POLR1E
Q9NWZ5,UCKL1
Q9ULJ3,ZBTB21
P60510,PPP4C
O95297,MPZL1
O15550,KDM6A
Q8N158,GPC2
Q96N64,PWWP2A
Q8IWA4,MFN1
Q6IEE7,TMEM132E
Q9BT67,NDFIP1
P13489,RNH1
P04843,RPN1
O43683,BUB1
P47224,RABIF
Q9BV68,RNF126
O94856,NFASC
Q96SW2,CRBN
Q96CX2,KCTD12
Q9BRD0,BUD13
Q8IYL2,TRMT44
Q2TBE0,CWF19L2
O15270,SPTLC2
Q9Y3E0,GOLT1B
Q9Y4F5,CEP170B
P52756,RBM5
Q53T59,HS1BP3
O94829,IPO13
Q9Y5X1,SNX9
P40426,PBX3
Q9NRN7,AASDHPPT
P00441,SOD1
Q9H5H4,ZNF768
Q9BWD3,RTL8A
Q9Y2I1,NISCH
Q9H6U8,ALG9
P11413,G6PD
Q6ZMG9,CERS6
P35568,IRS1
Q96MT1,RNF145
Q96JJ6,JPH4
Q8IYB5,SMAP1
Q86SK9,SCD5
Q9UPU3,SORCS3
P16220,CREB1
Q9BQ04,RBM4B
O14522,PTPRT
Q8NEU8,APPL2
O75817,POP7
Q9H857,NT5DC2
Q9H2V7,SPNS1
Q5TCY1,TTBK1
Q14728,MFSD10
P62979,RPS27A
P47756,CAPZB
P22694,PRKACB
P53805,RCAN1
Q9BYP7,WNK3
Q9BTX7,TTPAL
Q9C0J8,WDR33
Q9C0D9,SELENOI
P51149,RAB7A
Q8N954,GPATCH11
O95487,SEC24B
Q7L211,ABHD13
P49840,GSK3A
Q9BWM7,SFXN3
Q5TGY3,AHDC1
Q7Z5Q1,CPEB2
P28799,GRN
Q5TGI0,FAXC
Q9NXV2,KCTD5
P60660,MYL6
Q9NYQ7,CELSR3
O00192,ARVCF
Q9BZX2,UCK2
Q9UMN6,KMT2B
Q6PIJ6,FBXO38
Q08174,PCDH1
Q9HA65,TBC1D17
Q06587,RING1
A7MD48,SRRM4
Q9H4L4,SENP3
P62888,RPL30
Q86VP1,TAX1BP1
P04035,HMGCR
Q96SU4,OSBPL9
O94910,ADGRL1
P13798,APEH
Q86Y79,PTRH1
Q8N0W4,NLGN4X
Q96RD6,PANX2
P35222,CTNNB1
Q9NYY8,FASTKD2
Q9BRJ7,NUDT16L1
Q6ZTW0,TPGS1
Q15018,ABRAXAS2
P19086,GNAZ
Q52LR7,EPC2
Q92734,TFG
P85037,FOXK1
Q92604,LPGAT1
Q8IWZ3,ANKHD1
Q86U90,YRDC
Q6L8Q7,PDE12
Q6T4R5,NHS
Q8ND25,ZNRF1
Q9H9T3,ELP3
Q96B54,ZNF428
Q15061,WDR43
Q8WTW4,NPRL2
P62318,SNRPD3
Q13485,SMAD4
O14924,RGS12
O95336,PGLS
P56159,GFRA1
P61225,RAP2B
O43296,ZNF264
Q14318,FKBP8
Q15126,PMVK
O75792,RNASEH2A
Q9NRX2,MRPL17
P62341,SELENOT
Q86UU1,PHLDB1
Q8WX77,IGFBPL1
P50542,PEX5
Q29RF7,PDS5A
P04156,PRNP
Q96DF8,ESS2
Q96KC2,ARL5B
Q05048,CSTF1
O75896,TUSC2
O75164,KDM4A
Q9Y5N5,N6AMT1
Q92747,ARPC1A
O14975,SLC27A2
O95155,UBE4B
Q99627,COPS8
O95801,TTC4
Q02543,RPL18A
P19838,NFKB1
Q9Y512,SAMM50
Q96S55,WRNIP1
Q9H160,ING2
Q96SB4,SRPK1
Q8WYK1,CNTNAP5
Q86XX4,FRAS1
Q01538,MYT1
Q9BQ52,ELAC2
Q5T5Y3,CAMSAP1
Q9UBB9,TFIP11
Q96FJ0,STAMBPL1
Q9GZY8,MFF
Q92979,EMG1
Q9P291,ARMCX1
Q13895,BYSL
Q9Y2Q5,LAMTOR2
Q99459,CDC5L
Q5BJH2,TMEM128
Q15125,EBP
Q6ZMK1,CYHR1
P09651,HNRNPA1
Q9ULB1,NRXN1
O94805,ACTL6B
Q8N9I9,DTX3
O94953,KDM4B
O94898,LRIG2
O95271,TNKS
Q6P1X6,C8orf82
P78509,RELN
Q12926,ELAVL2
Q9BYL1,SAMD10
Q9Y5V3,MAGED1
Q9HA47,UCK1
Q9Y5B8,NME7
O60716,CTNND1
Q9Y3P4,RHBDD3
P30153,PPP2R1A
Q9UPU7,TBC1D2B
Q9UPU5,USP24
Q5U4P2,ASPHD1
Q8N5C8,TAB3
Q9H1D9,POLR3F
Q9BRQ0,PYGO2
O00233,PSMD9
Q96GX1,TCTN2
Q5SQI0,ATAT1
Q9ULU8,CADPS
Q9BYD1,MRPL13
Q7Z5N4,SDK1
Q9BTC8,MTA3
Q68D91,MBLAC2
Q92574,TSC1
Q9UGN5,PARP2
Q9NPE3,NOP10
P06576,ATP5F1B
Q9H6K5,PRR36
P63096,GNAI1
Q969R2,OSBP2
Q9P2W7,B3GAT1
Q9BXQ6,TMEM121B
Q8N8A6,DDX51
O43913,ORC5
Q99856,ARID3A
Q9UI36,DACH1
O14782,KIF3C
Q9H4A3,WNK1
P49902,NT5C2
Q5SYC1,CLVS2
Q8ND83,SLAIN1
O14686,KMT2D
Q9UQB3,CTNND2
Q96PE2,ARHGEF17
Q8N2K0,ABHD12
Q15262,PTPRK
O60231,DHX16
P83369,LSM11
O43291,SPINT2
P23470,PTPRG
Q8TBJ4,PLPPR1
Q8N163,CCAR2
Q9UHG3,PCYOX1
Q93052,LPP
O95479,H6PD
Q96S59,RANBP9
Q9UI30,TRMT112
Q9BRS2,RIOK1
Q9Y2S7,POLDIP2
O95429,BAG4
Q8IYT2,CMTR2
P43378,PTPN9
P00387,CYB5R3
Q8NEY1,NAV1
Q76I76,SSH2
Q8WU79,SMAP2
P46060,RANGAP1
P07858,CTSB
O43173,ST8SIA3
O75489,NDUFS3
