PG.Genes,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
RPS3A,-6.18091319,-6.157997046,-6.160693014
MTSS1,-4.253018829,-4.266338994,-4.233655637
TBPL1,-3.679568148,-3.673717989,-3.707908723
SPTBN2,-5.495885386,-5.493214941,-5.456854209
IDE,-3.772911278,-3.719283155,-3.744868889
CAPZB,-4.378240405,-4.431853844,-4.411291152
ZNF428,-2.592393242,-2.538674316,-2.582220536
LYSMD1,-3.422242125,-3.370568531,-3.419208195
RABGEF1,-5.138399272,-5.141098917,-5.115139268
STX12,-3.122985932,-3.174991032,-3.121317173
LRRC8A,-4.105207845,-4.074094433,-4.135527441
PRRC2A,-3.570164087,-3.508834607,-3.532710248
PRPF38B,-4.08706279,-4.043176006,-4.103449466
FBXO7,-3.269994566,-3.32721449,-3.300889805
KCMF1,-3.862734836,-3.809974539,-3.824324213
FKBP8,-2.485209435,-2.52259857,-2.551358496
NOVA1,-5.585365858,-5.566881473,-5.517917432
SFXN3,-4.450767603,-4.473148822,-4.403002372
ANKRD50,-4.020877362,-3.949879373,-3.994819651
PHLDB1,-3.591749203,-3.552774597,-3.625318213
PDE6D,-3.120398088,-3.058223239,-3.064363801
MAD1L1,-2.960783146,-2.967630181,-2.996089427
KCTD12,-2.927353581,-2.99572505,-2.923475891
RUNX1T1,-1.301318313,-1.355975932,-1.276425406
GAREM2,-4.402461156,-4.478250924,-4.414293362
CWC22,-3.838510307,-3.837743574,-3.759153149
TMEM132A,-2.726271394,-2.780112385,-2.723346895
CADM4,-2.888558877,-2.80127746,-2.798408694
NAA50,-4.177955748,-4.231356039,-4.146538869
DDX3X,-3.059807345,-3.166018343,-3.116632974
NDUFA5,-3.706405241,-3.673783179,-3.676506961
FBXO44,-3.381935528,-3.310622713,-3.412164177
SIN3A,-3.475489162,-3.575588984,-3.576711647
SLIT2,-4.656516673,-4.593839423,-4.537164521
GOLGA7,-3.907220494,-3.806899133,-3.790790129
HIKESHI,-5.555578798,-5.432596397,-5.459535216
ELAVL2,-3.584016698,-3.489760298,-3.611672727
CNNM2,-4.20538864,-4.1759176,-4.300105201
FAXC,-3.902977168,-3.774612031,-3.850737511
PGRMC2,-3.980910962,-4.065263855,-3.937498484
ECE1,-2.749942983,-2.814186346,-2.684259609
KAT5,-4.280400268,-4.151794977,-4.229553001
KLC1,-5.588953968,-5.722025278,-5.640742382
PLEKHA6,-2.639448555,-2.756734741,-2.634974808
NELFCD,-4.440351867,-4.554159822,-4.559056201
MPZL1,-5.49581318,-5.407552344,-5.516898978
SAP30BP,-4.469872558,-4.336904541,-4.435040243
NCAM2,-2.914882614,-2.861192888,-3.000822532
RPRD1B,-3.796304385,-3.914590078,-3.919968977
PATZ1,-1.706086687,-1.721620743,-1.841648459
FARSA,-5.110266395,-5.181241277,-5.254821935
PPIL1,-6.326573391,-6.359504818,-6.471144615
RIOK3,-2.249055856,-2.238606801,-2.283517389
APEH,-4.242980526,-4.391505167,-4.337612958
NUDT16L1,-3.964047667,-3.990083871,-4.100648137
GPAA1,-3.970569675,-4.003262542,-3.903914156
MFN1,-3.525907847,-3.67244394,-3.614373027
QRICH1,-2.111861088,-2.235503218,-2.217048204
PDZD4,-3.064915883,-3.202552783,-3.061152478
THOC2,-4.558848678,-4.398298623,-4.474976751
CTNNB1,-3.689980831,-3.541199471,-3.552698135
TCAF1,-2.339210998,-2.481496652,-2.336544204
KPNA2,-3.001697387,-2.925854731,-3.089025575
DUS1L,-3.19665961,-3.356387152,-3.30834781
FXR2,-3.18051257,-3.152277123,-3.306822337
MAP1A,-5.231168587,-5.360560264,-5.203494081
PIN1,-4.535985505,-4.508074066,-4.669305948
DCX,-3.723987275,-3.879359609,-3.857499195
PLD3,-3.333429344,-3.158986553,-3.255557949
RABEPK,-4.193982501,-4.212789918,-4.329981552
RAB18,-3.995556358,-3.998369017,-3.881983776
SOX11,-1.658111657,-1.777035375,-1.67263951
GNAI1,-4.074775006,-4.054535575,-4.222425939
CAMKV,-4.15895856,-4.181124517,-4.326689684
PQBP1,-3.475750585,-3.455884992,-3.540497072
MAP3K12,-3.855678965,-3.674663211,-3.71585676
PTPRO,-3.104477452,-2.960745587,-2.980864505
TOR2A,-3.753546297,-3.602450295,-3.573468707
DFFA,-4.960476971,-4.813034988,-4.778130496
IGDCC3,-3.388483453,-3.222958167,-3.215563377
ADGRL1,-3.042113179,-3.039731094,-3.210990524
MTA2,-2.937586743,-2.745323284,-2.821575788
CELF1,-3.687982883,-3.881567847,-3.771479191
DNAJB6,-3.312028339,-3.177719528,-3.363135918
PRKACB,-3.935061631,-4.026925985,-3.840519262
CRBN,-3.424929702,-3.560607028,-3.55351313
CCDC71,-2.624141233,-2.748275554,-2.81193754
SRRM4,-2.282994922,-2.47478181,-2.395281144
RAD21,-4.038702513,-4.219606482,-4.20269663
STIM1,-4.831512614,-4.639983402,-4.661424163
FLCN,-2.472679881,-2.636136934,-2.439811319
LHX4,-2.42689164,-2.309904154,-2.517553094
PGLS,-5.444973727,-5.361820785,-5.574058215
CLNS1A,-4.336191916,-4.190107622,-4.394323797
HDAC3,-3.533089596,-3.557479362,-3.384143513
UCKL1,-4.038233815,-3.970704546,-3.830007769
WDR12,0.518855603,0.736952005,0.631676147
PSME2,-6.489039893,-6.334067602,-6.371549854
BMPR2,-3.506734879,-3.438060885,-3.599638312
BTBD11,-1.667515663,-1.735921462,-1.782595703
GOLGA2,-2.995713061,-2.844149573,-2.77267586
MB21D2,-3.574897204,-3.722119134,-3.495710835
PAPSS1,-3.416594022,-3.486913804,-3.646777752
CNTNAP5,-3.553190735,-3.437596959,-3.318320456
SPOCK1,-2.116303563,-2.14769961,-1.997516172
ARID3A,-2.72734684,-2.894853638,-2.662310505
NPEPPS,-5.974559306,-5.743705108,-5.782617372
GNAQ,-5.16438299,-5.06500601,-4.924089459
IRF2BP1,-3.210249005,-3.345746441,-3.342213351
TRAF4,-4.220138149,-4.10317928,-4.347200795
MEN1,-4.633263616,-4.390564788,-4.522375099
FKBP1B,-3.711524155,-3.798259387,-3.93011299
