PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
KCTD12,-3.673533875,-3.708574129,-3.69855524,-2.927353581,-2.99572505,-2.923475891
TCAF1,-3.340999207,-3.301578838,-3.315246489,-2.339210998,-2.481496652,-2.336544204
FKBP8,-3.254231487,-3.309495223,-3.250209216,-2.485209435,-2.52259857,-2.551358496
NUDT16L1,-4.817395105,-4.762368442,-4.821722449,-3.964047667,-3.990083871,-4.100648137
UBE4B,-5.349771908,-5.39170617,-5.440350754,-4.509311717,-3.751675094,-4.43436699
TBC1D17,-4.42740766,-4.438477011,-4.511527357,-5.165980383,-4.747155944,-4.414381881
AASDHPPT,-4.289348759,-4.186398067,-4.207455177,-3.222176427,-3.400601159,-3.155401431
RUNX1T1,-2.511735365,-2.40388337,-2.42498049,-1.301318313,-1.355975932,-1.276425406
SFXN3,-4.98953944,-5.073154317,-5.098503522,-4.450767603,-4.473148822,-4.403002372
NFASC,-4.80059596,-4.689798342,-4.714604729,-4.649715143,-4.336164761,-4.209543333
LPGAT1,-4.952785443,-5.045688308,-5.05767804,-5.052906889,-4.951639081,-4.363090372
CLNS1A,-5.277158994,-5.289882242,-5.184662619,-4.336191916,-4.190107622,-4.394323797
GNAZ,-5.561365732,-5.573848651,-5.509759457,-5.80351748,-5.549275419,-5.027053885
YKT6,-6.373091952,-6.252923797,-6.279902373,-5.718370618,-4.878089906,-5.27821218
TMEM132A,-3.446098129,-3.486275179,-3.44318607,-2.726271394,-2.780112385,-2.723346895
MPZL1,-6.114532562,-6.143728519,-6.08116145,-5.49581318,-5.407552344,-5.516898978
ISYNA1,-4.513427372,-4.411639646,-4.532217353,-4.522078443,-3.80302435,-4.279436939
PUM1,-3.668928463,-3.755957341,-3.620018601,-3.930089535,-3.590606919,-4.1810986
PDE6D,-4.335232546,-4.228526632,-4.321872412,-3.120398088,-3.058223239,-3.064363801
CAPZB,-4.945341206,-5.082278853,-5.025497983,-4.378240405,-4.431853844,-4.411291152
DDX6,-5.338069343,-5.467801698,-5.451204252,-5.52019048,-5.811959191,-5.392240227
G6PD,-5.243466365,-5.382767232,-5.341275962,-4.976337275,-4.667661328,-4.883349573
MTA2,-3.672745819,-3.598704922,-3.522795463,-2.937586743,-2.745323284,-2.821575788
ALG9,-6.324487999,-6.468406261,-6.344227171,-4.597272074,-5.01556709,-4.696192184
