PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
KCTD12,-3.673533875,-3.708574129,-3.69855524,-2.927353581,-2.99572505,-2.923475891,-2.586986478,-2.531772828,-3.026650975
TCAF1,-3.340999207,-3.301578838,-3.315246489,-2.339210998,-2.481496652,-2.336544204,-1.818154724,-1.81238454,-2.121693463
FKBP8,-3.254231487,-3.309495223,-3.250209216,-2.485209435,-2.52259857,-2.551358496,-1.947179579,-1.891375617,-2.477013803
NUDT16L1,-4.817395105,-4.762368442,-4.821722449,-3.964047667,-3.990083871,-4.100648137,-3.654862181,-3.687645975,-4.183495573
UBE4B,-5.349771908,-5.39170617,-5.440350754,-4.509311717,-3.751675094,-4.43436699,-3.128201731,-2.996264645,-3.627871392
TBC1D17,-4.42740766,-4.438477011,-4.511527357,-5.165980383,-4.747155944,-4.414381881,-4.231548635,-3.832541286,-4.349857789
AASDHPPT,-4.289348759,-4.186398067,-4.207455177,-3.222176427,-3.400601159,-3.155401431,-2.779353446,-2.882142638,-3.298246109
RUNX1T1,-2.511735365,-2.40388337,-2.42498049,-1.301318313,-1.355975932,-1.276425406,-0.831740516,-0.770944821,-0.996483214
SFXN3,-4.98953944,-5.073154317,-5.098503522,-4.450767603,-4.473148822,-4.403002372,-4.027705275,-3.78335039,-4.350430913
NFASC,-4.80059596,-4.689798342,-4.714604729,-4.649715143,-4.336164761,-4.209543333,-3.560584823,-3.379493709,-3.897764676
LPGAT1,-4.952785443,-5.045688308,-5.05767804,-5.052906889,-4.951639081,-4.363090372,-3.640340596,-4.01872653,-4.203850787
CLNS1A,-5.277158994,-5.289882242,-5.184662619,-4.336191916,-4.190107622,-4.394323797,-4.215067496,-4.370781137,-4.696048481
GNAZ,-5.561365732,-5.573848651,-5.509759457,-5.80351748,-5.549275419,-5.027053885,-4.690339358,-4.44292225,-5.001482065
TMEM132A,-3.446098129,-3.486275179,-3.44318607,-2.726271394,-2.780112385,-2.723346895,-2.144180287,-2.156697094,-2.377250545
MPZL1,-6.114532562,-6.143728519,-6.08116145,-5.49581318,-5.407552344,-5.516898978,-5.185104771,-5.127894175,-5.593877853
ISYNA1,-4.513427372,-4.411639646,-4.532217353,-4.522078443,-3.80302435,-4.279436939,-3.63759587,-3.637478268,-3.969306943
PUM1,-3.668928463,-3.755957341,-3.620018601,-3.930089535,-3.590606919,-4.1810986,-2.848242212,-2.649640654,-3.02957002
PDE6D,-4.335232546,-4.228526632,-4.321872412,-3.120398088,-3.058223239,-3.064363801,-3.030217944,-3.0220184,-3.822364108
CAPZB,-4.945341206,-5.082278853,-5.025497983,-4.378240405,-4.431853844,-4.411291152,-4.041795403,-4.070052354,-4.55390131
G6PD,-5.243466365,-5.382767232,-5.341275962,-4.976337275,-4.667661328,-4.883349573,-4.580203346,-4.611272011,-5.073296707
MTA2,-3.672745819,-3.598704922,-3.522795463,-2.937586743,-2.745323284,-2.821575788,-2.550686807,-2.403543289,-3.164581489
ALG9,-6.324487999,-6.468406261,-6.344227171,-4.597272074,-5.01556709,-4.696192184,-4.423783568,-4.592001791,-4.952769906
ARMCX1,-4.188455963,-4.311237987,-4.311748618,-2.222914788,-2.281498336,-2.803062275,-3.037792435,-3.435900319,-2.781908724
MBLAC2,-5.373409402,-5.216505493,-5.26881053,-4.699624249,-4.896441014,-4.580809907,-4.0876492,-4.063603586,-4.72682465
DHX16,-5.033499846,-4.963259905,-5.122820478,-4.30446537,-5.170862631,-4.413156653,-3.233890307,-3.447897427,-3.955980674
STX12,-4.203688402,-4.022391527,-4.127260708,-3.122985932,-3.174991032,-3.121317173,-2.706790362,-2.818034658,-3.037699684
PLD3,-3.909627883,-3.998722531,-4.095653293,-3.333429344,-3.158986553,-3.255557949,-2.874564157,-2.968716418,-3.064666146
RAB7A,-8.304911349,-8.13776887,-8.151249219,-7.097198063,-7.153365297,-7.685695802,-6.635058541,-6.90992391,-7.185518719
RNH1,-5.501352492,-5.447329663,-5.636249449,-5.349017373,-4.974689629,-4.925089721,-4.576955493,-4.584551168,-5.047302785
ZNF428,-3.144684178,-3.091687354,-3.28332805,-2.592393242,-2.538674316,-2.582220536,-2.060891031,-2.037788798,-2.601599568
NCAM2,-3.638149378,-3.440296761,-3.562195961,-2.914882614,-2.861192888,-3.000822532,-2.637664612,-2.605749283,-2.978119631
RAB30,-4.426583552,-4.28052404,-4.473863528,-3.383305517,-3.276430029,-2.886765351,-3.070906744,-2.459588557,-3.226370248
GNAI1,-5.337744904,-5.382045915,-5.187653954,-4.074775006,-4.054535575,-4.222425939,-3.846299268,-3.706928318,-4.411203321
KPNA2,-3.211936722,-3.175106529,-3.373095226,-3.001697387,-2.925854731,-3.089025575,-2.341875153,-2.400199937,-2.594031124
CRBN,-4.3318044,-4.292036282,-4.27418084,-3.424929702,-3.560607028,-3.55351313,-3.219019089,-3.501601593,-3.697456405
GPAA1,-4.602928369,-4.68475557,-4.573174941,-3.970569675,-4.003262542,-3.903914156,-3.340191329,-3.916529293,-3.927375327
NOL4L,-2.713551488,-2.749623822,-2.557186638,-2.327716212,-2.130981299,-1.811197152,-1.899646377,-1.514030254,-1.803358022
SPNS1,-4.451092173,-4.430793031,-4.508656826,-3.810838331,-3.81902667,-4.300129182,-3.418649628,-3.311368056,-3.825503919
TRMT112,-4.553712442,-4.746370465,-4.751561164,-4.139896784,-3.901775708,-4.068906869,-3.667508424,-3.614902136,-4.311173686
RANBP9,-3.32384399,-3.396822672,-3.450898716,-3.048966687,-2.68856742,-2.794690712,-2.319893852,-1.985444337,-2.661547594
FXR2,-4.076330733,-3.853452746,-3.974163048,-3.18051257,-3.152277123,-3.306822337,-2.981462862,-2.85973687,-3.283058155
TOR2A,-4.809607987,-4.988017637,-5.029376603,-3.753546297,-3.602450295,-3.573468707,-3.150994177,-3.165680713,-4.060182366
NDUFV2,-7.590777876,-7.829696975,-7.686141892,-7.792804426,-6.77044673,-6.666047788,-6.129923901,-7.147476897,-6.445376078
RAB18,-3.953686343,-3.943179954,-4.12596691,-3.995556358,-3.998369017,-3.881983776,-3.446952153,-3.514542754,-3.64325363
TOLLIP,-4.564619011,-4.747218469,-4.509626376,-3.617641163,-3.699901594,-3.911803365,-3.165701737,-3.108051014,-3.141851088
