PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
P36578,RPL4,0.095368453,0.094274193,0.092959089,0.093665337,0.149228155,0.153039097,0.151754385,0.153211091,0.136533922,0.093969765,0.151754385,-0.057741414,0.122937475,-48.63069963,1.73E-09,3.88E-06,12.90222201,"47,697",5.410679677,28,1
P08670,VIM,0.315741081,0.319895168,0.323959124,0.31465293,0.438331929,0.43749095,0.431646414,0.432657232,0.439080505,0.317818124,0.43749095,-0.116469555,0.376796853,-43.28105326,3.64E-09,4.42E-06,12.17652144,"53,652",5.354135713,51,1
Q96JB5,CDK5RAP3,0.231265255,0.229864013,0.22029005,0.229586208,0.353581439,0.348412263,0.347594969,0.351085057,0.336653418,0.22972511,0.348412263,-0.122417051,0.288959907,-43.25606878,3.65E-09,4.42E-06,12.17286238,"56,921",5.354135713,20,1
P48681,NES,0.25199857,0.24459329,0.246650927,0.243589981,0.361738236,0.371578673,0.37112082,0.370926921,0.346330107,0.245622108,0.370926921,-0.122132971,0.307774677,-40.90457048,5.23E-09,4.93E-06,11.81594959,"177,439",5.307489044,93,1
O15230,LAMA5,0.859453019,0.864950196,0.831350633,0.876069627,1.276131762,1.256986306,1.270897651,1.265098145,1.301678872,0.862201607,1.270897651,-0.409322597,1.062617167,-40.78149568,5.33E-09,4.93E-06,11.79656046,"399,737",5.307489044,85,1
Q15629,TRAM1,0.018401667,0.033493276,0.02427333,0.002645448,0.267774211,0.2630815,0.272935441,0.264698518,0.202087588,0.021337498,0.264698518,-0.247418987,0.143412924,-37.30797607,9.42E-09,7.83E-06,11.21746171,"43,072",5.106244036,6,1
Q13347,EIF3I,0.068217603,0.076496885,0.078680909,0.07982316,0.23279429,0.226130166,0.228840937,0.242090604,0.235015629,0.077588897,0.23279429,-0.15665936,0.154134319,-36.75820269,1.04E-08,7.83E-06,11.11977008,"36,502",5.106244036,24,1
P11388,TOP2A,0.582189634,0.569495941,0.589538332,0.593243807,1.101689212,1.121458852,1.058320976,1.077900811,1.063645435,0.585863983,1.077900811,-0.506225534,0.836729696,-35.51346909,1.29E-08,7.83E-06,10.89194162,"174,385",5.106244036,55,1
P60228,EIF3E,0.172818767,0.174870956,0.166179324,0.177210032,0.31804321,0.306165458,0.30296571,0.312765042,0.314658564,0.173844861,0.312765042,-0.137215085,0.241377312,-34.02381251,1.70E-08,7.83E-06,10.60644899,"52,221",5.106244036,21,1
P04844,RPN2,0.047396246,0.048851936,0.047075986,0.044168884,0.120356829,0.11781104,0.125841301,0.117638976,0.108615013,0.047236116,0.11781104,-0.073538774,0.08364265,-33.93658874,1.73E-08,7.83E-06,10.58927698,"69,284",5.106244036,21,1
P11142,HSPA8,0.089974653,0.075341963,0.094757769,0.085190487,0.28686657,0.292953469,0.278407507,0.300702242,0.28016916,0.08758257,0.28686657,-0.203416229,0.188024332,-33.33410284,1.94E-08,8.13E-06,10.46923179,"70,898",5.089769836,37,1
P04792,HSPB1,0.061592679,0.058771238,0.072835359,0.077187423,0.378522608,0.414191331,0.411635955,0.424219318,0.416345129,0.067214019,0.414191331,-0.339545628,0.237369489,-32.30884023,2.36E-08,8.29E-06,10.25900984,"22,783",5.081685912,8,1
Q14764,MVP,0.083197666,0.071710101,0.080316963,0.082664679,0.268252625,0.261896404,0.274290112,0.288202787,0.24969381,0.081490821,0.268252625,-0.19368813,0.176316417,-32.07617236,2.47E-08,8.29E-06,10.2102244,"99,327",5.081685912,54,1
Q8IV08,PLD3,0.587020037,0.58748311,0.584284373,0.628035191,0.951711148,0.974269085,0.970571203,0.951918851,0.981068285,0.587251573,0.970571203,-0.365411894,0.779411625,-31.29875859,2.89E-08,8.80E-06,10.04420735,"54,705",5.055378268,14,1
P98160,HSPG2,0.326465177,0.33153526,0.348801267,0.306125188,0.585376236,0.601819867,0.595099173,0.589281498,0.605905929,0.329000218,0.595099173,-0.264662471,0.460562958,-28.80080358,4.92E-08,1.26E-05,9.477095927,"468,830",4.898288715,87,1
P52732,KIF11,0.576219634,0.599914417,0.587249964,0.586635561,0.922755864,0.893041179,0.901927288,0.946298039,0.960334399,0.586942763,0.922755864,-0.328500698,0.751755243,-26.48809529,8.39E-08,1.80E-05,8.900494818,"119,159",4.743674652,39,1
P60842,EIF4A1,0.168698921,0.167103155,0.17381719,0.180182548,0.306909388,0.303335358,0.28994977,0.307702247,0.304344072,0.171258056,0.304344072,-0.129523737,0.237212322,-26.24949584,8.89E-08,1.87E-05,8.837858557,"46,154",4.728621713,21,1
P05387,RPLP2,0.089119638,0.079273185,0.082148935,0.095518797,0.185522852,0.179536062,0.186688771,0.184819312,0.186209413,0.085634286,0.185522852,-0.097626611,0.135328444,-25.10453395,1.18E-07,2.37E-05,8.528359237,"11,665",4.624889635,8,1
P23284,PPIB,0.038615287,0.04394737,0.041114476,0.037658366,0.094193555,0.09878942,0.097862206,0.091507425,0.096520927,0.039864882,0.096520927,-0.055254277,0.067961013,-25.02266287,1.21E-07,2.37E-05,8.505641847,"23,743",4.624889635,17,1
P29692,EEF1D,0.105305109,0.119281905,0.110108195,0.109846689,0.186763345,0.187008941,0.18275266,0.189472227,0.162299003,0.109977442,0.186763345,-0.075363819,0.148817384,-23.58906681,1.75E-07,3.12E-05,8.094295809,"31,122",4.505783001,22,1
P50991,CCT4,0.102323869,0.101299073,0.102449002,0.101413298,0.194620086,0.190548558,0.178557598,0.194950921,0.191247769,0.101868584,0.191247769,-0.08779798,0.145770301,-23.28935726,1.90E-07,3.25E-05,8.004903537,"57,924",4.487870572,37,1
O15371,EIF3D,0.121231383,0.1045719,0.113905614,0.120743914,0.23276291,0.239302358,0.225945303,0.242085722,0.242311407,0.117324764,0.239302358,-0.11991087,0.175068638,-23.23065866,1.93E-07,3.25E-05,7.987251869,"63,973",4.487870572,28,1
Q92791,P3H4,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.124400803,0.136545655,0.154632007,0.14001151,0.170756556,1.00E-07,0.14001151,-0.138897394,0.069448797,-22.97906607,2.07E-07,3.33E-05,7.911050433,"50,381",4.477875715,12,1
