PG.Genes.neurite,ConditionNorm_P_300_1_log2_neurite,ConditionNorm_P_300_2_log2_neurite,ConditionNorm_P_300_3_log2_neurite,PG.Genes.tc,ConditionNorm_P_300_1_log2_tc,ConditionNorm_P_300_2_log2_tc,ConditionNorm_P_300_3_log2_tc,Condition,Replicate,Value
ECH1,-6.597862508,-6.577291813,-6.583601474,UNCX,-1.375435109,-1.341994763,-1.410244971,Neurite,1,-6.597862508
UBR2,-3.847021535,-3.864489244,-3.809712368,OLFM3,-1.812626148,-1.768537861,-1.859111297,Neurite,1,-3.847021535
UBE2K,-3.809488479,-3.797264626,-3.751519698,EPM2AIP1,-3.843557855,-3.860235502,-3.98909078,Neurite,1,-3.809488479
CRKL,-6.30581186,-6.246555235,-6.338305109,DPF2,-2.956723749,-2.750362959,-2.86998456,Neurite,1,-6.30581186
DDX50,-5.63228768,-5.648151377,-5.495965083,ILVBL,-4.217794344,-4.425738365,-4.232842801,Neurite,1,-5.63228768
LCMT1,-6.414127016,-6.387016624,-6.535674782,DGKA,-3.264703891,-3.076939023,-3.291607131,Neurite,1,-6.414127016
RPL4,-7.381852478,-7.462302786,-7.563524478,DNAJA3,-4.21700605,-4.21412742,-4.331894523,Neurite,1,-7.381852478
CDK14,-4.192250453,-3.983999838,-4.072047034,SLIT1,-2.865448156,-2.99941485,-2.741550704,Neurite,1,-4.192250453
RUNX1T1,-0.831740516,-0.770944821,-0.996483214,BAIAP3,-1.74802891,-1.874343899,-2.020820973,Neurite,1,-0.831740516
FHOD3,-2.57236762,-2.505840254,-2.754717485,PNMA8B,-2.747610689,-2.50339641,-2.476461213,Neurite,1,-2.57236762
MRPL24,-4.674285518,-4.701839411,-4.477816112,CDKN1C,-2.085220212,-2.300452087,-2.352414575,Neurite,1,-4.674285518
RACK1,-5.558383242,-5.810099753,-5.59724311,ATG4B,-7.331248253,-7.475745744,-7.682643439,Neurite,1,-5.558383242
CLPTM1,-6.529549929,-6.763074229,-6.533374877,DNER,-1.69506513,-1.822972856,-2.080788471,Neurite,1,-6.529549929
SNCG,-8.931939021,-9.161010471,-9.106907343,DDX3X,-2.820655416,-3.116252013,-3.196743514,Neurite,1,-8.931939021
CADM1,-3.96451261,-4.111879492,-4.250250089,IMP3,-3.136479581,-2.732336321,-2.975261722,Neurite,1,-3.96451261
HIKESHI,-4.540929585,-4.689053522,-4.839505975,PPIL1,-6.95073257,-6.697009148,-6.536796276,Neurite,1,-4.540929585
LETMD1,-5.719981069,-5.622542018,-5.924115041,KCTD1,-2.244391083,-2.112350429,-2.019959092,Neurite,1,-5.719981069
RNF220,-3.562643486,-3.677056586,-3.473363374,PAG1,-2.956264985,-3.292567061,-3.071576451,Neurite,1,-3.562643486
ENO2,-5.375333041,-5.406051101,-5.666077902,NCKAP5L,-3.028827686,-3.111131943,-2.721601374,Neurite,1,-5.375333041
UBR5,-3.317749052,-3.300119457,-3.555039767,TRIM27,-2.210385762,-2.08802779,-2.517027259,Neurite,1,-3.317749052
SCAF8,-2.345562492,-2.070947135,-2.316668077,TMEM132E,-2.45360553,-2.502490343,-2.927472336,Neurite,1,-2.345562492
UQCRC1,-5.655890099,-5.559718366,-5.377287396,KCTD12,-2.586986478,-2.531772828,-3.026650975,Neurite,1,-5.655890099
ERP29,-4.5521302,-4.601642936,-4.878743287,IPO13,-3.563130615,-3.683535658,-3.896120018,Neurite,1,-4.5521302
APC2,-2.108025221,-2.285779301,-2.457002115,AASDHPPT,-2.779353446,-2.882142638,-3.298246109,Neurite,1,-2.108025221
COCH,-2.064389624,-2.033372537,-1.751621895,ZNF768,-3.674795673,-4.068811358,-4.140512227,Neurite,1,-2.064389624
SELENON,-2.950441077,-2.807318406,-3.115277014,AHDC1,-3.435040323,-3.218679751,-3.784599346,Neurite,1,-2.950441077
BAG6,-3.226500572,-2.923988519,-2.900046221,CELSR3,-3.807294842,-3.780263949,-4.312039181,Neurite,1,-3.226500572
ANK2,-9.365789901,-9.146798236,-9.469721564,FASTKD2,-3.836263877,-3.635426191,-3.276233193,Neurite,1,-9.365789901
RPS8,-7.978588518,-8.282963085,-8.316887946,PEX5,-3.618351885,-3.526293656,-4.126003127,Neurite,1,-7.978588518
NCAM2,-2.637664612,-2.605749283,-2.978119631,POLR3F,-3.830408649,-4.392282659,-3.715396802,Neurite,1,-2.637664612
RPRD1B,-3.938561069,-3.561628507,-3.827481262,MBLAC2,-4.0876492,-4.063603586,-4.72682465,Neurite,1,-3.938561069
HINT2,-5.90955098,-5.629142936,-5.773868195,OSBP2,-5.924649272,-5.598612934,-6.301564029,Neurite,1,-5.90955098
APRT,-4.463699513,-4.567068671,-4.872225686,ARHGEF17,-2.584003021,-3.02910319,-2.504191419,Neurite,1,-4.463699513
EP300,-5.456543644,-5.151840605,-5.018631196,CMTR2,-0.809606353,-1.074708298,-0.632705734,Neurite,1,-5.456543644
NDUFA5,-3.442682261,-3.579441743,-3.784561955,RRAGA,-5.101135362,-4.404484966,-4.851009807,Neurite,1,-3.442682261
PDZD4,-2.327657659,-1.92515639,-1.931576328,TMEM106B,-1.770125839,-2.063814127,-2.347554319,Neurite,1,-2.327657659
PSME2,-5.488726845,-5.53793551,-5.894336088,SPOCK1,-2.381588875,-1.705634325,-2.118333711,Neurite,1,-5.488726845
FBXO7,-2.915334798,-2.91029594,-3.332749216,MAU2,-5.404754102,-4.6382094,-4.830326213,Neurite,1,-2.915334798
CLNS1A,-4.215067496,-4.370781137,-4.696048481,SH2B1,-3.76911597,-3.942549636,-4.514500412,Neurite,1,-4.215067496
RBM6,-6.365066673,-6.814170736,-6.689489881,EIF2B4,-4.222550914,-4.144308272,-4.912167088,Neurite,1,-6.365066673
MAP3K12,-2.793973318,-3.107335321,-3.254699854,CCDC97,-3.556307487,-3.407360026,-4.211054336,Neurite,1,-2.793973318
PWWP2A,-2.895266804,-2.716941205,-3.21016971,SLC1A6,-1.925812156,-2.610470851,-2.513391577,Neurite,1,-2.895266804
MFN1,-4.143601705,-4.014840236,-4.513875994,CPSF4,-3.342003008,-3.586555372,-3.869790888,Neurite,1,-4.143601705
CRBN,-3.219019089,-3.501601593,-3.697456405,ATP6V1B2,-5.005316502,-5.315824389,-5.841570069,Neurite,1,-3.219019089
BUD13,-2.978456492,-3.069643404,-3.316614561,WDR91,-5.023391866,-4.620703137,-4.944492579,Neurite,1,-2.978456492
CWF19L2,-2.499161984,-2.544037757,-2.992232708,AHCYL1,-4.728118082,-4.907000416,-5.460423654,Neurite,1,-2.499161984
SOD1,-5.569172574,-5.526524456,-5.788659345,PDE6D,-3.030217944,-3.0220184,-3.822364108,Neurite,1,-5.569172574
ALG9,-4.423783568,-4.592001791,-4.952769906,DDX47,-4.484720265,-5.041027033,-5.258306776,Neurite,1,-4.423783568
G6PD,-4.580203346,-4.611272011,-5.073296707,WDR77,-5.457370276,-4.748204105,-5.375204867,Neurite,1,-4.580203346
NT5DC2,-3.892569036,-3.725559845,-4.265535913,NAB2,-2.355501017,-1.898073345,-2.485778922,Neurite,1,-3.892569036
RPS27A,-2.360230617,-2.392025498,-2.207119845,COQ8A,-3.195535304,-3.945519688,-3.826173936,Neurite,1,-2.360230617
CAPZB,-4.041795403,-4.070052354,-4.55390131,ARSA,-7.177805192,-6.668597273,-7.503369548,Neurite,1,-4.041795403
WNK3,-4.012897823,-3.903779078,-4.447231672,NXF1,-3.728497525,-3.615752595,-4.492644056,Neurite,1,-4.012897823
SEC24B,-5.668994932,-5.104680429,-5.336074014,ADARB2,-0.544674385,-0.654814474,-1.442133294,Neurite,1,-5.668994932
MYL6,-4.129280734,-4.013834948,-4.356440695,DDX24,-5.438159771,-5.441191191,-5.268348733,Neurite,1,-4.129280734
TAX1BP1,-2.528321181,-3.070571698,-2.546079695,RTN4R,-0.461554158,-0.586141615,-0.665387411,Neurite,1,-2.528321181
LPGAT1,-3.640340596,-4.01872653,-4.203850787,TUBGCP6,-2.675636989,-2.181453994,-3.084848381,Neurite,1,-3.640340596
ANKHD1,-4.283496935,-4.193500259,-4.774144199,LPCAT4,-2.740352056,-2.681760807,-3.611931331,Neurite,1,-4.283496935
ELP3,-3.408437796,-3.206307757,-3.812894022,NAA30,-4.707224982,-4.478973974,-3.849798209,Neurite,1,-3.408437796
ZNF428,-2.060891031,-2.037788798,-2.601599568,POLG,-5.89121597,-4.890780594,-5.135731026,Neurite,1,-2.060891031
WDR43,-4.861565023,-5.309504332,-5.381961386,PCDHB14,-5.403775755,-4.401596825,-4.647390858,Neurite,1,-4.861565023
SMAD4,-3.033360853,-3.497338834,-3.523045846,SPPL2B,-5.186817071,-6.187798732,-5.448343923,Neurite,1,-3.033360853
FKBP8,-1.947179579,-1.891375617,-2.477013803,ZSCAN18,-4.988176618,-3.985563827,-4.334764069,Neurite,1,-1.947179579
IGFBPL1,-3.72880721,-3.969700902,-3.897614796,PCOLCE2,-4.49789237,-5.501108889,-4.859215433,Neurite,1,-3.72880721
PDS5A,-3.218689126,-3.209118222,-3.262062453,PI4K2A,-4.902073258,-3.902896563,-4.276987649,Neurite,1,-3.218689126
UBE4B,-3.128201731,-2.996264645,-3.627871392,FBXO3,-3.308072876,-4.310457042,-3.432375816,Neurite,1,-3.128201731
RPL18A,-4.963651835,-5.165043558,-5.493434625,SCRN2,-2.486963688,-2.910785611,-2.910762313,Neurite,1,-4.963651835
NFKB1,-3.587111593,-3.832796145,-4.235250089,PELO,-2.918201822,-3.112340656,-3.778629575,Neurite,1,-3.587111593
SAMM50,-5.264807132,-5.281053531,-5.86631226,GGT7,-6.496299908,-5.494633106,-5.927453869,Neurite,1,-5.264807132
SRPK1,-3.083017427,-3.107570379,-2.696142777,TBC1D24,-6.532009152,-7.542519976,-6.662029821,Neurite,1,-3.083017427
CNTNAP5,-2.241556771,-2.155920656,-2.787727147,DMAP1,-2.735501012,-3.2502951,-2.257534707,Neurite,1,-2.241556771
FRAS1,-2.550695077,-2.355914519,-3.000340262,PDP1,-4.762040847,-5.385090855,-5.447432724,Neurite,1,-2.550695077
CAMSAP1,-3.49163854,-3.365309565,-4.01282029,SESN2,-5.646830396,-6.656985206,-6.137179074,Neurite,1,-3.49163854
STAMBPL1,-2.993952088,-3.12432598,-3.643504939,KBTBD7,-3.645069866,-3.30831398,-3.543602833,Neurite,1,-2.993952088
MFF,-3.482945987,-3.803680201,-4.129961544,DHODH,-5.641093646,-5.743195978,-6.689103215,Neurite,1,-3.482945987
LAMTOR2,-4.392367709,-4.344205253,-4.905282407,USP19,-6.919165256,-5.912491416,-6.447937913,Neurite,1,-4.392367709
HNRNPA1,-7.570035186,-7.133196479,-6.899806602,,,,,Neurite,1,-7.570035186
NRXN1,-3.230519195,-3.479021204,-3.766843262,,,,,Neurite,1,-3.230519195
ELAVL2,-3.073846266,-2.619285611,-3.235022409,,,,,Neurite,1,-3.073846266
ATAT1,-5.813568631,-5.87110823,-6.47746206,,,,,Neurite,1,-5.813568631
SDK1,-3.673654606,-2.973119828,-3.28859119,,,,,Neurite,1,-3.673654606
MTA3,-3.553333225,-3.619860368,-4.097563399,,,,,Neurite,1,-3.553333225
ATP5F1B,-5.360519746,-5.344666577,-6.006502535,,,,,Neurite,1,-5.360519746
ORC5,-2.981364183,-2.507323409,-2.81440982,,,,,Neurite,1,-2.981364183
DACH1,-2.19592021,-2.322333491,-2.894795093,,,,,Neurite,1,-2.19592021
SLAIN1,-2.892042252,-2.827236033,-3.203202564,,,,,Neurite,1,-2.892042252
ABHD12,-4.466060759,-4.323587042,-5.03560264,,,,,Neurite,1,-4.466060759
PTPRK,-1.903078058,-2.482832112,-2.473164525,,,,,Neurite,1,-1.903078058
DHX16,-3.233890307,-3.447897427,-3.955980674,,,,,Neurite,1,-3.233890307
PCYOX1,-5.932082932,-5.22887115,-5.601193535,,,,,Neurite,1,-5.932082932
RANBP9,-2.319893852,-1.985444337,-2.661547594,,,,,Neurite,1,-2.319893852
TRMT112,-3.667508424,-3.614902136,-4.311173686,,,,,Neurite,1,-3.667508424
RIOK1,-2.100191759,-2.155533423,-2.338369748,,,,,Neurite,1,-2.100191759
CYB5R3,-4.334279786,-4.239635055,-4.902115142,,,,,Neurite,1,-4.334279786
SSH2,-2.996206853,-2.612173619,-3.041254139,,,,,Neurite,1,-2.996206853
NDUFS3,-5.681434333,-5.037969957,-5.569913662,,,,,Neurite,1,-5.681434333
PSMC3,-7.320985891,-7.639445147,-7.075571592,,,,,Neurite,1,-7.320985891
FAM207A,-1.97646899,-2.093315094,-2.71050928,,,,,Neurite,1,-1.97646899
ECSIT,-4.39316734,-5.142535037,-4.737736397,,,,,Neurite,1,-4.39316734
PPM1B,-4.574589977,-4.543424763,-5.256915597,,,,,Neurite,1,-4.574589977
RAD21,-4.013047973,-4.593433925,-3.837221168,,,,,Neurite,1,-4.013047973
PIN1,-3.983155245,-4.140246505,-4.743073403,,,,,Neurite,1,-3.983155245
UBE3C,-4.482543696,-4.162327757,-4.933460983,,,,,Neurite,1,-4.482543696
LONP2,-3.260388682,-2.78616561,-3.504325395,,,,,Neurite,1,-3.260388682
RUNDC3A,-3.454029043,-3.025211537,-3.767045194,,,,,Neurite,1,-3.454029043
PSMF1,-3.49161943,-3.139859099,-3.907280686,,,,,Neurite,1,-3.49161943
RPS6KC1,-3.833145771,-4.391892061,-4.506264744,,,,,Neurite,1,-3.833145771
ADGRL3,-2.858263265,-2.635221367,-3.432798827,,,,,Neurite,1,-2.858263265
PFDN2,-5.005762723,-4.946806392,-5.728717264,,,,,Neurite,1,-5.005762723
XKR4,-3.893583689,-3.834497764,-4.62034575,,,,,Neurite,1,-3.893583689
PDCD4,-2.811281457,-2.464920951,-3.280515476,,,,,Neurite,1,-2.811281457
GNB2,-4.951614209,-5.584853465,-4.877382023,,,,,Neurite,1,-4.951614209
PTCD1,-3.10831111,-2.700841206,-3.508972747,,,,,Neurite,1,-3.10831111
RIC8B,-5.095249081,-4.515064691,-5.019142268,,,,,Neurite,1,-5.095249081
PMM1,-5.251690429,-5.258360121,-4.59250882,,,,,Neurite,1,-5.251690429
PTP4A2,-5.217108878,-5.094064568,-5.691036617,,,,,Neurite,1,-5.217108878
FBXL20,-4.456373184,-4.356380458,-3.736397053,,,,,Neurite,1,-4.456373184
PAPSS1,-2.843212914,-2.898544352,-3.669468682,,,,,Neurite,1,-2.843212914
DEF8,-1.378173877,-1.479690783,-1.023131683,,,,,Neurite,1,-1.378173877
GAN,-3.878381301,-4.151618327,-4.755574068,,,,,Neurite,1,-3.878381301
COX20,-4.232691327,-4.23810584,-5.049956035,,,,,Neurite,1,-4.232691327
PTPRA,-2.43903519,-3.16901247,-3.083395486,,,,,Neurite,1,-2.43903519
RERE,-2.722969549,-2.552471891,-1.95377838,,,,,Neurite,1,-2.722969549
USP3,-4.269243188,-4.315783458,-5.124305633,,,,,Neurite,1,-4.269243188
PRUNE1,-4.443389686,-4.550474175,-5.320417535,,,,,Neurite,1,-4.443389686
TTC9B,-3.154580125,-3.943749293,-3.515946336,,,,,Neurite,1,-3.154580125
PEBP1,-8.16632957,-8.339265973,-8.989284054,,,,,Neurite,1,-8.16632957
RABL6,-5.571566681,-5.465270084,-6.160195261,,,,,Neurite,1,-5.571566681
CLEC16A,-2.319040217,-2.306268191,-2.83708135,,,,,Neurite,1,-2.319040217
FKBP1B,-3.566700229,-3.665428923,-4.431801045,,,,,Neurite,1,-3.566700229
WDR47,-7.877368744,-7.762776288,-8.648048773,,,,,Neurite,1,-7.877368744
TBC1D12,-0.070872171,0.604215873,0.493715754,,,,,Neurite,1,-0.070872171
POLR2E,-6.287739522,-6.984859386,-7.028609677,,,,,Neurite,1,-6.287739522
PPP4R3B,-1.900515335,-2.79041689,-2.343240991,,,,,Neurite,1,-1.900515335
MAP1A,-4.866550106,-5.245514481,-5.791101212,,,,,Neurite,1,-4.866550106
NAV3,-4.482421598,-4.439623506,-5.339261007,,,,,Neurite,1,-4.482421598
EFR3B,-4.654320935,-4.053538042,-3.832278185,,,,,Neurite,1,-4.654320935
PSMD14,-5.87786406,-6.729401264,-6.349481267,,,,,Neurite,1,-5.87786406
ATXN10,-2.554461309,-2.651705436,-3.497235234,,,,,Neurite,1,-2.554461309
RPS6KB1,-3.219060821,-3.271894924,-3.961157317,,,,,Neurite,1,-3.219060821
RPS24,-5.320801832,-5.148989786,-5.506182116,,,,,Neurite,1,-5.320801832
PPIA,-5.662680643,-6.624951046,-5.881477576,,,,,Neurite,1,-5.662680643
RAB5C,-4.251537668,-3.795437589,-4.7361481,,,,,Neurite,1,-4.251537668
TBPL1,-3.619376709,-3.409263038,-4.393389168,,,,,Neurite,1,-3.619376709
RPS14,-4.484501497,-5.252865685,-5.095908894,,,,,Neurite,1,-4.484501497
IGBP1,-3.163837487,-3.184166022,-3.960711919,,,,,Neurite,1,-3.163837487
SPTBN2,-4.948917012,-4.58904775,-5.573596223,,,,,Neurite,1,-4.948917012
SUMF2,-3.522253523,-3.412926329,-4.310817144,,,,,Neurite,1,-3.522253523
PTPN13,-5.360435397,-6.351307349,-5.687898279,,,,,Neurite,1,-5.360435397
NDUFB10,-5.252543821,-6.247133035,-5.447074558,,,,,Neurite,1,-5.252543821
ATM,-5.142637596,-6.095413455,-5.651902313,,,,,Neurite,1,-5.142637596
STMN1,-5.204031202,-5.17004592,-6.076740791,,,,,Neurite,1,-5.204031202
TRIP12,-3.949913857,-3.290865381,-4.164324929,,,,,Neurite,1,-3.949913857
LRFN5,-4.14927224,-4.018368581,-3.311593677,,,,,Neurite,1,-4.14927224
FBXO30,-3.176215642,-2.924223389,-2.996377349,,,,,Neurite,1,-3.176215642
NCOR1,-2.264997775,-1.61947295,-1.442414645,,,,,Neurite,1,-2.264997775
PTDSS1,-3.246838019,-3.292877524,-3.750806645,,,,,Neurite,1,-3.246838019
MICU3,-6.447936646,-5.44081409,-5.557387304,,,,,Neurite,1,-6.447936646
IGF2BP2,-5.069674686,-4.885897883,-5.73444302,,,,,Neurite,1,-5.069674686
CORO1C,-6.132892628,-5.12970018,-5.572768991,,,,,Neurite,1,-6.132892628
GLUD1,-6.43287327,-6.676102425,-7.266182238,,,,,Neurite,1,-6.43287327
BCKDHB,-5.313075653,-4.311941441,-4.644407895,,,,,Neurite,1,-5.313075653
ATAD2B,-5.671578696,-6.687287414,-5.940653344,,,,,Neurite,1,-5.671578696
MPDZ,-4.653203725,-5.657638095,-4.720243812,,,,,Neurite,1,-4.653203725
SNX6,-5.024460527,-5.605880463,-5.980874034,,,,,Neurite,1,-5.024460527
SRSF9,-7.705260634,-6.782668147,-7.427634233,,,,,Neurite,1,-7.705260634
STAG1,-4.924278156,-4.876104687,-5.884814641,,,,,Neurite,1,-4.924278156
WDR37,-5.959080382,-6.002185011,-5.176718554,,,,,Neurite,1,-5.959080382
ACAT2,-6.973630249,-6.660461545,-7.722521316,,,,,Neurite,1,-6.973630249
TCEA2,-1.60620067,-1.389499771,-2.233937388,,,,,Neurite,1,-1.60620067
TRIP4,-4.388442704,-3.379051687,-3.406580301,,,,,Neurite,1,-4.388442704
NPEPPS,-5.547413736,-6.063519225,-6.5658543,,,,,Neurite,1,-5.547413736
RBM27,-3.616197254,-3.45728992,-4.523994411,,,,,Neurite,1,-3.616197254
PHACTR4,-4.025865246,-4.928755795,-4.639811477,,,,,Neurite,1,-4.025865246
VPS51,-4.133828681,-4.642595126,-5.160216689,,,,,Neurite,1,-4.133828681
,,,,,,,,Neurite,2,-6.577291813
,,,,,,,,Neurite,2,-3.864489244
,,,,,,,,Neurite,2,-3.797264626
,,,,,,,,Neurite,2,-6.246555235
,,,,,,,,Neurite,2,-5.648151377
,,,,,,,,Neurite,2,-6.387016624
,,,,,,,,Neurite,2,-7.462302786
,,,,,,,,Neurite,2,-3.983999838
,,,,,,,,Neurite,2,-0.770944821
,,,,,,,,Neurite,2,-2.505840254
,,,,,,,,Neurite,2,-4.701839411
,,,,,,,,Neurite,2,-5.810099753
,,,,,,,,Neurite,2,-6.763074229
,,,,,,,,Neurite,2,-9.161010471
,,,,,,,,Neurite,2,-4.111879492
,,,,,,,,Neurite,2,-4.689053522
,,,,,,,,Neurite,2,-5.622542018
,,,,,,,,Neurite,2,-3.677056586
,,,,,,,,Neurite,2,-5.406051101
,,,,,,,,Neurite,2,-3.300119457
,,,,,,,,Neurite,2,-2.070947135
,,,,,,,,Neurite,2,-5.559718366
,,,,,,,,Neurite,2,-4.601642936
,,,,,,,,Neurite,2,-2.285779301
,,,,,,,,Neurite,2,-2.033372537
,,,,,,,,Neurite,2,-2.807318406
,,,,,,,,Neurite,2,-2.923988519
,,,,,,,,Neurite,2,-9.146798236
,,,,,,,,Neurite,2,-8.282963085
,,,,,,,,Neurite,2,-2.605749283
