PG.ProteinGroups,PG.Genes,Log2
Q96CX2,KCTD12,-3.698555240484550
Q9Y4C2,TCAF1,-3.315246488796660
P40925,MDH1,-5.6908805262444600
Q14318,FKBP8,-3.25423148671133
P08579,SNRPB2,-6.0098994271516500
Q9BRJ7,NUDT16L1,-4.8173951048282800
O95155,UBE4B,-5.3917061696391000
Q96Q42,ALS2,-4.4475159391906400
Q9Y512,SAMM50,-6.1518956736356500
Q9HA65,TBC1D17,-4.4384770112733800
Q9NRN7,AASDHPPT,-4.2074551771900100
Q06455,RUNX1T1,-2.424980489603400
Q9BWM7,SFXN3,-5.0731543170658900
O94856,NFASC,-4.7146047287303100
Q92604,LPGAT1,-5.0456883080638600
P54105,CLNS1A,-5.2771589937204100
P19086,GNAZ,-5.5613657320150100
O15498,YKT6,-6.279902372829080
Q24JP5,TMEM132A,-3.4460981289252100
O95297,MPZL1,-6.1145325618844300
Q9NPH2,ISYNA1,-4.5134273719625900
Q8N806,UBR7,-3.316972265719040
Q14671,PUM1,-3.6689284633528800
O43924,PDE6D,-4.3218724118584800
P47756,CAPZB,-5.0254979834721700
P26196,DDX6,-5.4512042517835100
P09104,ENO2,-8.97676227262390000
P11413,G6PD,-5.3412759617420400
O94776,MTA2,-3.5987049219037800
Q9H6U8,ALG9,-6.3442271710867700
Q9P291,ARMCX1,-4.3112379868301200
Q68D91,MBLAC2,-5.2688105298775200
O75326,SEMA7A,-3.4666039196851300
Q9UPW5,AGTPBP1,-5.3503189400841100
O60231,DHX16,-5.0334998460874800
Q9Y4X5,ARIH1,-3.6870338585105900
Q96MZ0,GDAP1L1,-5.809327598227200
Q86Y82,STX12,-4.1272607077051700
Q8NCB2,CAMKV,-5.6455473773132800
P25787,PSMA2,-7.21842216207202000
Q8IV08,PLD3,-3.9987225310420700
P51149,RAB7A,-8.15124921851031000
P13489,RNH1,-5.5013524921809900
Q9Y3A3,MOB4,-6.7358006976304900
Q96B54,ZNF428,-3.144684178493690
O15394,NCAM2,-3.5621959611043300
Q15771,RAB30,-4.4265835519191300
P63096,GNAI1,-5.3377449043091900
P52292,KPNA2,-3.21193672196745
Q13586,STIM1,-5.0324651514983700
Q96SW2,CRBN,-4.2920362820759500
P51812,RPS6KA3,-4.4180764305376000
O43292,GPAA1,-4.6029283694735400
Q96MY1,NOL4L,-2.713551487901470
Q9UQL6,HDAC5,-0.836919749836729
Q13951,CBFB,-4.6760914309688100
Q9H2V7,SPNS1,-4.451092172620880
Q9UI30,TRMT112,-4.7463704647844900
Q96S59,RANBP9,-3.3968226719845700
P51116,FXR2,-3.9741630483051900
Q8TAD8,SNIP1,-3.9062982007707000
Q5JU69,TOR2A,-4.9880176365226200
P19404,NDUFV2,-7.68614189226488000
Q9NP72,RAB18,-3.9536863434431600
Q9H0E2,TOLLIP,-4.5646190105282500
Q8N350,CBARP,-4.7947386360840900
Q8NFT8,DNER,-2.861262191057650
O00560,SDCBP,-7.54093561030801000
P51784,USP11,-4.9533942982852400
Q6IEE7,TMEM132E,-3.7672322865680800
Q8NFZ8,CADM4,-3.9800603645251000
Q9BTT0,ANP32E,-7.51224161628163000
O75164,KDM4A,-4.451918748762780
Q8TC26,TMEM163,-5.9405019352662700
Q92993,KAT5,-5.5486965287143200
Q8IV32,CCDC71,-3.050365954139110
Q9P2S2,NRXN2,-4.30011529518349
P42224,STAT1,-4.4774718422702400
Q9HCD6,TANC2,-3.669858670606230
Q8IVW6,ARID3B,-3.227578400097570
Q96IG2,FBXL20,-4.9410566508773000
Q86U70,LDB1,-4.1700425870147000
Q8N2K0,ABHD12,-4.8845881748087400
O43526,KCNQ2,-3.4047941738272000
Q9BYV9,BACH2,-3.6718257228055100
P61006,RAB8A,-5.5065054203844000
Q9P2Y5,UVRAG,0.16517819051087
Q14344,GNA13,-5.7240771518334500
Q96PB7,OLFM3,-2.722553553168630
P50542,PEX5,-4.9380290404304900
Q9H4M3,FBXO44,-4.0658880389535600
O00506,STK25,-4.9773685327059900
Q9P0I2,EMC3,-5.1165704361921400
Q6L8Q7,PDE12,-7.74534796525239000
O43252,PAPSS1,-4.4783610117164700
Q01082,SPTBN1,-9.88100615430495000
P61018,RAB4B,-4.1809888312850100
P56211,ARPP19,-3.8908655598193900
Q9H3K2,GHITM,-7.11539980002297000
O94985,CLSTN1,-3.016804203639000
Q9Y3I1,FBXO7,-4.5277092176094800
Q9BZA7,PCDH11X,-6.1019647607339000
P07858,CTSB,-5.7777736715410000
P38606,ATP6V1A,-5.4734500955230800
P42229,STAT5A,-2.668439050087590
O14775,GNB5,-5.4495588496277700
Q9ULU8,CADPS,-7.83747375174714000
Q9Y315,DERA,-6.9398034114116300
O96005,CLPTM1,-6.4429995226470300
Q92945,KHSRP,-5.4181861338610500
Q8IUH5,ZDHHC17,-4.0507958723230900
O94898,LRIG2,-4.2933137584527400
Q9UDT6,CLIP2,-11.54053211182410000
P35716,SOX11,-2.353848450539350
Q9Y3C6,PPIL1,-7.33803742928647000
O75746,SLC25A12,-6.1533382558808800
Q86XL3,ANKLE2,-4.5204061103133300
Q13895,BYSL,-3.7095821833848700
P26378,ELAVL4,-3.9405596958461000
Q86Y79,PTRH1,-3.8406106884756800
Q96S55,WRNIP1,-4.3422685187050100
Q9UQ35,SRRM2,-5.193953193127040
Q92879,CELF1,-5.2436749288537800
Q92616,GCN1,-11.58260798419250000
Q9ULH0,KIDINS220,-10.98345476961840000
Q9Y2H5,PLEKHA6,-3.301295042289030
Q9BRK4,LZTS2,-2.938144266534590
P48664,SLC1A6,-3.779714826959780
A1L0T0,ILVBL,-5.2767385623657700
Q6PI78,TMEM65,-5.6691405110753900
O14525,ASTN1,-11.06791526156480000
O94910,ADGRL1,-3.5683768172453600
P50148,GNAQ,-5.7614250009001200
Q9UHV9,PFDN2,-6.90739857777782000
Q9GZM8,NDEL1,-4.0256882670933800
P15822,HIVEP1,-1.557885055248060
Q9Y6D9,MAD1L1,-5.0336197100680000
Q14137,BOP 1.00,-10.19520281280350000
Q9Y216,MTMR7,-3.6699001100918700
Q13526,PIN1,-5.5516882884282300
Q969G2,LHX4,-3.7975957045109400
Q9NZV5,SELENON,-3.8116580110974400
Q04637,EIF4G1,-9.48606469997600000
Q08174,PCDH1,-3.8211375366488100
Q6VAB6,KSR2,-5.1677636060667300
Q96GS4,BORCS6,-6.003707266090850
Q96DE0,NUDT16,-4.6380795234155000
Q5T3F8,TMEM63B,-4.305982484873760
Q9HCN4,GPN1,-6.2748696795368700
Q9UI10,EIF2B4,-5.9949754194015600
Q8N158,GPC2,-5.0464988554803300
Q15262,PTPRK,-3.4078222468063100
Q14728,MFSD10,-6.4199465709392300
P57678,GEMIN4,-5.3863960148183000
Q9P2G1,ANKIB1,-5.5605541314603200
O00264,PGRMC1,-4.9016298595257300
Q6PID6,TTC33,-4.8158570872717600
Q8IUL8,CILP2,-4.0026686376323100
Q9P2R3,ANKFY1,-6.0700180548800800
Q6YN16,HSDL2,1.16377684994617
O43301,HSPA12A,-9.0924255851875300
P07741,APRT,-5.7402250933318000
P18669,PGAM1,-8.58644340960526000
P56159,GFRA1,-4.4161992648612100
Q9Y693,LHFPL6,-3.9259090638318400
Q86UN3,RTN4RL2,-4.0191162859744100
Q9H444,CHMP4B,-5.1118637416854900
Q7L775,EPM2AIP1,-4.9348263277988700
O75182,SIN3B,-4.0763258887769700
P68106,FKBP1B,-5.2559567057545100
O60422,ONECUT3,-1.73364241283635
O43639,NCK2,-3.9047661642736800
Q53FT3,HIKESHI,-6.5122659572189000
Q12926,ELAVL2,-4.4858403659587800
Q06136,KDSR,-7.18836642881315000
Q13838,DDX39B,-8.98036710578058000
Q9UHR5,SAP30BP,-4.8983367886342800
Q8IXK0,PHC2,-3.752316589738760
Q9BU61,NDUFAF3,-1.948325438721010
Q9BR01,SULT4A1,-0.647791227206761
Q15257,PTPA,-6.0478265984226100
O00233,PSMD9,-5.737284319957250
Q9ULK4,MED23,-5.4865223359024400
Q96FT7,ASIC4,-5.9070764447637500
O43602,DCX,-4.5228646129949300
Q9BX66,SORBS1,-4.89040026180222
Q9P0J7,KCMF1,-4.4969952199192000
P52597,HNRNPF,-7.43705695498597000
Q5VTL8,PRPF38B,-4.9870091642268300
O95248,SBF1,-10.97039532706470000
Q9P2G3,KLHL14,-4.7472464124363800
O95336,PGLS,-6.203444488773100
O00451,GFRA2,-5.0597679806683600
A6NJT0,UNCX,-2.910113618639290
Q8NI37,PPTC7,-0.875292419168215
Q5K4L6,SLC27A3,-12.34526413210870000
Q06587,RING1,-4.3560241612384700
O75038,PLCH2,-2.349472889746660
Q8TEW0,PARD3,-4.7780349326463200
Q8IYB1,MB21D2,-5.0737061299924000
Q13596,SNX1,-5.7133620209733700
Q16799,RTN1,-6.1225868448094900
O14628,ZNF195,-3.4251835996700600
Q9ULU4,ZMYND8,-11.09119499607270000
P24928,POLR2A,-9.95803644030129000
Q9HBE1,PATZ1,-2.3264517034635
O43929,ORC4,-2.894581624638750
Q9HCJ2,LRRC4C,-0.394979795928681
Q8N8L6,ARL 10.00,-3.7855490731704600
Q9UQ03,CORO2B,-6.1717676682055600
Q9P2N5,RBM27,-4.0315213714713600
Q9H6J7,C11orf49,0.61572974474769
Q9NYQ7,CELSR3,-5.7881870633020100
Q13501,SQSTM1,-4.6712488630119500
P12270,TPR,-11.90730421341040000
Q9NZ53,PODXL2,-3.6504273854600700
P46379,BAG6,-4.4143867777932400
Q9H496,TOR1AIP2,-4.4699841100473000
P02786,TFRC,-4.7744546691002400
Q8WUU5,GATAD1,-4.3722820291968500
A1L020,MEX3A,-3.5999641309340800
Q9ULI4,KIF26A,-4.1955984131218500
Q9Y376,CAB39,-4.6148171328278300
P24666,ACP1,-5.0143679374488100
Q92558,WASF1,-6.101935379055300
Q9UP83,COG5,-7.17875371689548000
Q9Y4F3,MARF1,-3.9655744203456000
O94868,FCHSD2,-2.872119056101590
Q8WUN7,UBTD2,-2.261868299247480
Q16706,MAN2A1,-2.130267345859100
Q15126,PMVK,-5.3979172976476700
Q16555,DPYSL2,-9.07169180008477000
Q16718,NDUFA5,-4.0998830349917900
Q9BRD0,BUD13,-3.6802795773652300
Q12797,ASPH,-2.047159787022110
Q86VW0,SESTD1,-3.8853281222235000
O94953,KDM4B,-3.9038599765369600
P36954,POLR2I,-5.1096779258050000
Q8NFP4,MDGA1,-6.3414220853709300
Q02127,DHODH,-12.51655475026130000
O15173,PGRMC2,-5.2029145484352800
P08243,ASNS,-8.13446147966078000
Q13569,TDG,-3.055449395250420
Q9C0I3,CCSER1,-0.184042951435349
Q02543,RPL18A,-6.2691861527701000
Q9NRW7,VPS45,-4.6376340760825600
P16298,PPP3CB,-5.7599785360165500
P18074,ERCC2,-4.5484718220671400
Q96K37,SLC35E1,-4.7560973593815700
Q8WYK1,CNTNAP5,-4.1664278578801400
Q13825,AUH,-4.7512442074151700
Q86TN4,TRPT1,-11.76753658483120000
Q6Y7W6,GIGYF2,-4.2680438257206500
O15068,MCF2L,-4.5712108474654000
P16949,STMN1,-6.3464869959022000
Q15560,TCEA2,-1.609017201306010
O15213,WDR46,-5.7058266782200600
P31930,UQCRC1,-6.4927440455640000
Q9Y496,KIF3A,-12.09478161527260000
Q8N1G4,LRRC47,-6.1078427510280500
P28799,GRN,-0.471139818454352
O94952,FBXO21,-3.122594936965600
Q9UKE5,TNIK,-3.249391615851970
O75385,ULK1,-2.559443592029530
P25705,ATP5F1A,-7.29362044530272000
Q5JU85,IQSEC2,-1.544281108447110
Q9NQG5,RPRD1B,-4.9350234402819900
Q6ZN54,DEF8,-1.716122802626300
P36639,NUDT1,-11.21672727169890000
Q99873,PRMT1,-6.67080495410953000
P55011,SLC12A2,-4.1198648472914800
P43004,SLC1A2,-5.4945978488833600
Q12765,SCRN1,-5.9661245627072300
O75390,CS,-7.84888834246060000
Q86V97,KBTBD6,-4.6089574296228500
O75093,SLIT1,-4.0905566632842300
P62701,RPS4X,-8.61392395090933000
P35222,CTNNB1,-3.9293589039735900
P48730,CSNK1D,-3.033616591015510
Q99733,NAP1L4,-8.45766889390881000
Q96A35,MRPL24,-5.8135236032024800
Q9Y5R8,TRAPPC1,1.70089871987579
Q9H4A3,WNK1,-4.6635804768199600
Q8WXI2,CNKSR2,-12.15691626873730000
Q9Y2B0,CNPY2,-7.19556778108081000
Q13492,PICALM,-4.7199299214118300
Q9NXG6,P4HTM,-3.5696833534363700
Q52WX2,SBK1,-4.2146933152641300
Q9P2K5,MYEF2,-7.23093780665092000
P60510,PPP4C,-4.8482747671320800
Q9UNF1,MAGED2,-6.4896281022337700
Q6ZVC0,NYAP1,-2.721088447088130
Q9BU76,MMTAG2,4.3970662118319
Q8NBI6,XXYLT1,-4.7135795045560800
Q96F07,CYFIP2,-7.17757208440889000
P84095,RHOG,-2.595463451954550
O43920,NDUFS5,-5.6421154639407900
P61086,UBE2K,-4.5800890471955600
P22695,UQCRC2,-6.6154547116125000
P42892,ECE1,-4.6042401946243300
Q8N0Z6,TTC5,-5.3503179639822500
Q96NX9,DACH2,-1.651838085413670
Q00610,CLTC,-11.64039844535880000
Q15819,UBE2V2,-5.5240492311296900
Q9UBB9,TFIP11,-4.520342083620000
P29401,TKT,-9.86294254595712000
Q5TGI0,FAXC,-4.451535519288120
O43310,CTIF,-3.3736806313434500
Q6ZNB6,NFXL1,-11.06187470839630000
Q719H9,KCTD1,-2.647928120486050
Q9H9T3,ELP3,-5.9846109709278400
Q12852,MAP3K12,-4.9635765688839300
O75347,TBCA,-7.4862504599690600
Q86X27,RALGPS2,-2.714762075391020
Q8N1B4,VPS52,-4.8198285561337100
Q12824,SMARCB1,-3.7739421892591600
Q04656,ATP7A,-11.4116480720496000
Q8WXF1,PSPC1,-6.2526826679474100
P07738,BPGM,-7.02599067405163000
O95782,AP2A1,-9.99974848568074000
P30153,PPP2R1A,-10.1291615453506000
P10586,PTPRF,-4.2900758874940100
Q99856,ARID3A,-4.3347806686674500
Q9BQ39,DDX50,-5.4179622627672100
O00116,AGPS,-12.23456227292570000
Q15717,ELAVL1,-5.2671609759511500
Q6P1X6,C8orf82,-5.8434936973431900
Q9BXB4,OSBPL11,-4.0932662132853200
Q96CT7,CCDC124,-10.044966863180500
Q9C0C2,TNKS1BP1,-5.5584013879520300
Q5JSZ5,PRRC2B,-3.9198640795974800
Q15048,LRRC14,-4.9780816208844700
Q96GD3,SCMH1,-1.133296755273180
P59998,ARPC4,-6.1497560573584200
Q6NUM9,RETSAT,-5.4116808192353400
P36578,RPL4,-6.78691767083283000
Q8IXQ5,KLHL7,-2.741397428974180
O00170,AIP,-4.8101886647795300
Q9H4L4,SENP3,-4.1321781191450900
Q9BWE0,REPIN1,-1.79840595100215
P14416,DRD2,-4.614505649787330
P30876,POLR2B,-5.2654024648018000
O00743,PPP6C,-5.9742362435872900
Q9NXG2,THUMPD1,-11.99662527715490000
Q9H3P7,ACBD3,-6.66563619382076000
Q9HCM3,KIAA1549,-4.2601063785374400
Q9HAT8,PELI2,-4.3068002827229200
Q92845,KIFAP3,-3.8960592080438600
O43854,EDIL3,-9.40822728037940000
Q15643,TRIP11,-5.2065910443715800
O94766,B3GAT3,-4.1532482393139100
O00429,DNM1L,-12.93817987112410000
Q9NR28,DIABLO,-5.883112973404790
P31150,GDI1,-8.12265480140866000
Q59EK9,RUNDC3A,-4.9584776461496500
Q5JRA6,MIA3,-5.209622313834290
Q15067,ACOX1,-5.3407963675051300
P30040,ERP29,-5.2084846994019000
P0CK96,SLC35E2B,-1.022859776492000
Q9UPV7,PHF24,-11.2250965282436000
P09874,PARP1,-11.33363306026670000
Q9NS86,LANCL2,-6.5459278748375300
Q9BSV6,TSEN34,-4.2493433544393200
Q7Z7L7,ZER1,-4.0086836291234000
Q86WA8,LONP2,-5.4575518798330200
Q13310,PABPC4,-9.80169901445217000
P49458,SRP9,-4.1640018385735100
Q13242,SRSF9,-8.50846149757053000
P53990,IST1,-11.42327523942600000
Q96A83,COL26A1,-12.79567115793230000
Q15631,TSN,-5.6299597900904300
Q9UKG1,APPL1,-5.8674566613733900
Q8TBP6,SLC25A40,-6.69464490688431000
O14576,DYNC1I1,-5.8131813059547900
O60299,LZTS3,-2.615247701251180
Q15120,PDK3,-4.3626540218869700
Q9Y5X1,SNX9,-5.9417120406430200
O43155,FLRT2,-2.847234706177000
Q9UBI9,HECA,-4.3629667179696400
Q8IYT2,CMTR2,-1.142667745043970
O00213,APBB1,-3.17111054971373
P04843,RPN1,-5.7983861553584400
P17612,PRKACA,-9.56891992029730000
Q08629,SPOCK1,-2.826435392772150
P61916,NPC2,-8.92668390955924000
P78344,EIF4G2,-12.36319213322980000
Q8NEY1,NAV1,-4.2495968572086400
Q8IXT5,RBM12B,-11.69803835745180000
P98172,EFNB1,-6.3635722533335100
Q99567,NUP88,-6.78134612388054000
