PG.ProteinGroups,PG.Genes_x,Log2_x,PG.Genes_y,Log2_y
Q96CX2,KCTD12,-3.69855524048455,KCTD12,-2.92735358136
Q9Y4C2,TCAF1,-3.31524648879666,TCAF1,-2.33921099786663
P40925,MDH1,-5.69088052624446,NA,NA
Q14318,FKBP8,-3.25423148671133,FKBP8,-2.52259856982566
P08579,SNRPB2,-6.00989942715165,NA,NA
Q9BRJ7,NUDT16L1,-4.81739510482828,NUDT16L1,-3.99008387110068
O95155,UBE4B,-5.3917061696391,UBE4B,-4.434366990276089
Q96Q42,ALS2,-4.44751593919064,NA,NA
Q9Y512,SAMM50,-6.15189567363565,NA,NA
Q9HA65,TBC1D17,-4.43847701127338,TBC1D17,-4.74715594368805
Q9NRN7,AASDHPPT,-4.20745517719001,AASDHPPT,-3.22217642667918
Q06455,RUNX1T1,-2.4249804896034,RUNX1T1,-1.30131831281717
Q9BWM7,SFXN3,-5.07315431706589,SFXN3,-4.450767602665191
O94856,NFASC,-4.71460472873031,NFASC,-4.3361647605433
Q92604,LPGAT1,-5.04568830806386,LPGAT1,-4.95163908079514
P54105,CLNS1A,-5.27715899372041,CLNS1A,-4.3361919156448305
P19086,GNAZ,-5.56136573201501,GNAZ,-5.54927541924953
O15498,YKT6,-6.27990237282908,YKT6,-5.27821218049902
Q24JP5,TMEM132A,-3.44609812892521,TMEM132A,-2.72627139394542
O95297,MPZL1,-6.11453256188443,MPZL1,-5.49581318017614
Q9NPH2,ISYNA1,-4.513427371962591,ISYNA1,-4.27943693909927
Q8N806,UBR7,-3.31697226571904,NA,NA
Q14671,PUM1,-3.66892846335288,PUM1,-3.9300895346989697
O43924,PDE6D,-4.32187241185848,PDE6D,-3.06436380051995
P47756,CAPZB,-5.02549798347217,CAPZB,-4.411291152395729
P26196,DDX6,-5.45120425178351,DDX6,-5.52019047973472
P09104,ENO2,-8.976762272623901,NA,NA
P11413,G6PD,-5.34127596174204,G6PD,-4.88334957285373
O94776,MTA2,-3.59870492190378,MTA2,-2.82157578838401
Q9H6U8,ALG9,-6.34422717108677,ALG9,-4.69619218352252
Q9P291,ARMCX1,-4.31123798683012,ARMCX1,-2.28149833624517
Q68D91,MBLAC2,-5.26881052987752,MBLAC2,-4.69962424949333
O75326,SEMA7A,-3.46660391968513,NA,NA
Q9UPW5,AGTPBP1,-5.350318940084111,NA,NA
O60231,DHX16,-5.03349984608748,DHX16,-4.4131566533328
Q9Y4X5,ARIH1,-3.68703385851059,ARIH1,-3.55167245588744
Q96MZ0,GDAP1L1,-5.8093275982272,GDAP1L1,-4.94534813327524
Q86Y82,STX12,-4.12726070770517,STX12,-3.12298593181687
Q8NCB2,CAMKV,-5.64554737731328,CAMKV,-4.18112451734774
P25787,PSMA2,-7.218422162072019,NA,NA
Q8IV08,PLD3,-3.99872253104207,PLD3,-3.25555794863913
P51149,RAB7A,-8.15124921851031,RAB7A,-7.15336529693516
P13489,RNH1,-5.50135249218099,RNH1,-4.9746896288677105
Q9Y3A3,MOB4,-6.73580069763049,NA,NA
Q96B54,ZNF428,-3.14468417849369,ZNF428,-2.58222053646731
O15394,NCAM2,-3.56219596110433,NCAM2,-2.91488261407898
Q15771,RAB30,-4.42658355191913,RAB30,-3.27643002900814
P63096,GNAI1,-5.33774490430919,GNAI1,-4.07477500575011
P52292,KPNA2,-3.21193672196745,KPNA2,-3.00169738703829
Q13586,STIM1,-5.03246515149837,STIM1,-4.661424163223311
Q96SW2,CRBN,-4.292036282075951,CRBN,-3.55351312987553
P51812,RPS6KA3,-4.4180764305376,RPS6KA3,-3.51526198451525
O43292,GPAA1,-4.60292836947354,GPAA1,-3.9705696751055
Q96MY1,NOL4L,-2.71355148790147,NOL4L,-2.13098129868513
Q9UQL6,HDAC5,-0.836919749836729,NA,NA
Q13951,CBFB,-4.6760914309688095,NA,NA
Q9H2V7,SPNS1,-4.45109217262088,SPNS1,-3.8190266703059
Q9UI30,TRMT112,-4.74637046478449,TRMT112,-4.0689068694375905
Q96S59,RANBP9,-3.39682267198457,RANBP9,-2.79469071227276
P51116,FXR2,-3.9741630483051904,FXR2,-3.18051257038572
Q8TAD8,SNIP1,-3.9062982007707,SNIP1,-3.66686101909796
Q5JU69,TOR2A,-4.98801763652262,TOR2A,-3.60245029533326
P19404,NDUFV2,-7.68614189226488,NDUFV2,-6.77044673049622
Q9NP72,RAB18,-3.95368634344316,RAB18,-3.9955563582999902
Q9H0E2,TOLLIP,-4.56461901052825,TOLLIP,-3.6999015942673297
Q8N350,CBARP,-4.79473863608409,NA,NA
Q8NFT8,DNER,-2.86126219105765,DNER,-2.50690295785718
O00560,SDCBP,-7.54093561030801,SDCBP,-6.04850103499524
P51784,USP11,-4.95339429828524,NA,NA
Q6IEE7,TMEM132E,-3.76723228656808,TMEM132E,-3.23240547513386
Q8NFZ8,CADM4,-3.9800603645251,CADM4,-2.80127745960848
Q9BTT0,ANP32E,-7.512241616281631,NA,NA
O75164,KDM4A,-4.45191874876278,KDM4A,-3.18132057535326
Q8TC26,TMEM163,-5.94050193526627,NA,NA
Q92993,KAT5,-5.54869652871432,KAT5,-4.22955300139826
Q8IV32,CCDC71,-3.05036595413911,CCDC71,-2.74827555416246
Q9P2S2,NRXN2,-4.30011529518349,NRXN2,-3.11256362745747
P42224,STAT1,-4.47747184227024,STAT1,-4.32298995638505
Q9HCD6,TANC2,-3.66985867060623,TANC2,-3.34644138976165
Q8IVW6,ARID3B,-3.22757840009757,NA,NA
Q96IG2,FBXL20,-4.9410566508773,FBXL20,-4.61792923064973
Q86U70,LDB1,-4.1700425870147,LDB1,-4.11947095986329
Q8N2K0,ABHD12,-4.88458817480874,ABHD12,-4.3290789436284
O43526,KCNQ2,-3.4047941738272,NA,NA
Q9BYV9,BACH2,-3.6718257228055102,BACH2,-3.08146457218613
P61006,RAB8A,-5.5065054203844,RAB8A,-4.13972003121864
Q9P2Y5,UVRAG,0.16517819051087,NA,NA
Q14344,GNA13,-5.724077151833449,GNA13,-5.2141312094552
Q96PB7,OLFM3,-2.72255355316863,OLFM3,-2.17755662992507
