,X.2,X.1,...1,X,PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_50_1,ConditionNorm_P_50_2,ConditionNorm_P_50_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P50_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_50_1_ConditionNorm_P_50_2_ConditionNorm_P_50_3,Ratio,Ratio_log2
1,1,2,2,2,Q96CX2,KCTD12,KCD12_HUMAN,cell junction [GO:0030054]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; protein homooligomerization [GO:0051260],"SUBCELLULAR LOCATION: Cell junction, synapse, presynaptic cell membrane. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}.",BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain),GO:0003723; GO:0030054; GO:0042734; GO:0042802; GO:0045211; GO:0051260,1E-07,1E-07,3.71722704243115E-05,0.0783711308930924,0.0764905785721226,0.077023621065528,0.077023621065528,-3.698555240484550,0.0772826527534396,0.0386537838001946,143.002064651485,4.60041976538795E-09,1.96897965958604E-05,10.4590984329579,35701,4.70575877028909,11,2,0,1E-07,0.077023621065528,770236.21065528,19.554941423727
2,2,3,3,3,Q9Y4C2,TCAF1,TCAF1_HUMAN,plasma membrane [GO:0005886]; ion channel binding [GO:0044325]; negative regulation of cell migration [GO:0030336]; positive regulation of anion channel activity [GO:1901529]; positive regulation of protein targeting to membrane [GO:0090314],SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25559186}. Note=Colocalizes with TRPM8 on the plasma membrane. {ECO:0000269|PubMed:25559186}.,TRPM8 channel-associated factor 1 (TRP channel-associated factor 1),GO:0005886; GO:0030336; GO:0044325; GO:0090314; GO:1901529,0.00027490217046511,0.00046083122285587,0.00101702675008962,0.0986867900723252,0.101420497541532,0.100464207763757,0.100464207763757,-3.315246488796660,0.0996062450780676,0.0503873759201707,124.116469178562,8.45130761792772E-09,2.41143977364871E-05,9.71060060758257,102126,4.61772358022713,15,0,0,0.00046083122285587,0.100464207763757,218.006512538709,7.76822742324922
3,3,6,6,6,P40925,MDH1,MDHC_HUMAN,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; diiodophenylpyruvate reductase activity [GO:0047860]; L-malate dehydrogenase activity [GO:0030060]; malic enzyme activity [GO:0004470]; NAD binding [GO:0051287]; gluconeogenesis [GO:0006094]; malate metabolic process [GO:0006108]; NADH metabolic process [GO:0006734]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099],SUBCELLULAR LOCATION: Cytoplasm.,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase) (EC 1.1.1.96)",GO:0004470; GO:0005615; GO:0005739; GO:0005829; GO:0006094; GO:0006099; GO:0006107; GO:0006108; GO:0006734; GO:0030060; GO:0043209; GO:0047860; GO:0051287; GO:0070062,1E-07,1E-07,2.29184387426119E-05,0.0193586139793967,0.0198131048606987,0.0190499252177329,0.0193586139793967,-5.6908805262444600,0.0193995085396952,0.00970746041609516,90.3644402082357,3.30125210004174E-08,4.70978632939289E-05,8.03267744016226,36426,4.32699879522154,12,2,0,1E-07,0.0193586139793967,193586.139793967,17.5626161379671
4,4,8,8,8,Q14318,FKBP8,FKBP8_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; disordered domain specific binding [GO:0097718]; FK506 binding [GO:0005528]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; apoptotic process [GO:0006915]; camera-type eye development [GO:0043010]; cell fate specification [GO:0001708]; chaperone-mediated protein folding [GO:0061077]; dorsal/ventral neural tube patterning [GO:0021904]; intracellular signal transduction [GO:0035556]; multicellular organism growth [GO:0035264]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of BMP signaling pathway [GO:0030513]; smoothened signaling pathway [GO:0007224]; viral process [GO:0016032],"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16176796}. Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein; Cytoplasmic side {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform 1: Mitochondrion membrane {ECO:0000269|PubMed:12510191, ECO:0000269|PubMed:18385096}; Single-pass membrane protein; Cytoplasmic side {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform 3: Mitochondrion membrane {ECO:0000269|PubMed:18385096}; Single-pass membrane protein; Cytoplasmic side {ECO:0000305}.",Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase),GO:0001708; GO:0001933; GO:0003755; GO:0005528; GO:0005737; GO:0005739; GO:0005783; GO:0005829; GO:0006915; GO:0007224; GO:0016020; GO:0016032; GO:0021904; GO:0030176; GO:0030513; GO:0031966; GO:0032991; GO:0035264; GO:0035556; GO:0042802; GO:0043010; GO:0043066; GO:0046872; GO:0061077; GO:0097718,0.00103262810879975,0.00041218841173132,0.00038041899589778,0.10480420541408,0.100865505038869,0.105096809952713,0.10480420541408,-3.25423148671133,0.102980428296411,0.0520986259870151,77.2781861814169,6.46119655466517E-08,6.91348031349173E-05,7.20543507127627,44562,4.16030326949501,9,0,0,0.00041218841173132,0.10480420541408,254.262862397974,7.99017694733205
5,5,11,11,11,P08579,SNRPB2,RU2B_HUMAN,"catalytic step 2 spliceosome [GO:0071013]; fibrillar center [GO:0001650]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; snRNA stem-loop binding [GO:0035614]; snRNP binding [GO:0070990]; U1 snRNA binding [GO:0030619]; mRNA splicing, via spliceosome [GO:0000398]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:28781166}.",U2 small nuclear ribonucleoprotein B'' (U2 snRNP B''),GO:0000398; GO:0001650; GO:0005634; GO:0005654; GO:0005681; GO:0005685; GO:0005686; GO:0016607; GO:0030619; GO:0035614; GO:0070990; GO:0071005; GO:0071007; GO:0071013,9.22975866994174E-05,0.00034483481617647,0.00019449454533826,0.0155181520015932,0.0158602099349102,0.0151108198005354,0.0155181520015932,-6.0098994271516500,0.0152858515962749,0.00785346811420883,69.0648737814339,1.04653011336321E-07,8.14390706399005E-05,6.61127106880129,25486,4.08916719102728,4,0,0,0.00019449454533826,0.0155181520015932,79.7870807873014,6.31808325746289
6,6,12,12,12,Q9BRJ7,NUDT16L1,TIRR_HUMAN,nucleus [GO:0005634]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28241136}.,Tudor-interacting repair regulator protein (NUDT16-like protein 1) (Protein syndesmos),GO:0003723; GO:0005634; GO:0016787; GO:0030515; GO:2001033,0.00277186788625238,0.00307579627901896,0.00366479884692849,0.0354666012728506,0.0368454825287341,0.0353603790586104,0.0354666012728506,-4.8173951048282800,0.0327199999493317,0.0195308209787325,62.1297362655046,1.64801331306533E-07,0.00011755828299866,6.05176430406055,23338,3.92974676565533,7,0,0,0.00307579627901896,0.0354666012728506,11.5308681250381,3.52742922821876
7,7,14,14,14,O95155,UBE4B,UBE4B_HUMAN,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; ATP binding [GO:0005524]; ATPase binding [GO:0051117]; enzyme binding [GO:0019899]; ubiquitin-ubiquitin ligase activity [GO:0034450]; granzyme-mediated apoptotic signaling pathway [GO:0008626]; neuron projection development [GO:0031175]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; response to UV [GO:0009411]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]; ventricular trabecula myocardium morphogenesis [GO:0003222],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9ES00}. Nucleus {ECO:0000250|UniProtKB:Q9ES00}.,Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2),GO:0000151; GO:0000209; GO:0003222; GO:0005524; GO:0005634; GO:0005737; GO:0006511; GO:0006513; GO:0008626; GO:0009411; GO:0019899; GO:0030433; GO:0031175; GO:0034450; GO:0043161; GO:0051117; GO:0051865,1.39958115160364E-05,1E-07,1E-07,0.0245221297323032,0.0238196137656897,0.0230298567244442,0.0238196137656897,-5.3917061696391000,0.023785801470307,0.0118976326723255,57.1316460537194,2.36171216790088E-07,0.00014440182969451,5.60840079361253,146185,3.84042730384952,21,2,0,1E-07,0.0238196137656897,238196.137656897,17.8617904945724
8,8,15,15,15,Q96Q42,ALS2,ALS2_HUMAN,"centrosome [GO:0005813]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; early endosome [GO:0005769]; growth cone [GO:0030426]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]; vesicle [GO:0031982]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activator activity [GO:0043539]; Rab GTPase binding [GO:0017137]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; Rac guanyl-nucleotide exchange factor activity [GO:0030676]; axonogenesis [GO:0007409]; behavioral fear response [GO:0001662]; cell death [GO:0008219]; endosomal transport [GO:0016197]; endosome organization [GO:0007032]; in utero embryonic development [GO:0001701]; locomotory behavior [GO:0007626]; neuromuscular junction development [GO:0007528]; neuron projection morphogenesis [GO:0048812]; positive regulation of GTPase activity [GO:0043547]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of Rac protein signal transduction [GO:0035022]; protein localization [GO:0008104]; Rac protein signal transduction [GO:0016601]; receptor recycling [GO:0001881]; regulation of endosome size [GO:0051036]; regulation of Rho protein signal transduction [GO:0035023]; response to oxidative stress [GO:0006979]; synaptic transmission, glutamatergic [GO:0035249]",NA,Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein),GO:0001662; GO:0001701; GO:0001726; GO:0001881; GO:0005769; GO:0005813; GO:0005829; GO:0006979; GO:0007032; GO:0007409; GO:0007528; GO:0007626; GO:0008104; GO:0008219; GO:0014069; GO:0016020; GO:0016197; GO:0016601; GO:0017112; GO:0017137; GO:0030027; GO:0030425; GO:0030426; GO:0030676; GO:0031982; GO:0032991; GO:0035022; GO:0035023; GO:0035249; GO:0042803; GO:0043025; GO:0043197; GO:0043231; GO:0043539; GO:0043547; GO:0045860; GO:0048812; GO:0051036,4.74363000177913E-05,7.01012029420113E-05,0.00012907699012042,0.0472078565435826,0.0441243210251037,0.0458315237223095,0.0458315237223095,-4.4475159391906400,0.0456390289326385,0.022901719297346,52.9956894115995,3.26004024459726E-07,0.00017751060605385,5.21119333131904,183634,3.75077569323957,19,0,0,7.01012029420113E-05,0.0458315237223095,653.790830953671,9.35268533404046
9,9,16,16,16,Q9Y512,SAMM50,SAM50_HUMAN,extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrial sorting and assembly machinery complex [GO:0001401]; mitochondrion [GO:0005739]; cristae formation [GO:0042407]; mitochondrial respiratory chain complex assembly [GO:0033108]; protein import into mitochondrial outer membrane [GO:0045040],SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:15644312}; Multi-pass membrane protein. Cytoplasm {ECO:0000250|UniProtKB:Q6AXV4}. Mitochondrion {ECO:0000269|PubMed:25781180}.,Sorting and assembly machinery component 50 homolog (Transformation-related gene 3 protein) (TRG-3),GO:0001401; GO:0005739; GO:0005741; GO:0016021; GO:0033108; GO:0042407; GO:0045040; GO:0070062,6.16757071233721E-05,3.36595320297912E-05,2.20463593568895E-06,0.0140906518291248,0.0132657776199849,0.0140635471009228,0.0140635471009228,-6.1518956736356500,0.0137741455583145,0.00691958607085355,52.5406326369231,3.3828823991003E-07,0.00017751060605385,5.1656153111858,51976,3.75077569323957,12,0,0,3.36595320297912E-05,0.0140635471009228,417.817665690525,8.70672968185738
10,10,17,17,17,Q9HA65,TBC1D17,TBC17_HUMAN,"autophagosome [GO:0005776]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; recycling endosome [GO:0055037]; GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; autophagy [GO:0006914]; intracellular protein transport [GO:0006886]; regulation of vesicle fusion [GO:0031338]; retrograde transport, endosome to Golgi [GO:0042147]","SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:24752605}.",TBC1 domain family member 17,GO:0005096; GO:0005776; GO:0005829; GO:0006886; GO:0006914; GO:0012505; GO:0017137; GO:0031338; GO:0042147; GO:0055037; GO:0090630,0.00013006517653756,0.0003113492760995,0.00124620600068953,0.0464747959003712,0.0461195737257407,0.0438424625243269,0.0461195737257407,-4.4384770112733800,0.0449164038990374,0.0230207421006276,52.037802668943,3.52532745667699E-07,0.00017751060605385,5.11479220073198,72728,3.75077569323957,6,0,0,0.0003113492760995,0.0461195737257407,148.128090431153,7.2107014433852
