PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,NES Assoc
P15622,ZNF250,0.348207622,0.365199091,0.350004212,0.346739015,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.192580229,0.349105917,1.00E-07,0.352537385,0.176268792,84.43400425,5.01E-11,4.64E-07,15.87574403,"63,468",6.333869386,5,1
P53992,SEC24C,0.071544993,0.077121141,0.076133859,0.070629226,0.15943785,0.158390764,0.158477065,0.160216102,0.162217821,0.073839426,0.15943785,-0.085273141,0.116493875,-49.1345663,1.62E-09,3.88E-06,12.96510592,"118,325",5.410679677,28,1
Q9NRP7,STK36,1.230994802,1.189576144,1.202512144,1.109829029,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.92412111,1.196044144,1.00E-07,1.18322793,0.591614065,47.16093609,2.10E-09,3.88E-06,12.71369458,"143,995",5.410679677,2,1
P49327,FASN,0.118242482,0.116853018,0.124440564,0.113622381,0.204893638,0.208140261,0.209887245,0.206984596,0.19800766,0.11754775,0.206984596,-0.089186824,0.162883023,-35.80805683,1.22E-08,7.83E-06,10.94671565,"273,427",5.106244036,144,1
Q92598,HSPH1,0.078090712,0.085192892,0.085140526,0.08747156,0.163175084,0.160894334,0.1667372,0.16647829,0.160633194,0.085166709,0.163175084,-0.080347305,0.124147575,-32.58974201,2.24E-08,8.29E-06,10.31736962,"96,865",5.081685912,46,1
Q8IXK0,PHC2,0.62248184,0.643634394,0.636364632,0.640469718,0.831226741,0.812502047,0.831147266,0.833374487,0.801008183,0.638417175,0.831147266,-0.191324989,0.73140014,-29.19793788,4.51E-08,1.19E-05,9.570898746,"90,713",4.924000198,11,1
Q32P28,P3H1,0.00177696,1.00E-07,1.00E-07,1.00E-07,0.136252929,0.152385752,0.127192736,0.1350373,0.13563597,1.00E-07,0.13563597,-0.137272864,0.069080747,-26.58637302,8.20E-08,1.80E-05,8.926114247,"83,394",4.74370368,27,1
O75534,CSDE1,0.477263067,0.491364086,0.494424516,0.530966371,0.879446489,0.865216488,0.851068457,0.839116386,0.849707933,0.492894301,0.851068457,-0.360207445,0.678608232,-25.86156124,9.77E-08,2.01E-05,8.734674432,"88,885",4.69719222,40,1
P46379,BAG6,0.415264374,0.41431496,0.398281841,0.441069788,0.670103754,0.643326805,0.65787156,0.670938192,0.655467843,0.414789667,0.65787156,-0.243327337,0.538896409,-22.92209185,2.11E-07,3.33E-05,7.893670738,"119,409",4.477875715,35,1
Q6ZVM7,TOM1L2,0.118259871,0.098508384,0.080398821,0.082507222,0.316400064,0.337239157,0.345804025,0.3398167,0.22479493,0.090507803,0.337239157,-0.239896412,0.214866781,-22.83193799,2.16E-07,3.33E-05,7.866075535,"55,556",4.477875715,11,1
Q01581,HMGCS1,0.59593199,0.560767096,0.61976798,0.613747843,0.880498371,0.882057498,0.885742933,0.892920275,0.859614103,0.604839917,0.882057498,-0.287751042,0.741429248,-21.94688072,2.78E-07,3.66E-05,7.588860223,"57,294",4.436639504,29,1
Q9UBB4,ATXN10,0.402631659,0.395696533,0.397582115,0.39822517,0.595349162,0.555603297,0.56346667,0.581006576,0.549428922,0.397903642,0.56346667,-0.175322557,0.486195148,-20.02310672,4.97E-07,5.16E-05,6.943391554,"53,489",4.287416544,29,1
Q9NRR5,UBQLN4,0.416691181,0.517916311,0.474775428,0.429031648,0.038589089,1.00E-07,0.003502725,1.00E-07,0.123966017,0.451903538,0.003502725,0.449080638,0.235063323,18.62294282,7.86E-07,7.41E-05,6.431708709,"63,853",4.130058151,8,1
Q96T58,SPEN,0.446324694,0.438298695,0.427182266,0.444894068,0.662599288,0.722349575,0.719321451,0.692716154,0.705143856,0.441596382,0.705143856,-0.260071686,0.569210774,-18.43839923,8.37E-07,7.58E-05,6.361334958,"402,248",4.120101955,50,1
Q05639,EEF1A2,0.088581536,0.126143647,0.112190826,0.113775306,0.399951689,0.390034204,0.445006303,0.454227253,0.41831681,0.112983066,0.41831681,-0.312132034,0.266238845,-18.10380453,9.39E-07,8.12E-05,6.231886849,"50,470",4.090651551,13,1
Q12765,SCRN1,0.008031928,1.00E-07,0.007994948,0.009321629,0.075096101,0.086975475,0.094281646,0.08860461,0.09400153,0.008013438,0.08860461,-0.079902307,0.046288305,-17.95090803,9.91E-07,8.48E-05,6.171920548,"46,382",4.071437196,24,1
Q9Y3F4,STRAP,0.131291741,0.133655414,0.120655813,0.134240081,0.219603788,0.244015533,0.232165921,0.241657043,0.23355272,0.132473577,0.23355272,-0.104399809,0.182160667,-16.83194256,1.49E-06,0.000114563,5.716638484,"38,438",3.940955392,19,1
Q9BUR4,WRAP53,0.195423735,0.275811766,0.209778422,0.217305451,0.535794216,0.518001507,0.544235331,0.51105796,0.469938995,0.213541936,0.518001507,-0.30269241,0.375926048,-16.24337221,1.86E-06,0.000128994,5.464775962,"59,309",3.889429472,10,1
Q96I59,NARS2,0.021822878,0.028891924,0.025665648,0.027668513,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.026667081,1.00E-07,0.026012141,0.013006171,16.09617467,1.97E-06,0.000129164,5.40036009,"54,090",3.888859807,17,1
Q10570,CPSF1,0.143039241,0.123342052,0.146968911,0.131785937,0.300153491,0.274883006,0.296353805,0.268140803,0.293027297,0.137412589,0.293027297,-0.148598741,0.210583406,-16.07713631,1.98E-06,0.000129212,5.391985746,"160,884",3.888698241,43,1
Q8N5K1,CISD2,0.038142624,0.039043595,0.0261599,0.026612229,0.093882052,0.091554137,0.095755044,0.100535423,0.092248636,0.032377427,0.093882052,-0.062942077,0.063960625,-16.03412269,2.02E-06,0.00012938,5.373029035,"15,278",3.888134053,7,1
O60346,PHLPP1,0.887216458,1.16343125,1.152639044,1.19484185,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.898203736,1.158035147,1.00E-07,1.099532051,0.549766125,15.94691789,2.09E-06,0.000131004,5.334440738,"184,672",3.882714167,5,1
O43290,SART1,0.192553667,0.185543757,0.188142433,0.202215705,0.286428749,0.299038028,0.30369812,0.316438512,0.299979632,0.19034805,0.299979632,-0.109286962,0.246757371,-15.64072597,2.36E-06,0.000141628,5.197268771,"90,255",3.848850645,33,1
Q9BUA3,C11orf84,,,,,,,,,,,,-0.430444683,0.736956908,-15.34075086,2.66E-06,0.000149608,5.060275183,"41,037",3.825044443,,1
P31689,DNAJA1,0.279204239,0.294549545,0.274006897,0.311493325,0.501197743,0.566999409,0.545107929,0.563007895,0.557392828,0.286876892,0.557392828,-0.254264742,0.416945873,-15.22418271,2.79E-06,0.000153785,5.006324679,"44,868",3.813087228,22,1
P22083,FUT4,0.465043571,0.300610225,0.122714436,0.291675098,2.152708235,2.76238519,2.695648664,2.457353199,2.135557993,0.296142662,2.457353199,-2.222012989,1.406017327,-14.86479208,3.25E-06,0.000163088,4.837390365,"59,084",3.787578346,2,1
