"","X.2","X.1","...1","X","PG.ProteinGroups","PG.Genes","short.name","GO","sub.cell","description","GO.ID","ConditionNorm_P_0_1","ConditionNorm_P_0_2","ConditionNorm_P_0_3","ConditionNorm_P_300_2_1","ConditionNorm_P_300_2_2","ConditionNorm_P_300_2_3","logFC","AveExpr","t","P.Value","adj.P.Val","B","mass","neglog.adj.P.Val.","TotalPeptidesOverallInGene","P0_Undetected","P300_24h_Undetected","medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3","medians_.ConditionNorm_P_300_2_1_ConditionNorm_P_300_2_2_ConditionNorm_P_300_2_3","Ratio","Ratio_log2"
"1",1,1,1,1,"Q96F86","EDC3","EDC3_HUMAN","cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; membrane [GO:0016020]; P-body [GO:0000932]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; phosphodiesterase decapping endonuclease activity [GO:1990174]; cytoplasmic mRNA processing body assembly [GO:0033962]; deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]; exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]","SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:16364915}. Note=Processing bodies (PB).","Enhancer of mRNA-decapping protein 3 (LSM16 homolog) (YjeF N-terminal domain-containing protein 2) (YjeF_N2) (hYjeF_N2) (YjeF domain-containing protein 1)","GO:0000932; GO:0003729; GO:0005829; GO:0016020; GO:0031087; GO:0033962; GO:0036464; GO:0042802; GO:0043928; GO:1990174",1e-07,4.38437438448206e-06,9.24919241015426e-08,0.0193977876341387,0.0194618426226633,0.0189859161406415,0.019280323177045,0.00964168721062536,128.800879628291,6.76575298255394e-09,5.79148455306618e-05,10.8470812271437,56078,4.23721009766044,8,1,0,1e-07,0.0193977876341387,193977.876341387,17.5655325932789
"2",2,3,3,3,"P48730","CSNK1D","KC1D_HUMAN","centrosome [GO:0005813]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; peptide binding [GO:0042277]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321]; cellular response to nerve growth factor stimulus [GO:1990090]; ciliary basal body-plasma membrane docking [GO:0097711]; circadian regulation of gene expression [GO:0032922]; COPII vesicle coating [GO:0048208]; endocytosis [GO:0006897]; G2/M transition of mitotic cell cycle [GO:0000086]; Golgi organization [GO:0007030]; microtubule nucleation [GO:0007020]; non-motile cilium assembly [GO:1905515]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of non-canonical Wnt signaling pathway [GO:2000052]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation [GO:1905426]; protein localization to centrosome [GO:0071539]; protein localization to cilium [GO:0061512]; protein localization to Golgi apparatus [GO:0034067]; protein phosphorylation [GO:0006468]; regulation of cell shape [GO:0008360]; regulation of circadian rhythm [GO:0042752]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; spindle assembly [GO:0051225]; Wnt signaling pathway [GO:0016055]","SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, perinuclear region. Cell membrane. Cytoplasm, cytoskeleton, spindle. Golgi apparatus. Note=Localized at mitotic spindle microtubules, and at the centrosomes and interphase in interphase cells. Recruited to the spindle apparatus and the centrosomes in response to DNA-damage. Correct subcellular localization requires kinase activity.","Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)","GO:0000086; GO:0000139; GO:0001934; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005794; GO:0005813; GO:0005819; GO:0005829; GO:0005876; GO:0005886; GO:0006468; GO:0006897; GO:0007020; GO:0007030; GO:0008360; GO:0010389; GO:0016055; GO:0018105; GO:0032436; GO:0032922; GO:0033116; GO:0034067; GO:0042277; GO:0042752; GO:0043005; GO:0045296; GO:0048208; GO:0048471; GO:0050321; GO:0051225; GO:0061512; GO:0071539; GO:0090263; GO:0097711; GO:1905426; GO:1905515; GO:1990090; GO:2000052",6.11939112675231e-05,7.04035533733228e-05,0.00011172437840527,0.184997616343177,0.191004438389297,0.183344583109309,0.186367771999579,0.0932649932808049,83.1265230097352,4.46709032271674e-08,0.00010960564457081,8.53659327197659,47330,3.96016707958492,5,0,0,7.04035533733228e-05,0.184997616343177,2627.67442095154,11.3595708158867
"3",3,4,4,4,"Q7Z4K8","TRIM46","TRI46_HUMAN","axon cytoplasm [GO:1904115]; axon initial segment [GO:0043194]; cytoskeleton [GO:0005856]; main axon [GO:0044304]; proximal neuron projection [GO:1990769]; zinc ion binding [GO:0008270]; anterograde synaptic vesicle transport [GO:0048490]; axonogenesis [GO:0007409]; microtubule bundle formation [GO:0001578]; negative regulation of axon extension [GO:0030517]; neuron migration [GO:0001764]; positive regulation of anterograde dense core granule transport [GO:1901953]; protein localization to axon [GO:0099612]; regulation of cellular protein localization [GO:1903827]","SUBCELLULAR LOCATION: Cell projection, axon {ECO:0000250|UniProtKB:Q7TNM2}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q7TNM2}. Note=Microtubule-associated. Localizes to the proximal part of the axon. {ECO:0000250|UniProtKB:Q7TNM2}.","Tripartite motif-containing protein 46 (Gene Y protein) (GeneY) (Tripartite, fibronectin type-III and C-terminal SPRY motif protein)","GO:0001578; GO:0001764; GO:0005856; GO:0007409; GO:0008270; GO:0030517; GO:0043194; GO:0044304; GO:0048490; GO:0099612; GO:1901953; GO:1903827; GO:1904115; GO:1990769",2.92357192225913e-05,2.55360427156958e-05,7.95748412680683e-05,0.070412458181699,0.0719859296126172,0.0736219998897587,0.0719620136936229,0.0360257890478802,80.5298645474576,5.12175909209405e-08,0.00010960564457081,8.36877223260556,83424,3.96016707958492,20,0,0,2.92357192225913e-05,0.0719859296126172,2462.2595758476,11.2657671460164
"4",4,6,6,6,"Q9P0J7","KCMF1","KCMF1_HUMAN","cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleic acid binding [GO:0003676]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]; neutrophil degranulation [GO:0043312]",NA,"E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (RING-type E3 ubiquitin transferase KCMF1) (ZZ-type zinc finger-containing protein 1)","GO:0003676; GO:0005576; GO:0005829; GO:0008270; GO:0016740; GO:0043312; GO:1904813",0.00014148227843341,0.00152335114328638,0.00022464304483378,0.0380807558941098,0.0371839158493072,0.0390393972425134,0.0374715308397923,0.0193655909087473,55.6286644214978,2.52090204002172e-07,0.00035964869104309,6.4108707477606,41945,3.44412151599379,5,0,0,0.00022464304483378,0.0380807558941098,169.516736751351,7.4052839105472
"5",5,7,7,7,"Q9UPN6","SCAF8","SCAF8_HUMAN","nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; RNA polymerase core enzyme binding [GO:0043175]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]","SUBCELLULAR LOCATION: Nucleus. Nucleus matrix. Note=Detected in granular nuclear foci which correspond to sites of active transcription. {ECO:0000250}.","Protein SCAF8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16) (SR-related and CTD-associated factor 8)","GO:0003723; GO:0005654; GO:0005681; GO:0006397; GO:0008380; GO:0016363; GO:0043175",0.00195357993984359,0.00145930398782693,0.00696563229924617,0.179280725185962,0.190758404424643,0.185080666668234,0.181580426683974,0.0942497187509592,50.2520997701013,3.90522677445527e-07,0.00044569716937139,5.87264984770715,140519,3.35096012411505,10,0,0,0.00195357993984359,0.185080666668234,94.7392338002059,6.56589009911495
"6",6,8,8,8,"Q9ULI4","KIF26A","KI26A_HUMAN","cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; enteric nervous system development [GO:0048484]; microtubule-based movement [GO:0007018]; negative regulation of signal transduction [GO:0009968]; regulation of cell growth by extracellular stimulus [GO:0001560]; retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.","Kinesin-like protein KIF26A","GO:0001560; GO:0003777; GO:0005524; GO:0005829; GO:0005871; GO:0005874; GO:0006890; GO:0007018; GO:0008017; GO:0009968; GO:0019886; GO:0048484",0.00021899555155734,4.0317354040151e-05,9.59695058546089e-05,0.126255850778434,0.128051788969578,0.119380241350074,0.124444199562211,0.0623405272515897,48.8764528070932,4.40093649307728e-07,0.00044569716937139,5.72567980380985,194590,3.35096012411505,18,0,0,9.59695058546089e-05,0.126255850778434,1315.58300372733,10.3614865596106
"7",7,10,10,10,"P51149","RAB7A","RAB7A_HUMAN","alveolar lamellar body [GO:0097208]; autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extrinsic component of lysosome membrane [GO:0032419]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome membrane [GO:0033162]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; phagophore assembly site membrane [GO:0034045]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; Rac GTPase binding [GO:0048365]; retromer complex binding [GO:1905394]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; autophagosome assembly [GO:0000045]; bone resorption [GO:0045453]; early endosome to late endosome transport [GO:0045022]; endocytosis [GO:0006897]; endosome to lysosome transport [GO:0008333]; epidermal growth factor catabolic process [GO:0007174]; lipid catabolic process [GO:0016042]; lipophagy [GO:0061724]; multi-organism intracellular transport [GO:1902583]; negative regulation of exosomal secretion [GO:1903542]; negative regulation of intralumenal vesicle formation [GO:1905366]; neutrophil degranulation [GO:0043312]; phagosome acidification [GO:0090383]; phagosome maturation [GO:0090382]; phagosome-lysosome fusion [GO:0090385]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of viral process [GO:0048524]; protein targeting to lysosome [GO:0006622]; protein to membrane docking [GO:0022615]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]; viral release from host cell [GO:0019076]","SUBCELLULAR LOCATION: Cytoplasmic vesicle, phagosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:21255211}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Late endosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:14617358, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Melanosome membrane {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lipid droplet {ECO:0000250|UniProtKB:P51150}. Endosome membrane {ECO:0000269|PubMed:22431521}. Note=Colocalizes with OSBPL1A at the late endosome (PubMed:16176980). Found in the ruffled border (a late endosomal-like compartment in the plasma membrane) of bone-resorbing osteoclasts. Recruited to phagosomes containing S.aureus or Mycobacterium (PubMed:21255211). Lipid droplet localization is increased upon ADRB2 stimulation (By similarity). {ECO:0000250|UniProtKB:P51150, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:21255211}.","Ras-related protein Rab-7a","GO:0000045; GO:0000421; GO:0003924; GO:0005525; GO:0005764; GO:0005765; GO:0005770; GO:0005794; GO:0005811; GO:0005829; GO:0005886; GO:0006622; GO:0006897; GO:0007174; GO:0008333; GO:0010008; GO:0015031; GO:0016042; GO:0019003; GO:0019076; GO:0019886; GO:0022615; GO:0030667; GO:0030670; GO:0031902; GO:0032419; GO:0033162; GO:0034045; GO:0042147; GO:0043312; GO:0045022; GO:0045335; GO:0045453; GO:0045732; GO:0048365; GO:0048524; GO:0061724; GO:0070062; GO:0090382; GO:0090383; GO:0090385; GO:0097208; GO:1902583; GO:1903542; GO:1903543; GO:1905366; GO:1905394",1e-07,4.64074349419732e-05,2.29701447799555e-05,0.00544276047097283,0.00551807601978047,0.00515296484603829,0.00534810791902322,0.00269721315275225,46.1421119632544,5.63863343491483e-07,0.00044569716937139,5.4208635522649,23490,3.35096012411505,13,1,0,2.29701447799555e-05,0.00544276047097283,236.949332410058,7.88843478604781
"8",8,11,11,11,"O00750","PIK3C2B","P3C2B_HUMAN","cytoplasm [GO:0005737]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]; 1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; lipid kinase activity [GO:0001727]; phosphatidylinositol binding [GO:0035091]; autophagosome organization [GO:1905037]; cell migration [GO:0016477]; cellular response to starvation [GO:0009267]; phosphatidylinositol 3-kinase signaling [GO:0014065]; protein kinase B signaling [GO:0043491]","SUBCELLULAR LOCATION: Microsome {ECO:0000269|PubMed:14563213}. Cell membrane {ECO:0000269|PubMed:14563213}. Cytoplasm, cytosol {ECO:0000269|PubMed:14563213}. Nucleus {ECO:0000269|PubMed:14563213}. Endoplasmic reticulum {ECO:0000269|PubMed:14563213}. Note=Found mostly in the microsome, but also in the plasma membrane and cytosol. Nuclear in testis.","Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)","GO:0001727; GO:0005524; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0005886; GO:0005942; GO:0009267; GO:0014065; GO:0016303; GO:0016477; GO:0030139; GO:0035005; GO:0035091; GO:0043491; GO:1905037",9.42249184118852e-06,1e-07,1e-07,0.0417314195546033,0.0391834468812481,0.0421628809780588,0.0410227083073564,0.0205145616509586,45.7648086365057,5.84147100122514e-07,0.00044569716937139,5.37739263741519,184768,3.35096012411505,21,2,0,1e-07,0.0417314195546033,417314.195546033,18.6707744712316
"9",9,13,13,13,"P35716","SOX11","SOX11_HUMAN","cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding transcription factor activity [GO:0003700]; enhancer sequence-specific DNA binding [GO:0001158]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription coactivator activity [GO:0001105]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; translation factor activity, RNA binding [GO:0008135]; cardiac ventricle formation [GO:0003211]; closure of optic fissure [GO:0061386]; cornea development in camera-type eye [GO:0061303]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic skeletal system morphogenesis [GO:0048704]; eyelid development in camera-type eye [GO:0061029]; glial cell development [GO:0021782]; glial cell proliferation [GO:0014009]; hard palate development [GO:0060022]; kidney development [GO:0001822]; lens morphogenesis in camera-type eye [GO:0002089]; limb bud formation [GO:0060174]; lung morphogenesis [GO:0060425]; negative regulation of cell death [GO:0060548]; negative regulation of gene expression [GO:0010629]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of lymphocyte proliferation [GO:0050672]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; neural crest cell development [GO:0014032]; neural tube formation [GO:0001841]; neuroepithelial cell differentiation [GO:0060563]; neuron differentiation [GO:0030182]; noradrenergic neuron differentiation [GO:0003357]; oligodendrocyte development [GO:0014003]; outflow tract morphogenesis [GO:0003151]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cell proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of hippo signaling [GO:0035332]; positive regulation of hormone secretion [GO:0046887]; positive regulation of lens epithelial cell proliferation [GO:2001111]; positive regulation of neurogenesis [GO:0050769]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of ossification [GO:0045778]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; signal transduction involved in cell cycle checkpoint [GO:0072395]; skeletal muscle cell differentiation [GO:0035914]; skeletal system development [GO:0001501]; soft palate development [GO:0060023]; somite development [GO:0061053]; spinal cord development [GO:0021510]; sympathetic nervous system development [GO:0048485]; ventricular septum morphogenesis [GO:0060412]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:24886874}.","Transcription factor SOX-11","GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001077; GO:0001105; GO:0001158; GO:0001501; GO:0001822; GO:0001841; GO:0002089; GO:0003151; GO:0003211; GO:0003357; GO:0003700; GO:0005634; GO:0005737; GO:0008135; GO:0008284; GO:0010628; GO:0010629; GO:0014003; GO:0014009; GO:0014032; GO:0017015; GO:0021510; GO:0021782; GO:0030182; GO:0030513; GO:0035332; GO:0035914; GO:0045666; GO:0045669; GO:0045778; GO:0045893; GO:0045944; GO:0046887; GO:0048485; GO:0048557; GO:0048704; GO:0050672; GO:0050769; GO:0060022; GO:0060023; GO:0060174; GO:0060253; GO:0060412; GO:0060425; GO:0060548; GO:0060563; GO:0061029; GO:0061053; GO:0061303; GO:0061386; GO:0072395; GO:2000648; GO:2000678; GO:2001111",0.0180673475878318,0.0251279470539765,0.0386938210718024,0.488956571741226,0.457901564847277,0.465282503345223,0.443417174740038,0.249004959274556,41.2802812947913,9.10475197701095e-07,0.00059951289940933,4.8314346070492,46679,3.2222014679746,3,0,0,0.0251279470539765,0.465282503345223,18.5165346912649,4.21074222310175
"10",10,14,14,14,"Q15771","RAB30","RAB30_HUMAN","cis-Golgi network [GO:0005801]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; intracellular membrane-bounded organelle [GO:0043231]; trans-Golgi network [GO:0005802]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; Golgi organization [GO:0007030]","SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:22188167}. Cytoplasm {ECO:0000269|PubMed:22188167}. Golgi apparatus {ECO:0000269|PubMed:22188167}.","Ras-related protein Rab-30","GO:0000139; GO:0003924; GO:0005525; GO:0005795; GO:0005801; GO:0005802; GO:0007030; GO:0031985; GO:0043231",1e-07,1e-07,1e-07,0.0809797229034645,0.089219574864441,0.0865998789475897,0.0855996255718317,0.0427999127859159,36.5573879054188,1.53546074174214e-06,0.00093882456780805,4.18845389421122,23058,3.02741555400755,3,3,0,1e-07,0.0865998789475897,865998.789475897,19.7240054827395
