PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,
P15622,ZNF250,0.348207622,0.365199091,0.350004212,0.346739015,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.192580229,0.349105917,1.00E-07,0.352537385,0.176268792,84.43400425,5.01E-11,4.64E-07,15.87574403,"63,468",6.333869386,5,
P41567,EIF1,1.237766418,1.253907881,1.269536169,1.267525814,1.882334927,1.931830005,1.885767813,1.904380654,1.920807015,1.260716847,1.904380654,-0.643894279,1.57913121,-49.26468452,1.59E-09,3.88E-06,12.98120402,"12,732",5.410679677,3,
P53992,SEC24C,0.071544993,0.077121141,0.076133859,0.070629226,0.15943785,0.158390764,0.158477065,0.160216102,0.162217821,0.073839426,0.15943785,-0.085273141,0.116493875,-49.1345663,1.62E-09,3.88E-06,12.96510592,"118,325",5.410679677,28,
P36578,RPL4,0.095368453,0.094274193,0.092959089,0.093665337,0.149228155,0.153039097,0.151754385,0.153211091,0.136533922,0.093969765,0.151754385,-0.057741414,0.122937475,-48.63069963,1.73E-09,3.88E-06,12.90222201,"47,697",5.410679677,28,
Q9NRP7,STK36,1.230994802,1.189576144,1.202512144,1.109829029,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.92412111,1.196044144,1.00E-07,1.18322793,0.591614065,47.16093609,2.10E-09,3.88E-06,12.71369458,"143,995",5.410679677,2,
P08670,VIM,0.315741081,0.319895168,0.323959124,0.31465293,0.438331929,0.43749095,0.431646414,0.432657232,0.439080505,0.317818124,0.43749095,-0.116469555,0.376796853,-43.28105326,3.64E-09,4.42E-06,12.17652144,"53,652",5.354135713,51,
Q96JB5,CDK5RAP3,0.231265255,0.229864013,0.22029005,0.229586208,0.353581439,0.348412263,0.347594969,0.351085057,0.336653418,0.22972511,0.348412263,-0.122417051,0.288959907,-43.25606878,3.65E-09,4.42E-06,12.17286238,"56,921",5.354135713,20,
Q96RT8,TUBGCP5,0.080215486,0.08933953,0.087317222,0.086492539,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.08690488,1.00E-07,0.085841094,0.042920647,42.94235538,3.83E-09,4.42E-06,12.1266869,"118,321",5.354135713,17,
P48681,NES,0.25199857,0.24459329,0.246650927,0.243589981,0.361738236,0.371578673,0.37112082,0.370926921,0.346330107,0.245622108,0.370926921,-0.122132971,0.307774677,-40.90457048,5.23E-09,4.93E-06,11.81594959,"177,439",5.307489044,93,
O15230,LAMA5,0.859453019,0.864950196,0.831350633,0.876069627,1.276131762,1.256986306,1.270897651,1.265098145,1.301678872,0.862201607,1.270897651,-0.409322597,1.062617167,-40.78149568,5.33E-09,4.93E-06,11.79656046,"399,737",5.307489044,85,
