PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,tc
A6NJT0,UNCX,UNC4_HUMAN,"nucleus [GO:0005634]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; cartilage condensation [GO:0001502]; common myeloid progenitor cell proliferation [GO:0035726]; dorsal spinal cord development [GO:0021516]; olfactory bulb interneuron differentiation [GO:0021889]; pattern specification process [GO:0007389]; regulation of cell differentiation [GO:0045595]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.,Homeobox protein unc-4 homolog (Homeobox protein Uncx4.1),GO:0000981; GO:0001502; GO:0005634; GO:0006351; GO:0007389; GO:0021516; GO:0021889; GO:0035726; GO:0043565; GO:0045595,0.005378036,0.000412415,0.000887146,0.385436443,0.394474852,0.376247794,0.385436443,-1.375435109,0.383160497,0.193806115,72.45869559,7.89E-08,7.98E-05,8.055729742,53690,4.098230203,4,0,0,0.000887146,0.385436443,434.4680839,8.76310639,-1.375435109,-1.341994763,-1.410244971,1
Q96PB7,OLFM3,NOE3_HUMAN,AMPA glutamate receptor complex [GO:0032281]; cell junction [GO:0030054]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; synapse [GO:0045202]; eye photoreceptor cell development [GO:0042462],"SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cell junction, synapse {ECO:0000250}.",Noelin-3 (Olfactomedin-3) (Optimedin),GO:0005615; GO:0005794; GO:0030054; GO:0032281; GO:0042462; GO:0045202,0.069014762,0.073973612,0.075508423,0.284672266,0.293506048,0.275646025,0.284672266,-1.812626148,0.211775847,0.178720189,39.89456036,1.04E-06,0.000372938,4.895292915,54930,3.428363385,4,0,0,0.073973612,0.284672266,3.84829478,1.944219314,-1.812626148,-1.768537861,-1.859111297,1
Q7L775,EPM2AIP1,EPMIP_HUMAN,"cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; positive regulation of glycogen (starch) synthase activity [GO:2000467]; positive regulation of glycogen biosynthetic process [GO:0045725]; response to insulin [GO:0032868]",SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:12782127}.,EPM2A-interacting protein 1 (Laforin-interacting protein),GO:0000981; GO:0003677; GO:0005654; GO:0005737; GO:0005783; GO:0032868; GO:0042802; GO:0045725; GO:2000467,1.00E-07,0.001909822,1.00E-07,0.069658448,0.068857829,0.062974397,0.068857829,-3.860235502,0.066526884,0.033900116,31.39255106,2.91E-06,0.000753806,3.626390536,70370,3.122740267,9,2,0,1.00E-07,0.068857829,688578.2864,19.39326116,-3.843557855,-3.860235502,-3.98909078,1
Q92785,DPF2,REQU_HUMAN,"centrosome [GO:0005813]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=30% nuclear. 70% cytoplasmic.,"Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)",GO:0000790; GO:0000978; GO:0000981; GO:0005654; GO:0005813; GO:0005829; GO:0006351; GO:0006915; GO:0043231; GO:0046872; GO:0097190,0.000285473,0.00031122,0.000257807,0.128806406,0.148613496,0.136788177,0.136788177,-2.86998456,0.137784526,0.069177096,24.88260241,7.89E-06,0.00146855,2.398005459,44155,2.833111397,10,0,0,0.000285473,0.136788177,479.1637044,8.904374821,-2.956723749,-2.750362959,-2.86998456,1
A1L0T0,ILVBL,ILVBL_HUMAN,integral component of membrane [GO:0016021]; membrane [GO:0016020]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; transferase activity [GO:0016740],SUBCELLULAR LOCATION: Membrane; Single-pass membrane protein.,Acetolactate synthase-like protein (EC 2.2.1.-) (IlvB-like protein),GO:0000287; GO:0016020; GO:0016021; GO:0016740; GO:0030976,0.000134635,0.000853109,7.70E-05,0.053742441,0.046528602,0.053184778,0.053184778,-4.232842801,0.050797037,0.025753421,22.64061139,1.18E-05,0.001777227,1.899858458,67868,2.750257219,8,0,0,0.000134635,0.053184778,395.0298901,8.625818009,-4.217794344,-4.425738365,-4.232842801,1
P23743,DGKA,DGKA_HUMAN,cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; diacylglycerol kinase activity [GO:0004143]; kinase activity [GO:0016301]; NAD+ kinase activity [GO:0003951]; phospholipid binding [GO:0005543]; diacylglycerol metabolic process [GO:0046339]; glycerolipid metabolic process [GO:0046486]; intracellular signal transduction [GO:0035556]; lipid phosphorylation [GO:0046834]; phosphatidic acid biosynthetic process [GO:0006654]; platelet activation [GO:0030168]; protein kinase C-activating G-protein coupled receptor signaling pathway [GO:0007205],,Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha),GO:0003951; GO:0004143; GO:0005509; GO:0005524; GO:0005543; GO:0005829; GO:0005886; GO:0006654; GO:0007205; GO:0016020; GO:0016301; GO:0030168; GO:0035556; GO:0046339; GO:0046486; GO:0046834,0.000216141,5.57E-05,5.74E-05,0.104046195,0.118508379,0.10212393,0.104046195,-3.264703891,0.108116422,0.054167957,21.7233952,1.41E-05,0.001950861,1.681906117,82630,2.709773636,9,0,0,5.74E-05,0.104046195,1812.786915,10.82399364,-3.264703891,-3.076939023,-3.291607131,1
Q96EY1,DNAJA3,DNJA3_HUMAN,cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of plasma membrane [GO:0019897]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; postsynaptic membrane [GO:0045211]; ATP binding [GO:0005524]; GTPase regulator activity [GO:0030695]; Hsp70 protein binding [GO:0030544]; interferon-gamma receptor binding [GO:0005133]; metal ion binding [GO:0046872]; NF-kappaB binding [GO:0051059]; protein kinase binding [GO:0019901]; transcription factor binding [GO:0008134]; unfolded protein binding [GO:0051082]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation-induced cell death of T cells [GO:0006924]; cell aging [GO:0007569]; mitochondrial DNA replication [GO:0006264]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell proliferation [GO:0008285]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of interferon-gamma-mediated signaling pathway [GO:0060336]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of programmed cell death [GO:0043069]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuromuscular junction development [GO:0007528]; positive regulation of apoptotic process [GO:0043065]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of T cell proliferation [GO:0042102]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; response to heat [GO:0009408]; response to interferon-gamma [GO:0034341]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; small GTPase mediated signal transduction [GO:0007264]; T cell differentiation in thymus [GO:0033077],"SUBCELLULAR LOCATION: Mitochondrion matrix. Cytoplasm, cytosol {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Recruited to the postsynaptic cell membrane of the neuromuscular junction through interaction with MUSK. {ECO:0000250}.","DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)",GO:0000122; GO:0005133; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005829; GO:0006264; GO:0006457; GO:0006469; GO:0006919; GO:0006924; GO:0007005; GO:0007264; GO:0007528; GO:0007569; GO:0008134; GO:0008285; GO:0009408; GO:0019897; GO:0019901; GO:0030054; GO:0030544; GO:0030695; GO:0031398; GO:0031594; GO:0032088; GO:0033077; GO:0034341; GO:0042102; GO:0042645; GO:0043065; GO:0043066; GO:0043069; GO:0043124; GO:0043154; GO:0043231; GO:0045211; GO:0046872; GO:0050821; GO:0051059; GO:0051082; GO:0060336; GO:0071340,0.00621556,0.000206715,0.000255026,0.053771814,0.053879213,0.04965578,0.053771814,-4.21700605,0.050209835,0.027330685,21.45067299,1.49E-05,0.001965301,1.615353759,52489,2.706570851,11,0,0,0.000255026,0.053771814,210.8481334,7.72006044,-4.21700605,-4.21412742,-4.331894523,1
O75093,SLIT1,SLIT1_HUMAN,extracellular space [GO:0005615]; intracellular [GO:0005622]; calcium ion binding [GO:0005509]; Roundabout binding [GO:0048495]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; dorsal/ventral axon guidance [GO:0033563]; forebrain morphogenesis [GO:0048853]; motor neuron axon guidance [GO:0008045]; negative chemotaxis [GO:0050919]; negative regulation of synapse assembly [GO:0051964]; nuclear migration [GO:0007097]; retinal ganglion cell axon guidance [GO:0031290]; tangential migration from the subventricular zone to the olfactory bulb [GO:0022028],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,Slit homolog 1 protein (Slit-1) (Multiple epidermal growth factor-like domains protein 4) (Multiple EGF-like domains protein 4),GO:0005509; GO:0005615; GO:0005622; GO:0007097; GO:0007411; GO:0008045; GO:0022028; GO:0031290; GO:0033563; GO:0048495; GO:0048846; GO:0048853; GO:0050919; GO:0051964,1.00E-07,1.00E-07,1.00E-07,0.13721897,0.12505071,0.149524033,0.13721897,-2.865448156,0.137264471,0.068632335,20.18812356,1.93E-05,0.002249439,1.296015753,167926,2.647925761,13,3,0,1.00E-07,0.13721897,1372189.697,20.38804851,-2.865448156,-2.99941485,-2.741550704,1
O94812,BAIAP3,BAIP3_HUMAN,"cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; late endosome membrane [GO:0031902]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; recycling endosome membrane [GO:0055038]; trans-Golgi network membrane [GO:0032588]; calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; dense core granule maturation [GO:1990502]; exocytosis [GO:0006887]; G-protein coupled receptor signaling pathway [GO:0007186]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of neurotransmitter secretion [GO:0001956]; regulation of dense core granule exocytosis [GO:1905413]; regulation of synaptic transmission, GABAergic [GO:0032228]; retrograde transport, endosome to Golgi [GO:0042147]","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:28626000}. Recycling endosome membrane {ECO:0000269|PubMed:28626000}; Peripheral membrane protein {ECO:0000305|PubMed:28626000}. Late endosome membrane {ECO:0000269|PubMed:28626000}; Peripheral membrane protein {ECO:0000305|PubMed:28626000}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:28626000}; Peripheral membrane protein {ECO:0000305|PubMed:28626000}. Cell membrane {ECO:0000269|PubMed:28626000}; Peripheral membrane protein {ECO:0000305|PubMed:28626000}. Note=Rapidly recruited to the plasma membrane and to Golgi structures in response to increased intracellular calcium concentration. {ECO:0000269|PubMed:28626000}.",BAI1-associated protein 3 (BAP3) (Brain-specific angiogenesis inhibitor I-associated protein 3),GO:0000149; GO:0001956; GO:0005509; GO:0005543; GO:0005783; GO:0005829; GO:0005886; GO:0006887; GO:0007186; GO:0019905; GO:0031902; GO:0032228; GO:0032588; GO:0035774; GO:0042147; GO:0055038; GO:0098793; GO:1905413; GO:1990502,1.00E-07,1.00E-07,1.00E-07,0.297708247,0.272750945,0.246417911,0.272750945,-1.874343899,0.272292268,0.136146234,19.10694006,2.45E-05,0.002555236,1.00659393,131901,2.592568962,4,3,0,1.00E-07,0.272750945,2727509.451,21.37915277,-1.74802891,-1.874343899,-2.020820973,1
Q9ULN7,PNMA8B,PNM8B_HUMAN,,,Paraneoplastic antigen-like protein 8B (PNMA-like protein 2),,9.32E-05,0.00010287,9.88E-05,0.148897281,0.176361015,0.179684614,0.176361015,-2.50339641,0.16821599,0.084206308,17.91649269,3.22E-05,0.002903462,0.668801525,68615,2.537083906,5,0,0,9.88E-05,0.176361015,1784.140395,10.80101343,-2.747610689,-2.50339641,-2.476461213,1
