PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
Q9GZL7,WDR12,WDR12_HUMAN,"nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]; cell proliferation [GO:0008283]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; Notch signaling pathway [GO:0007219]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000255|HAMAP-Rule:MF_03029, ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:16043514, ECO:0000269|PubMed:26601951}. Nucleus, nucleoplasm {ECO:0000255|HAMAP-Rule:MF_03029, ECO:0000269|PubMed:16043514}.",Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12),GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0006364; GO:0007219; GO:0008283; GO:0030687; GO:0042273; GO:0070545,1.00E-07,1.00E-07,1.00E-07,1.495324326,1.507866813,1.50255393,1.50255393,0.587416773,1.501914923,0.750957562,429.3123859,3.64E-11,3.11E-07,17.12116571,47708,6.506817607,3,3,0,1.00E-07,1.50255393,15025539.3,23.84091344,0.580458429,0.592509004,0.587416773
Q13011,ECH1,ECH1_HUMAN,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; isomerase activity [GO:0016853]; signaling receptor binding [GO:0005102]; fatty acid beta-oxidation [GO:0006635]; protein targeting to peroxisome [GO:0006625],SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Peroxisome {ECO:0000250}.,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",GO:0005102; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0006625; GO:0006635; GO:0016020; GO:0016853; GO:0070062,1.00E-07,1.00E-07,1.00E-07,0.01032394,0.010472199,0.010426498,0.010426498,-6.583601474,0.010407446,0.005203823,152.6266733,3.17E-09,9.03E-06,11.97384597,35816,5.04426925,10,3,0,1.00E-07,0.010426498,104264.983,16.66989519,-6.597862508,-6.577291813,-6.583601474
Q8IWV8,UBR2,UBR2_HUMAN,chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; leucine binding [GO:0070728]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cellular response to leucine [GO:0071233]; chromatin silencing [GO:0006342]; histone H2A ubiquitination [GO:0033522]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transposition [GO:0010529]; protein polyubiquitination [GO:0000209]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Associated with chromatin during meiosis.,E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II),GO:0000151; GO:0000209; GO:0000785; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006342; GO:0007131; GO:0007140; GO:0007141; GO:0007283; GO:0008270; GO:0010529; GO:0032007; GO:0033522; GO:0061630; GO:0070728; GO:0071233; GO:0071596,8.03E-05,0.000112369,9.97E-05,0.06949141,0.068655102,0.071311948,0.06949141,-3.847021535,0.069722024,0.034958475,92.13306878,2.80E-08,4.63E-05,9.324880597,200538,4.33417922,16,0,0,9.97E-05,0.06949141,696.6975226,9.444388623,-3.847021535,-3.864489244,-3.809712368
Q9H0E2,TOLLIP,TOLIP_HUMAN,"azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; interleukin-1 receptor complex [GO:0045323]; interleukin-18 receptor complex [GO:0045092]; nuclear body [GO:0016604]; perinuclear region of cytoplasm [GO:0048471]; specific granule lumen [GO:0035580]; interleukin-1, Type I receptor binding [GO:0005150]; kinase binding [GO:0019900]; SUMO binding [GO:0032183]; Toll-like receptor binding [GO:0035325]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; epithelial cell differentiation [GO:0030855]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; leukocyte activation [GO:0045321]; neutrophil degranulation [GO:0043312]; phosphorylation [GO:0016310]; positive regulation of protein sumoylation [GO:0033235]; protein localization to endosome [GO:0036010]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process [GO:0006511]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,Toll-interacting protein,GO:0005150; GO:0005576; GO:0005737; GO:0005829; GO:0006511; GO:0006914; GO:0006954; GO:0007165; GO:0007267; GO:0016310; GO:0016604; GO:0019900; GO:0030855; GO:0031624; GO:0031625; GO:0032183; GO:0033235; GO:0035325; GO:0035556; GO:0035578; GO:0035580; GO:0036010; GO:0043130; GO:0043312; GO:0045087; GO:0045092; GO:0045321; GO:0045323; GO:0048471; GO:0070062; GO:0070498,1.00E-07,0.000329698,1.00E-07,0.111436848,0.115980083,0.113294436,0.113294436,-3.141851088,0.11346049,0.056840211,89.01204895,3.25E-08,4.63E-05,9.143019936,30282,4.33417922,5,2,0,1.00E-07,0.113294436,1132944.357,20.11164558,-3.165701737,-3.108051014,-3.141851088
A6NJT0,UNCX,UNC4_HUMAN,"nucleus [GO:0005634]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; cartilage condensation [GO:0001502]; common myeloid progenitor cell proliferation [GO:0035726]; dorsal spinal cord development [GO:0021516]; olfactory bulb interneuron differentiation [GO:0021889]; pattern specification process [GO:0007389]; regulation of cell differentiation [GO:0045595]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.,Homeobox protein unc-4 homolog (Homeobox protein Uncx4.1),GO:0000981; GO:0001502; GO:0005634; GO:0006351; GO:0007389; GO:0021516; GO:0021889; GO:0035726; GO:0043565; GO:0045595,0.005378036,0.000412415,0.000887146,0.385436443,0.394474852,0.376247794,0.385436443,-1.375435109,0.383160497,0.193806115,72.45869559,7.89E-08,7.98E-05,8.055729742,53690,4.098230203,4,0,0,0.000887146,0.385436443,434.4680839,8.76310639,-1.375435109,-1.341994763,-1.410244971
P51784,USP11,UBP11_HUMAN,chromosome [GO:0005694]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12084015, ECO:0000269|PubMed:15314155, ECO:0000269|PubMed:20233726}. Cytoplasm {ECO:0000269|PubMed:15314155}. Chromosome {ECO:0000269|PubMed:20233726, ECO:0000269|PubMed:20601937}. Note=Predominantly nuclear (PubMed:12084015, PubMed:15314155). Associates with chromatin (PubMed:20601937, PubMed:20233726). {ECO:0000269|PubMed:12084015, ECO:0000269|PubMed:15314155, ECO:0000269|PubMed:20233726, ECO:0000269|PubMed:20601937}.",Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11),GO:0004197; GO:0004843; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006511; GO:0016579; GO:0036459,0.000758347,0.000601793,0.000424087,0.122501971,0.122859336,0.117337469,0.122501971,-3.029123128,0.12030485,0.060747167,69.93377143,9.20E-08,7.98E-05,7.868096759,109817,4.098230203,22,0,0,0.000601793,0.122501971,203.5616828,7.669322212,-3.029123128,-3.024920608,-3.091264319
P61086,UBE2K,UBE2K_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; filopodium tip [GO:0032433]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular response to interferon-beta [GO:0035458]; free ubiquitin chain polymerization [GO:0010994]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; ubiquitin-dependent protein catabolic process [GO:0006511],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P61085}.,Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase),GO:0004842; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0010800; GO:0010994; GO:0016567; GO:0031625; GO:0032433; GO:0032434; GO:0034450; GO:0035458; GO:0043161; GO:0060340; GO:0070059; GO:0070936,0.003435973,0.001661414,0.003380356,0.071323016,0.071929898,0.074247193,0.071929898,-3.797264626,0.069674122,0.037662975,67.9202435,1.04E-07,8.12E-05,7.713510661,22407,4.090477875,6,0,0,0.003380356,0.071929898,21.27879175,4.411344329,-3.809488479,-3.797264626,-3.751519698
O43151,TET3,TET3_HUMAN,"chromosome [GO:0005694]; cytoplasm [GO:0005737]; female pronucleus [GO:0001939]; male pronucleus [GO:0001940]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; methylcytosine dioxygenase activity [GO:0070579]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; DNA demethylation [GO:0080111]; DNA demethylation of male pronucleus [GO:0044727]; histone H3-K4 trimethylation [GO:0080182]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein O-linked glycosylation [GO:0006493]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8BG87}. Cytoplasm {ECO:0000250|UniProtKB:Q8BG87}. Chromosome {ECO:0000250|UniProtKB:Q8BG87}. Note=At the zygotic stage, localizes in the male pronucleus, while it localizes to the cytoplasm at other preimplantation stages. Binds to the promoter of target genes, close to the transcription start site. {ECO:0000250|UniProtKB:Q8BG87}.",Methylcytosine dioxygenase TET3 (EC 1.14.11.n2),GO:0000981; GO:0001939; GO:0001940; GO:0003677; GO:0005694; GO:0005737; GO:0006493; GO:0044727; GO:0045944; GO:0046872; GO:0070579; GO:0080111; GO:0080182,6.31E-05,0.000238797,6.88E-05,0.231239414,0.244570419,0.243173817,0.243173817,-2.039940196,0.239537646,0.119892393,58.82951263,1.94E-07,0.000138358,6.952813365,179350,3.858996524,11,0,0,6.88E-05,0.243173817,3535.934387,11.78787579,-2.112540773,-2.031678179,-2.039940196
P46109,CRKL,CRKL_HUMAN,cytosol [GO:0005829]; endosome [GO:0005768]; nucleoplasm [GO:0005654]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; phosphotyrosine residue binding [GO:0001784]; RNA binding [GO:0003723]; SH3/SH2 adaptor activity [GO:0005070]; activation of MAPKK activity [GO:0000186]; animal organ morphogenesis [GO:0009887]; anterior/posterior pattern specification [GO:0009952]; blood vessel development [GO:0001568]; cytokine-mediated signaling pathway [GO:0019221]; heart development [GO:0007507]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; parathyroid gland development [GO:0060017]; positive regulation of cell proliferation [GO:0008284]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; Ras protein signal transduction [GO:0007265]; thymus development [GO:0048538],NA,Crk-like protein,GO:0000186; GO:0001568; GO:0001784; GO:0003723; GO:0005070; GO:0005654; GO:0005768; GO:0005829; GO:0007254; GO:0007265; GO:0007507; GO:0008284; GO:0009887; GO:0009952; GO:0019221; GO:0035556; GO:0042802; GO:0045296; GO:0048538; GO:0060017; GO:1900026,3.01E-06,3.39E-05,0.000224122,0.012640419,0.013170416,0.012358906,0.012640419,-6.30581186,0.012636232,0.006405131,51.7115075,3.38E-07,0.000222764,6.269725487,33777,3.652155689,11,0,0,3.39E-05,0.012640419,372.7490473,8.542060855,-6.30581186,-6.246555235,-6.338305109
Q9HCM3,KIAA1549,K1549_HUMAN,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]",SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,UPF0606 protein KIAA1549,GO:0000981; GO:0005886; GO:0016021,7.18E-05,4.01E-05,4.29E-05,0.08595257,0.092262493,0.090921109,0.090921109,-3.4592409,0.089660467,0.044881824,48.5227039,4.45E-07,0.000254043,5.93253162,210755,3.595092853,9,0,0,4.29E-05,0.090921109,2119.900527,11.04978085,-3.540315421,-3.438111916,-3.4592409
