"","X.2","X.1","...1","X","PG.ProteinGroups","PG.Genes","short.name","GO","sub.cell","description","GO.ID","ConditionNorm_P_0_1","ConditionNorm_P_0_2","ConditionNorm_P_0_3","ConditionNorm_P_300_1","ConditionNorm_P_300_2","ConditionNorm_P_300_3","logFC","AveExpr","t","P.Value","adj.P.Val","B","mass","neglog.adj.P.Val.","TotalPeptidesOverallInGene","P0_Undetected","P300_Undetected","medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3","medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3","Ratio","Ratio_log2"
"1",1,1,1,1,"Q9GZL7","WDR12","WDR12_HUMAN","nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]; cell proliferation [GO:0008283]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; Notch signaling pathway [GO:0007219]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000255|HAMAP-Rule:MF_03029, ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:16043514, ECO:0000269|PubMed:26601951}. Nucleus, nucleoplasm {ECO:0000255|HAMAP-Rule:MF_03029, ECO:0000269|PubMed:16043514}.","Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12)","GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0006364; GO:0007219; GO:0008283; GO:0030687; GO:0042273; GO:0070545",1e-07,1e-07,1e-07,1.49532432606945,1.50786681334636,1.50255392964302,1.50191492301961,0.750957561509805,429.312385911438,3.63670964486643e-11,3.11302345600566e-07,17.1211657148588,47708,6.50681760698358,3,3,0,1e-07,1.50255392964302,15025539.2964302,23.840913437266
"2",2,3,3,3,"Q13011","ECH1","ECH1_HUMAN","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; isomerase activity [GO:0016853]; signaling receptor binding [GO:0005102]; fatty acid beta-oxidation [GO:0006635]; protein targeting to peroxisome [GO:0006625]","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Peroxisome {ECO:0000250}.","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)","GO:0005102; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0006625; GO:0006635; GO:0016020; GO:0016853; GO:0070062",1e-07,1e-07,1e-07,0.010323940138851,0.0104721987060827,0.0104264983026221,0.0104074457158519,0.00520382285792596,152.626673329476,3.16503298388412e-09,9.03089411401602e-06,11.9738459729965,35816,5.04426924973519,10,3,0,1e-07,0.0104264983026221,104264.983026221,16.6698951903315
"3",3,5,5,5,"Q8IWV8","UBR2","UBR2_HUMAN","chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; leucine binding [GO:0070728]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cellular response to leucine [GO:0071233]; chromatin silencing [GO:0006342]; histone H2A ubiquitination [GO:0033522]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transposition [GO:0010529]; protein polyubiquitination [GO:0000209]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Associated with chromatin during meiosis.","E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)","GO:0000151; GO:0000209; GO:0000785; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006342; GO:0007131; GO:0007140; GO:0007141; GO:0007283; GO:0008270; GO:0010529; GO:0032007; GO:0033522; GO:0061630; GO:0070728; GO:0071233; GO:0071596",8.02766515557028e-05,0.00011236913459362,9.97440177005123e-05,0.0694914100266113,0.0686551024400553,0.0713119483903934,0.0697220236844034,0.0349584751101516,92.1330687799428,2.79825486405315e-08,4.63255708418404e-05,9.32488059683727,200538,4.33417922042927,16,0,0,9.97440177005123e-05,0.0694914100266113,696.697522604951,9.44438862297918
"4",4,6,6,6,"Q9H0E2","TOLLIP","TOLIP_HUMAN","azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; interleukin-1 receptor complex [GO:0045323]; interleukin-18 receptor complex [GO:0045092]; nuclear body [GO:0016604]; perinuclear region of cytoplasm [GO:0048471]; specific granule lumen [GO:0035580]; interleukin-1, Type I receptor binding [GO:0005150]; kinase binding [GO:0019900]; SUMO binding [GO:0032183]; Toll-like receptor binding [GO:0035325]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; epithelial cell differentiation [GO:0030855]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; leukocyte activation [GO:0045321]; neutrophil degranulation [GO:0043312]; phosphorylation [GO:0016310]; positive regulation of protein sumoylation [GO:0033235]; protein localization to endosome [GO:0036010]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process [GO:0006511]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.","Toll-interacting protein","GO:0005150; GO:0005576; GO:0005737; GO:0005829; GO:0006511; GO:0006914; GO:0006954; GO:0007165; GO:0007267; GO:0016310; GO:0016604; GO:0019900; GO:0030855; GO:0031624; GO:0031625; GO:0032183; GO:0033235; GO:0035325; GO:0035556; GO:0035578; GO:0035580; GO:0036010; GO:0043130; GO:0043312; GO:0045087; GO:0045092; GO:0045321; GO:0045323; GO:0048471; GO:0070062; GO:0070498",1e-07,0.00032969835031174,1e-07,0.11143684805948,0.115980083385116,0.113294435697589,0.113460489597291,0.0568402109154161,89.0120489544495,3.24711945153087e-08,4.63255708418404e-05,9.14301993617152,30282,4.33417922042927,5,2,0,1e-07,0.113294435697589,1132944.35697589,20.1116455762141
"5",5,8,8,8,"A6NJT0","UNCX","UNC4_HUMAN","nucleus [GO:0005634]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; cartilage condensation [GO:0001502]; common myeloid progenitor cell proliferation [GO:0035726]; dorsal spinal cord development [GO:0021516]; olfactory bulb interneuron differentiation [GO:0021889]; pattern specification process [GO:0007389]; regulation of cell differentiation [GO:0045595]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.","Homeobox protein unc-4 homolog (Homeobox protein Uncx4.1)","GO:0000981; GO:0001502; GO:0005634; GO:0006351; GO:0007389; GO:0021516; GO:0021889; GO:0035726; GO:0043565; GO:0045595",0.00537803640388344,0.00041241547426931,0.00088714558675478,0.385436443203523,0.394474852459233,0.376247794074471,0.383160497424106,0.193806114533689,72.4586955949398,7.89237332215924e-08,7.97571812032147e-05,8.05572974178596,53690,4.09823020336142,4,0,0,0.00088714558675478,0.385436443203523,434.46808388403,8.76310639002858
"6",6,9,9,9,"P51784","USP11","UBP11_HUMAN","chromosome [GO:0005694]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12084015, ECO:0000269|PubMed:15314155, ECO:0000269|PubMed:20233726}. Cytoplasm {ECO:0000269|PubMed:15314155}. Chromosome {ECO:0000269|PubMed:20233726, ECO:0000269|PubMed:20601937}. Note=Predominantly nuclear (PubMed:12084015, PubMed:15314155). Associates with chromatin (PubMed:20601937, PubMed:20233726). {ECO:0000269|PubMed:12084015, ECO:0000269|PubMed:15314155, ECO:0000269|PubMed:20233726, ECO:0000269|PubMed:20601937}.","Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)","GO:0004197; GO:0004843; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006511; GO:0016579; GO:0036459",0.00075834735020277,0.00060179288076604,0.0004240866361353,0.122501971480278,0.12285933558836,0.11733746884586,0.120304849682465,0.0607471671302672,69.9337714260836,9.19784642060326e-08,7.97571812032147e-05,7.86809675861505,109817,4.09823020336142,22,0,0,0.00060179288076604,0.122501971480278,203.561682757599,7.66932221239626
"7",7,11,11,11,"P61086","UBE2K","UBE2K_HUMAN","cytoplasm [GO:0005737]; cytosol [GO:0005829]; filopodium tip [GO:0032433]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular response to interferon-beta [GO:0035458]; free ubiquitin chain polymerization [GO:0010994]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; ubiquitin-dependent protein catabolic process [GO:0006511]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P61085}.","Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase)","GO:0004842; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0010800; GO:0010994; GO:0016567; GO:0031625; GO:0032433; GO:0032434; GO:0034450; GO:0035458; GO:0043161; GO:0060340; GO:0070059; GO:0070936",0.00343597270792946,0.00166141375650061,0.00338035632524764,0.0713230160210156,0.0719298982948711,0.0742471933736484,0.0696741216332858,0.0376629750798688,67.9202434991019,1.0433764878538e-07,8.11936612366232e-05,7.71351066102782,22407,4.09047787466785,6,0,0,0.00338035632524764,0.0719298982948711,21.2787917527013,4.41134432928501
"8",8,12,12,12,"O43151","TET3","TET3_HUMAN","chromosome [GO:0005694]; cytoplasm [GO:0005737]; female pronucleus [GO:0001939]; male pronucleus [GO:0001940]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; methylcytosine dioxygenase activity [GO:0070579]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; DNA demethylation [GO:0080111]; DNA demethylation of male pronucleus [GO:0044727]; histone H3-K4 trimethylation [GO:0080182]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein O-linked glycosylation [GO:0006493]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8BG87}. Cytoplasm {ECO:0000250|UniProtKB:Q8BG87}. Chromosome {ECO:0000250|UniProtKB:Q8BG87}. Note=At the zygotic stage, localizes in the male pronucleus, while it localizes to the cytoplasm at other preimplantation stages. Binds to the promoter of target genes, close to the transcription start site. {ECO:0000250|UniProtKB:Q8BG87}.","Methylcytosine dioxygenase TET3 (EC 1.14.11.n2)","GO:0000981; GO:0001939; GO:0001940; GO:0003677; GO:0005694; GO:0005737; GO:0006493; GO:0044727; GO:0045944; GO:0046872; GO:0070579; GO:0080111; GO:0080182",6.31411262575213e-05,0.00023879694479199,6.87721519339311e-05,0.231239414009979,0.244570418502682,0.243173816891303,0.23953764639366,0.119892393271158,58.8295126309917,1.93959455914747e-07,0.00013835774521918,6.9528133650449,179350,3.85899652418618,11,0,0,6.87721519339311e-05,0.243173816891303,3535.93438700185,11.7878757889092
"9",9,13,13,13,"P46109","CRKL","CRKL_HUMAN","cytosol [GO:0005829]; endosome [GO:0005768]; nucleoplasm [GO:0005654]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; phosphotyrosine residue binding [GO:0001784]; RNA binding [GO:0003723]; SH3/SH2 adaptor activity [GO:0005070]; activation of MAPKK activity [GO:0000186]; animal organ morphogenesis [GO:0009887]; anterior/posterior pattern specification [GO:0009952]; blood vessel development [GO:0001568]; cytokine-mediated signaling pathway [GO:0019221]; heart development [GO:0007507]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; parathyroid gland development [GO:0060017]; positive regulation of cell proliferation [GO:0008284]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; Ras protein signal transduction [GO:0007265]; thymus development [GO:0048538]",NA,"Crk-like protein","GO:0000186; GO:0001568; GO:0001784; GO:0003723; GO:0005070; GO:0005654; GO:0005768; GO:0005829; GO:0007254; GO:0007265; GO:0007507; GO:0008284; GO:0009887; GO:0009952; GO:0019221; GO:0035556; GO:0042802; GO:0045296; GO:0048538; GO:0060017; GO:1900026",3.01174271026699e-06,3.39113391991168e-05,0.00022412225228032,0.0126404193801216,0.0131704163613573,0.0123589063299089,0.0126362322457327,0.00640513123426293,51.7115075029112,3.38309270830106e-07,0.00022276364294659,6.26972548680887,33777,3.65215568852574,11,0,0,3.39113391991168e-05,0.0126404193801216,372.749047329007,8.54206085505212
"10",10,15,15,15,"Q9HCM3","KIAA1549","K1549_HUMAN","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.","UPF0606 protein KIAA1549","GO:0000981; GO:0005886; GO:0016021",7.17881382851845e-05,4.00922139049349e-05,4.28893282241362e-05,0.0859525695181165,0.0922624928654133,0.0909211094981349,0.0896604674004168,0.0448818235936798,48.5227039047369,4.45168720444026e-07,0.00025404294980005,5.93253161972181,210755,3.59509285312691,9,0,0,4.28893282241362e-05,0.0909211094981349,2119.90052683941,11.0497808547324
