PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
Q96CX2,KCTD12,KCD12_HUMAN,cell junction [GO:0030054]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; protein homooligomerization [GO:0051260],"SUBCELLULAR LOCATION: Cell junction, synapse, presynaptic cell membrane. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}.",BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain),GO:0003723; GO:0030054; GO:0042734; GO:0042802; GO:0045211; GO:0051260,0.313525883,0.322714795,0.335880693,0.333281719,0.168582349,0.172447963,0.183739998,0.179002227,0.189214065,0.33199936,0.179002227,-0.154204323,0.255699482,-31.57839886,4.42E-10,2.54E-08,13.87671524,"35,701",7.595618048,15,0,0,,1,1
O43396,TXNL1,TXNL1_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; disulfide oxidoreductase activity [GO:0015036]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; protein disulfide oxidoreductase activity [GO:0015035]; protein-disulfide reductase activity [GO:0047134]; thioredoxin-disulfide reductase activity [GO:0004791]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19349277}. Nucleus {ECO:0000269|PubMed:19349277}. Note=At least 85% of the cellular TXNL1 is proteasome-associated.,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein),GO:0000502; GO:0004791; GO:0005634; GO:0005737; GO:0005829; GO:0015035; GO:0015036; GO:0016671; GO:0034599; GO:0045454; GO:0047134,0.258853242,0.300353505,0.295211829,0.315161311,0.117535541,0.124380997,0.123608262,0.135701484,0.135697681,0.49593348,0.124380997,-0.366586762,0.310678174,-26.279103,2.06E-09,7.75E-08,12.22004562,"32,251",7.110607969,19,0,0,,1,1
Q8N126,CADM3,CADM3_HUMAN,cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; cell adhesion molecule binding [GO:0050839]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; adherens junction organization [GO:0034332]; cell recognition [GO:0008037]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; protein localization [GO:0008104],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q99N28}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q99N28}. Cell junction {ECO:0000250|UniProtKB:Q99N28}.,Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1),GO:0005102; GO:0005886; GO:0005887; GO:0005911; GO:0005913; GO:0007156; GO:0007157; GO:0008037; GO:0008104; GO:0034332; GO:0042803; GO:0050839,1.339062535,1.425378483,1.262308283,1.478778988,0.120221807,0.264497133,0.121883454,0.208694473,0.068780669,1.397320037,0.121883454,-1.271659,0.792645007,-22.823651,6.70E-09,1.78E-07,10.94034911,"43,300",6.749534118,8,0,0,,,1
O14531,DPYSL4,DPYL4_HUMAN,"cytosol [GO:0005829]; filamin binding [GO:0031005]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; nervous system development [GO:0007399]; neuron death [GO:0070997]; neuron projection guidance [GO:0097485]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4),GO:0005829; GO:0007399; GO:0016810; GO:0031005; GO:0070997; GO:0097485,0.179777752,0.208990642,0.189959004,0.198382744,0.023618022,0.041385891,0.037090055,0.037902717,0.052490607,0.231430381,0.037902717,-0.187413619,0.132204268,-20.6934405,1.52E-08,3.20E-07,10.04911527,"61,878",6.494959075,30,0,0,,,1
Q5JTW2,CEP78,CEP78_HUMAN,centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; ciliary basal body-plasma membrane docking [GO:0097711]; cilium organization [GO:0044782]; G2/M transition of mitotic cell cycle [GO:0000086]; regulation of G2/M transition of mitotic cell cycle [GO:0010389],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:27246242}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27588451}. Note=Mainly localizes at the centriolar wall, but also found in the pericentriolar material (PubMed:27246242). Expressed in photoreceptor inner segment (PubMed:27588452). {ECO:0000269|PubMed:27246242, ECO:0000269|PubMed:27588452}.",Centrosomal protein of 78 kDa (Cep78),GO:0000086; GO:0005813; GO:0005814; GO:0005829; GO:0010389; GO:0036064; GO:0044782; GO:0097711,0.530953827,0.525523229,0.517231849,0.541595309,0.233100619,0.137598975,0.247597886,0.224683193,0.202899013,0.607500392,0.224683193,-0.401132443,0.409742159,-19.79113714,2.20E-08,4.19E-07,9.643514774,"76,396",6.377454881,9,0,0,,1,1
Q9Y653,ADGRG1,AGRG1_HUMAN,extracellular exosome [GO:0070062]; glial limiting end-foot [GO:0097451]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; membrane raft [GO:0045121]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; G-protein coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; angiogenesis [GO:0001525]; brain development [GO:0007420]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell surface receptor signaling pathway [GO:0007166]; cell-cell signaling [GO:0007267]; cerebral cortex radial glia guided migration [GO:0021801]; cerebral cortex regionalization [GO:0021796]; G-protein coupled receptor signaling pathway [GO:0007186]; layer formation in cerebral cortex [GO:0021819]; negative regulation of cell proliferation [GO:0008285]; negative regulation of neuron migration [GO:2001223]; positive regulation of cell adhesion [GO:0045785]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of Rho protein signal transduction [GO:0035025]; protein kinase C signaling [GO:0070528]; Rho protein signal transduction [GO:0007266]; seminiferous tubule development [GO:0072520]; vascular endothelial growth factor production [GO:0010573],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21349848, ECO:0000269|PubMed:24949629}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: ADGRG1 N-terminal fragment: Secreted {ECO:0000269|PubMed:21349848}.; SUBCELLULAR LOCATION: ADGRG1 C-terminal fragment: Membrane raft {ECO:0000269|PubMed:24949629}. Note=Interaction with its ligand COL3A1 leads to the release of ADGRG1 NT from the membrane and triggers the association of ADGRG1 CT with lipid rafts. {ECO:0000269|PubMed:24949629}.",Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)],GO:0001525; GO:0004930; GO:0005518; GO:0005622; GO:0005887; GO:0007155; GO:0007166; GO:0007186; GO:0007266; GO:0007267; GO:0007420; GO:0008201; GO:0008285; GO:0010573; GO:0016021; GO:0016477; GO:0021796; GO:0021801; GO:0021819; GO:0035025; GO:0045121; GO:0045785; GO:0050840; GO:0070062; GO:0070528; GO:0072520; GO:0097451; GO:2000179; GO:2001223,3.266806117,3.237777292,3.278054611,3.416310862,2.379018509,2.183864893,2.281641235,2.446790871,2.588626476,3.994419193,2.379018509,-1.683875466,3.21792613,-17.58017349,5.86E-08,8.54E-07,8.566707838,"77,738",6.068582068,9,0,0,,,1
Q9UPQ0,LIMCH1,LIMC1_HUMAN,actin binding [GO:0003779]; metal ion binding [GO:0046872]; actomyosin structure organization [GO:0031032],,LIM and calponin homology domains-containing protein 1,GO:0003779; GO:0031032; GO:0046872,0.359226649,0.349836188,0.3210226,0.368144674,0.168028062,0.122912804,0.180537249,0.207952141,0.198748536,0.583961916,0.180537249,-0.391871924,0.37157172,-15.54641923,1.61E-07,1.87E-06,7.452632065,"121,867",5.72725028,21,0,0,,,1
Q6P1L5,FAM117B,F117B_HUMAN,,,Protein FAM117B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein),,0.553189701,0.624864054,0.685698998,0.647521411,0.18054251,0.08590537,0.187334707,0.10100373,0.218394473,0.846292194,0.18054251,-0.701647735,0.505460026,-14.60522899,2.69E-07,2.78E-06,6.888926744,"61,968",5.555944306,7,0,0,,,1
Q96AY4,TTC28,TTC28_HUMAN,cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; spindle pole [GO:0000922]; kinase binding [GO:0019900]; cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Midbody {ECO:0000250}. Note=At interphase, localizes to centrosomes. At prometaphase and metaphase, associated with spindle microtubules and spindle poles. At anaphase, accumulates in the spindle midzone. At telophase, condensed on central spindles. During cytokinesis, condensed on the midbody where it colocalizes with AURKB (By similarity). {ECO:0000250}.",Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301,0.113166707,0.131786727,0.138261985,0.129791003,0.087596962,0.079322685,0.076747887,0.047230457,0.051852178,0.202578478,0.076747887,-0.136925789,0.137012928,-13.88871139,4.05E-07,3.80E-06,6.436305134,"270,884",5.41994995,55,0,0,,,1
O00214,LGALS8,LEG8_HUMAN,cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; carbohydrate binding [GO:0030246]; integrin binding [GO:0005178]; cellular response to virus [GO:0098586]; lymphatic endothelial cell migration [GO:1904977]; xenophagy [GO:0098792],"SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000269|PubMed:22246324}. Cytoplasm, cytosol {ECO:0000269|PubMed:22246324}.",Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),GO:0005178; GO:0005615; GO:0005737; GO:0005829; GO:0016020; GO:0030246; GO:0031410; GO:0098586; GO:0098792; GO:1904977,0.858689094,0.416890514,0.30841725,0.486688274,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.239068912,1.00E-07,-1.309033626,0.654516913,-13.83171014,4.19E-07,3.90E-06,6.399364503,"35,808",5.409358757,3,0,5,,,1
