PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,lamp
Q13011,ECH1,ECH1_HUMAN,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; isomerase activity [GO:0016853]; signaling receptor binding [GO:0005102]; fatty acid beta-oxidation [GO:0006635]; protein targeting to peroxisome [GO:0006625],SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Peroxisome {ECO:0000250}.,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",GO:0005102; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0006625; GO:0006635; GO:0016020; GO:0016853; GO:0070062,1.00E-07,1.00E-07,1.00E-07,0.01032394,0.010472199,0.010426498,0.010426498,-6.583601474,0.010407446,0.005203823,152.6266733,3.17E-09,9.03E-06,11.97384597,35816,5.04426925,10,3,0,1.00E-07,0.010426498,104264.983,16.66989519,-6.597862508,-6.577291813,-6.583601474,1
Q8IWV8,UBR2,UBR2_HUMAN,chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; leucine binding [GO:0070728]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cellular response to leucine [GO:0071233]; chromatin silencing [GO:0006342]; histone H2A ubiquitination [GO:0033522]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transposition [GO:0010529]; protein polyubiquitination [GO:0000209]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Associated with chromatin during meiosis.,E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II),GO:0000151; GO:0000209; GO:0000785; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006342; GO:0007131; GO:0007140; GO:0007141; GO:0007283; GO:0008270; GO:0010529; GO:0032007; GO:0033522; GO:0061630; GO:0070728; GO:0071233; GO:0071596,8.03E-05,0.000112369,9.97E-05,0.06949141,0.068655102,0.071311948,0.06949141,-3.847021535,0.069722024,0.034958475,92.13306878,2.80E-08,4.63E-05,9.324880597,200538,4.33417922,16,0,0,9.97E-05,0.06949141,696.6975226,9.444388623,-3.847021535,-3.864489244,-3.809712368,1
P61086,UBE2K,UBE2K_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; filopodium tip [GO:0032433]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular response to interferon-beta [GO:0035458]; free ubiquitin chain polymerization [GO:0010994]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; ubiquitin-dependent protein catabolic process [GO:0006511],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P61085}.,Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase),GO:0004842; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0010800; GO:0010994; GO:0016567; GO:0031625; GO:0032433; GO:0032434; GO:0034450; GO:0035458; GO:0043161; GO:0060340; GO:0070059; GO:0070936,0.003435973,0.001661414,0.003380356,0.071323016,0.071929898,0.074247193,0.071929898,-3.797264626,0.069674122,0.037662975,67.9202435,1.04E-07,8.12E-05,7.713510661,22407,4.090477875,6,0,0,0.003380356,0.071929898,21.27879175,4.411344329,-3.809488479,-3.797264626,-3.751519698,1
P46109,CRKL,CRKL_HUMAN,cytosol [GO:0005829]; endosome [GO:0005768]; nucleoplasm [GO:0005654]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; phosphotyrosine residue binding [GO:0001784]; RNA binding [GO:0003723]; SH3/SH2 adaptor activity [GO:0005070]; activation of MAPKK activity [GO:0000186]; animal organ morphogenesis [GO:0009887]; anterior/posterior pattern specification [GO:0009952]; blood vessel development [GO:0001568]; cytokine-mediated signaling pathway [GO:0019221]; heart development [GO:0007507]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; parathyroid gland development [GO:0060017]; positive regulation of cell proliferation [GO:0008284]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; Ras protein signal transduction [GO:0007265]; thymus development [GO:0048538],,Crk-like protein,GO:0000186; GO:0001568; GO:0001784; GO:0003723; GO:0005070; GO:0005654; GO:0005768; GO:0005829; GO:0007254; GO:0007265; GO:0007507; GO:0008284; GO:0009887; GO:0009952; GO:0019221; GO:0035556; GO:0042802; GO:0045296; GO:0048538; GO:0060017; GO:1900026,3.01E-06,3.39E-05,0.000224122,0.012640419,0.013170416,0.012358906,0.012640419,-6.30581186,0.012636232,0.006405131,51.7115075,3.38E-07,0.000222764,6.269725487,33777,3.652155689,11,0,0,3.39E-05,0.012640419,372.7490473,8.542060855,-6.30581186,-6.246555235,-6.338305109,1
Q9BQ39,DDX50,DDX50_HUMAN,cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; RNA secondary structure unwinding [GO:0010501],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.",ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2),GO:0003723; GO:0004004; GO:0005524; GO:0005730; GO:0005737; GO:0005886; GO:0010501; GO:0016020,0.00010973,6.36E-05,7.13E-05,0.020161018,0.019940545,0.022158974,0.020161018,-5.63228768,0.020671961,0.010417532,30.3416371,3.36E-06,0.000806895,3.446256808,82565,3.093182777,7,0,0,7.13E-05,0.020161018,282.6492277,8.142868945,-5.63228768,-5.648151377,-5.495965083,1
Q9UIC8,LCMT1,LCMT1_HUMAN,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; protein C-terminal carboxyl O-methyltransferase activity [GO:0003880]; protein C-terminal leucine carboxyl O-methyltransferase activity [GO:0018423]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; C-terminal protein methylation [GO:0006481]; cellular protein modification process [GO:0006464]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of protein complex assembly [GO:0031333]; protein methylation [GO:0006479]; regulation of apoptotic process [GO:0042981]; regulation of glucose metabolic process [GO:0010906]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266],,Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) (Protein-leucine O-methyltransferase) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1),GO:0000086; GO:0003880; GO:0005654; GO:0005829; GO:0006464; GO:0006479; GO:0006481; GO:0008757; GO:0010906; GO:0018423; GO:0031333; GO:0042981; GO:0090266,0.000880449,0.000114683,0.000258596,0.011726148,0.011948583,0.010778687,0.011726148,-6.414127016,0.011066563,0.005951191,26.5941464,5.93E-06,0.001208663,2.74932312,38379,2.917694887,9,0,0,0.000258596,0.011726148,45.34538744,5.502883901,-6.414127016,-6.387016624,-6.535674782,1
P36578,RPL4,RL4_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]",,60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4),GO:0000184; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005737; GO:0005791; GO:0005829; GO:0005925; GO:0006412; GO:0006413; GO:0006614; GO:0016020; GO:0022625; GO:0070062; GO:1990904,0.000389137,0.000422111,0.000275745,0.005995715,0.005670522,0.005286306,0.005670522,-7.462302786,0.005288516,0.003006589,25.3211692,7.32E-06,0.001457452,2.490251186,47697,2.836405674,17,0,0,0.000389137,0.005670522,14.57203608,3.865130567,-7.381852478,-7.462302786,-7.563524478,1
O94921,CDK14,CDK14_HUMAN,cytoplasm [GO:0005737]; cytoplasmic cyclin-dependent protein kinase holoenzyme complex [GO:0000308]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; regulation of canonical Wnt signaling pathway [GO:0060828]; Wnt signaling pathway [GO:0016055],SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cytoplasm. Nucleus. Note=Recruited to the cell membrane by CCNY.,Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1),GO:0000086; GO:0000308; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016055; GO:0030332; GO:0051301; GO:0060828,3.84E-05,3.65E-05,2.48E-05,0.054702461,0.063197012,0.059455454,0.059455454,-4.072047034,0.059085106,0.029575756,24.9717118,7.77E-06,0.00146855,2.416877513,53057,2.833111397,5,0,0,3.65E-05,0.059455454,1630.727085,10.67129964,-4.192250453,-3.983999838,-4.072047034,1
Q06455,RUNX1T1,MTG8_HUMAN,"nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; DNA binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]; generation of precursor metabolites and energy [GO:0006091]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of transcription, DNA-templated [GO:0045892]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00440, ECO:0000269|PubMed:10973986}. Note=Colocalizes with ATN1 in discrete nuclear dots.",Protein CBFA2T1 (Cyclin-D-related protein) (Eight twenty one protein) (Protein ETO) (Protein MTG8) (Zinc finger MYND domain-containing protein 2),GO:0003677; GO:0003700; GO:0003714; GO:0005654; GO:0006091; GO:0006351; GO:0016363; GO:0045599; GO:0045892; GO:0046872,1.00E-07,1.00E-07,1.00E-07,0.561850997,0.586033555,0.501220312,0.561850997,-0.831740516,0.549701521,0.274850861,22.64312453,1.18E-05,0.001777227,1.900443626,67566,2.750257219,4,3,0,1.00E-07,0.561850997,5618509.973,22.42175615,-0.831740516,-0.770944821,-0.996483214,1
Q2V2M9,FHOD3,FHOD3_HUMAN,striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin binding [GO:0003779]; actin filament network formation [GO:0051639]; cardiac myofibril assembly [GO:0055003]; negative regulation of actin filament polymerization [GO:0030837]; sarcomere organization [GO:0045214],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:21149568}. Note=Main part of the protein localizes to actin fibers and the remaining part displays filamentous staining. {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 4: Cytoplasm, myofibril, sarcomere, Z line. Note=Threonine phosphorylation in isoform 4-specific sequence TDTDEEEEVE is required for targeting to myofibrils in cardiomyocytes.",FH1/FH2 domain-containing protein 3 (Formactin-2) (Formin homolog overexpressed in spleen 2) (hFHOS2),GO:0003779; GO:0005865; GO:0030018; GO:0030837; GO:0045214; GO:0051639; GO:0055003,5.25E-05,0.000197131,0.000104553,0.168128054,0.176062522,0.148165608,0.168128054,-2.57236762,0.164000674,0.082118391,20.53361017,1.80E-05,0.00223134,1.385305343,158613,2.651434302,14,0,0,0.000104553,0.168128054,1608.069163,10.65111374,-2.57236762,-2.505840254,-2.754717485,1
